phase,window,window_before,window_after,seed,n_train_raw,n_val,time_s,F1_N,F1_S,F1_V,F1_F,Macro_F1,Min_Rare_F1,Rare_F1_weighted,best_epoch,n_train_after_resampling
screen,65x110,65,110,100,37862,13142,157.3,0.9674582233948988,0.2236024844720497,0.7087719298245614,0.06542056074766354,0.49131329960979336,0.06542056074766354,0.128693330237418,12,44690
screen,65x110,65,110,101,37862,13142,76.1,0.9299986996662477,0.1301775147928994,0.4702990577632118,0.0625,0.3982438180555897,0.0625,0.08957100591715977,2,44690
screen,65x110,65,110,102,37862,13142,106.5,0.8981873929118946,0.24723247232472326,0.6122448979591837,0.009296148738379814,0.44174022798354534,0.009296148738379814,0.10447067817291719,6,44690
screen,65x110,65,110,103,37862,13142,76.1,0.9695218718209563,0.10738255033557047,0.6942148760330579,0.07692307692307693,0.4620105937781654,0.07692307692307693,0.08910686628807435,2,44690
screen,65x110,65,110,104,37862,13142,129.2,0.7156029838375466,0.3168724279835391,0.5963678968951377,0.004177982034677251,0.4082553226877252,0.004177982034677251,0.129255760414222,9,44690
screen,65x110,65,110,105,37862,13142,121.6,0.9047704770477047,0.42065009560229444,0.7400241837968561,0.011658717541070483,0.5192758684969814,0.011658717541070483,0.17525526876556008,8,44690
screen,70x105,70,105,100,37862,13141,83.8,0.8441273837832797,0.33268858800773693,0.5974842767295597,0.008064516129032258,0.44559119116240214,0.008064516129032258,0.13791414488051415,3,44690
screen,70x105,70,105,101,37862,13141,144.3,0.9691230959242486,0.18266978922716628,0.6237148732008225,0.05660377358490566,0.4580278829842858,0.05660377358490566,0.1070301798418099,11,44690
screen,70x105,70,105,102,37862,13141,91.2,0.9759475517312026,0.10144927536231885,0.6498245614035087,0.21052631578947367,0.484436926071626,0.10144927536231885,0.16689549961861172,4,44690
screen,70x105,70,105,103,37862,13141,68.5,0.9101539834858291,0.17,0.48126377663482733,0.007207207207207207,0.3921562418319659,0.007207207207207207,0.07232432432432433,1,44690
screen,70x105,70,105,104,37862,13141,98.6,0.9603312629399586,0.23093681917211328,0.4765957446808511,0.2857142857142857,0.4883945281268022,0.23093681917211328,0.26380329909741673,5,44690
screen,70x105,70,105,105,37862,13141,83.7,0.9536093373366601,0.2624,0.5363686840644086,0.028708133971291867,0.4452715388430901,0.028708133971291867,0.12218488038277513,3,44690
screen,70x110,70,110,100,37862,13141,83.7,0.9481525625744934,0.2009132420091324,0.5742871435717859,0.039660056657223795,0.4407532512031589,0.039660056657223795,0.10416133079798724,3,44690
