number,values_0,values_1,datetime_start,datetime_complete,duration,params_clip_pct,params_cwt_wavelet,params_image_size,params_norm_type,params_num_scales,params_scale_min,params_scale_span,params_scale_type,user_attrs_F1_F,user_attrs_F1_N,user_attrs_F1_S,user_attrs_F1_V,user_attrs_Recall_F,user_attrs_Recall_S,user_attrs_best_epoch_median,user_attrs_config,user_attrs_macro_f1_mean,user_attrs_macro_f1_std,user_attrs_min_rare_f1_mean,user_attrs_min_rare_f1_std,user_attrs_preprocessing_seconds,user_attrs_rare_macro_sf_mean,user_attrs_rare_macro_sf_std,user_attrs_run_results,user_attrs_total_seconds,user_attrs_training_seconds,system_attrs_NSGAIISampler:generation,state
42,0.31153400771338574,0.4648193293926326,2026-08-10 12:00:21.322461,2026-08-10 12:02:55.023735,0 days 00:02:33.701274,2,morl,192x192,linear,48,4.0,16,logarithmic,0.012345679012345678,0.5259158641462495,0.610722336414426,0.7102934379975095,0.018518518518518517,0.5314136125654451,9.0,"{'method': 'CWT', 'image_size': [192, 192], 'norm_type': 'linear', 'clip_pct': 2, 'wavelet': 'morl', 'scale_min': 4.0, 'scale_max': 20.0, 'scale_type': 'logarithmic', 'num_scales': 48}",0.4648193293926326,0.026258888176088714,0.012345679012345678,0.021383343303319473,12.615882396697998,0.31153400771338574,0.046961693041968774,"[{'seed': 42, 'Macro_F1': 0.4351871916548363, 'Rare_Macro_SF': 0.2574074074074074, 'Min_Rare_F1': 0.0, 'F1_N': 0.5625774473358116, 'F1_S': 0.5148148148148148, 'F1_V': 0.663356504468719, 'F1_F': 0.0, 'Recall_S': 0.36387434554973824, 'Recall_F': 0.0, 'best_epoch': 9}, {'seed': 43, 'Macro_F1': 0.4740692938733134, 'Rare_Macro_SF': 0.3414493190612593, 'Min_Rare_F1': 0.037037037037037035, 'F1_N': 0.4681404421326398, 'F1_S': 0.6458616010854816, 'F1_V': 0.7452380952380953, 'F1_F': 0.037037037037037035, 'Recall_S': 0.6230366492146597, 'Recall_F': 0.05555555555555555, 'best_epoch': 9}, {'seed': 44, 'Macro_F1': 0.48520150264974815, 'Rare_Macro_SF': 0.3357452966714906, 'Min_Rare_F1': 0.0, 'F1_N': 0.5470297029702971, 'F1_S': 0.6714905933429812, 'F1_V': 0.7222857142857143, 'F1_F': 0.0, 'Recall_S': 0.6073298429319371, 'Recall_F': 0.0, 'best_epoch': 8}]",153.40120768547058,140.6641447544098,2,COMPLETE
38,0.28150570500067534,0.4510095800407301,2026-08-10 11:53:59.379793,2026-08-10 11:55:25.119398,0 days 00:01:25.739605,1,cmor1.5-1.0,160x192,sqrt,64,6.0,16,logarithmic,0.0,0.5249082903188577,0.5630114100013507,0.7161186198427124,0.0,0.4432809773123909,3.0,"{'method': 'CWT', 'image_size': [160, 192], 'norm_type': 'sqrt', 'clip_pct': 1, 'wavelet': 'cmor1.5-1.0', 'scale_min': 6.0, 'scale_max': 22.0, 'scale_type': 'logarithmic', 'num_scales': 64}",0.4510095800407301,0.032925299361472635,0.0,0.0,15.967814683914185,0.28150570500067534,0.04477233749863426,"[{'seed': 42, 'Macro_F1': 0.45539977386589736, 'Rare_Macro_SF': 0.304857621440536, 'Min_Rare_F1': 0.0, 'F1_N': 0.5150812064965197, 'F1_S': 0.609715242881072, 'F1_V': 0.6968026460859978, 'F1_F': 0.0, 'Recall_S': 0.47643979057591623, 'Recall_F': 0.0, 'best_epoch': 4}, {'seed': 43, 'Macro_F1': 0.41610943784954024, 'Rare_Macro_SF': 0.22988505747126436, 'Min_Rare_F1': 0.0, 'F1_N': 0.5173824130879345, 'F1_S': 0.45977011494252873, 'F1_V': 0.6872852233676976, 'F1_F': 0.0, 'Recall_S': 0.31413612565445026, 'Recall_F': 0.0, 'best_epoch': 3}, {'seed': 44, 'Macro_F1': 0.48151952840675283, 'Rare_Macro_SF': 0.3097744360902256, 'Min_Rare_F1': 0.0, 'F1_N': 0.5422612513721186, 'F1_S': 0.6195488721804512, 'F1_V': 0.7642679900744417, 'F1_F': 0.0, 'Recall_S': 0.5392670157068062, 'Recall_F': 0.0, 'best_epoch': 2}]",85.4417417049408,69.3527090549469,2,COMPLETE
52,0.2733204908769113,0.4411682750275758,2026-08-10 12:20:45.552979,2026-08-10 12:22:11.390120,0 days 00:01:25.837141,1,gaus8,160x160,sqrt,64,1.0,16,logarithmic,0.0,0.535545642811902,0.5466409817538226,0.6824864755445784,0.0,0.4310645724258289,5.0,"{'method': 'CWT', 'image_size': [160, 160], 'norm_type': 'sqrt', 'clip_pct': 1, 'wavelet': 'gaus8', 'scale_min': 1.0, 'scale_max': 17.0, 'scale_type': 'logarithmic', 'num_scales': 64}",0.4411682750275758,0.04831877801218636,0.0,0.0,13.856900215148926,0.2733204908769113,0.08125463659877379,"[{'seed': 42, 'Macro_F1': 0.47881144037589174, 'Rare_Macro_SF': 0.34678624813153963, 'Min_Rare_F1': 0.0, 'F1_N': 0.5343347639484979, 'F1_S': 0.6935724962630793, 'F1_V': 0.6873385012919897, 'F1_F': 0.0, 'Recall_S': 0.6073298429319371, 'Recall_F': 0.0, 'best_epoch': 5}, {'seed': 43, 'Macro_F1': 0.3866823069597165, 'Rare_Macro_SF': 0.18604651162790697, 'Min_Rare_F1': 0.0, 'F1_N': 0.5395152792413066, 'F1_S': 0.37209302325581395, 'F1_V': 0.6351209253417456, 'F1_F': 0.0, 'Recall_S': 0.23036649214659685, 'Recall_F': 0.0, 'best_epoch': 7}, {'seed': 44, 'Macro_F1': 0.458011077747119, 'Rare_Macro_SF': 0.2871287128712871, 'Min_Rare_F1': 0.0, 'F1_N': 0.5327868852459017, 'F1_S': 0.5742574257425742, 'F1_V': 0.725, 'F1_F': 0.0, 'Recall_S': 0.45549738219895286, 'Recall_F': 0.0, 'best_epoch': 2}]",85.54558372497559,71.56726503372192,2,COMPLETE
62,0.2733204908769113,0.4411682750275758,2026-08-10 12:39:29.480794,2026-08-10 12:40:55.119557,0 days 00:01:25.638763,1,gaus8,160x160,sqrt,64,1.0,16,logarithmic,0.0,0.535545642811902,0.5466409817538226,0.6824864755445784,0.0,0.4310645724258289,5.0,"{'method': 'CWT', 'image_size': [160, 160], 'norm_type': 'sqrt', 'clip_pct': 1, 'wavelet': 'gaus8', 'scale_min': 1.0, 'scale_max': 17.0, 'scale_type': 'logarithmic', 'num_scales': 64}",0.4411682750275758,0.04831877801218636,0.0,0.0,13.65498161315918,0.2733204908769113,0.08125463659877379,"[{'seed': 42, 'Macro_F1': 0.47881144037589174, 'Rare_Macro_SF': 0.34678624813153963, 'Min_Rare_F1': 0.0, 'F1_N': 0.5343347639484979, 'F1_S': 0.6935724962630793, 'F1_V': 0.6873385012919897, 'F1_F': 0.0, 'Recall_S': 0.6073298429319371, 'Recall_F': 0.0, 'best_epoch': 5}, {'seed': 43, 'Macro_F1': 0.3866823069597165, 'Rare_Macro_SF': 0.18604651162790697, 'Min_Rare_F1': 0.0, 'F1_N': 0.5395152792413066, 'F1_S': 0.37209302325581395, 'F1_V': 0.6351209253417456, 'F1_F': 0.0, 'Recall_S': 0.23036649214659685, 'Recall_F': 0.0, 'best_epoch': 7}, {'seed': 44, 'Macro_F1': 0.458011077747119, 'Rare_Macro_SF': 0.2871287128712871, 'Min_Rare_F1': 0.0, 'F1_N': 0.5327868852459017, 'F1_S': 0.5742574257425742, 'F1_V': 0.725, 'F1_F': 0.0, 'Recall_S': 0.45549738219895286, 'Recall_F': 0.0, 'best_epoch': 2}]",85.33063888549805,71.54826641082764,3,COMPLETE
80,0.2733204908769113,0.4411682750275758,2026-08-10 13:13:36.088112,2026-08-10 13:15:02.166561,0 days 00:01:26.078449,1,gaus8,160x160,sqrt,64,1.0,16,logarithmic,0.0,0.535545642811902,0.5466409817538226,0.6824864755445784,0.0,0.4310645724258289,5.0,"{'method': 'CWT', 'image_size': [160, 160], 'norm_type': 'sqrt', 'clip_pct': 1, 'wavelet': 'gaus8', 'scale_min': 1.0, 'scale_max': 17.0, 'scale_type': 'logarithmic', 'num_scales': 64}",0.4411682750275758,0.04831877801218636,0.0,0.0,14.008926391601562,0.2733204908769113,0.08125463659877379,"[{'seed': 42, 'Macro_F1': 0.47881144037589174, 'Rare_Macro_SF': 0.34678624813153963, 'Min_Rare_F1': 0.0, 'F1_N': 0.5343347639484979, 'F1_S': 0.6935724962630793, 'F1_V': 0.6873385012919897, 'F1_F': 0.0, 'Recall_S': 0.6073298429319371, 'Recall_F': 0.0, 'best_epoch': 5}, {'seed': 43, 'Macro_F1': 0.3866823069597165, 'Rare_Macro_SF': 0.18604651162790697, 'Min_Rare_F1': 0.0, 'F1_N': 0.5395152792413066, 'F1_S': 0.37209302325581395, 'F1_V': 0.6351209253417456, 'F1_F': 0.0, 'Recall_S': 0.23036649214659685, 'Recall_F': 0.0, 'best_epoch': 7}, {'seed': 44, 'Macro_F1': 0.458011077747119, 'Rare_Macro_SF': 0.2871287128712871, 'Min_Rare_F1': 0.0, 'F1_N': 0.5327868852459017, 'F1_S': 0.5742574257425742, 'F1_V': 0.725, 'F1_F': 0.0, 'Recall_S': 0.45549738219895286, 'Recall_F': 0.0, 'best_epoch': 2}]",85.77571368217468,71.64631867408752,4,COMPLETE
83,0.2733204908769113,0.4411682750275758,2026-08-10 13:19:44.511779,2026-08-10 13:21:10.123647,0 days 00:01:25.611868,1,gaus8,160x160,sqrt,64,1.0,16,logarithmic,0.0,0.535545642811902,0.5466409817538226,0.6824864755445784,0.0,0.4310645724258289,5.0,"{'method': 'CWT', 'image_size': [160, 160], 'norm_type': 'sqrt', 'clip_pct': 1, 'wavelet': 'gaus8', 'scale_min': 1.0, 'scale_max': 17.0, 'scale_type': 'logarithmic', 'num_scales': 64}",0.4411682750275758,0.04831877801218636,0.0,0.0,13.639333963394165,0.2733204908769113,0.08125463659877379,"[{'seed': 42, 'Macro_F1': 0.47881144037589174, 'Rare_Macro_SF': 0.34678624813153963, 'Min_Rare_F1': 0.0, 'F1_N': 0.5343347639484979, 'F1_S': 0.6935724962630793, 'F1_V': 0.6873385012919897, 'F1_F': 0.0, 'Recall_S': 0.6073298429319371, 'Recall_F': 0.0, 'best_epoch': 5}, {'seed': 43, 'Macro_F1': 0.3866823069597165, 'Rare_Macro_SF': 0.18604651162790697, 'Min_Rare_F1': 0.0, 'F1_N': 0.5395152792413066, 'F1_S': 0.37209302325581395, 'F1_V': 0.6351209253417456, 'F1_F': 0.0, 'Recall_S': 0.23036649214659685, 'Recall_F': 0.0, 'best_epoch': 7}, {'seed': 44, 'Macro_F1': 0.458011077747119, 'Rare_Macro_SF': 0.2871287128712871, 'Min_Rare_F1': 0.0, 'F1_N': 0.5327868852459017, 'F1_S': 0.5742574257425742, 'F1_V': 0.725, 'F1_F': 0.0, 'Recall_S': 0.45549738219895286, 'Recall_F': 0.0, 'best_epoch': 2}]",85.29499697685242,71.53447961807251,4,COMPLETE
72,0.26782966086171184,0.43954902418617214,2026-08-10 12:58:12.923248,2026-08-10 12:59:54.849909,0 days 00:01:41.926661,1,gaus8,192x160,sqrt,80,2.0,16,logarithmic,0.0,0.5484717427202463,0.5356593217234237,0.6740650323010184,0.0,0.41797556719022694,4.0,"{'method': 'CWT', 'image_size': [192, 160], 'norm_type': 'sqrt', 'clip_pct': 1, 'wavelet': 'gaus8', 'scale_min': 2.0, 'scale_max': 18.0, 'scale_type': 'logarithmic', 'num_scales': 80}",0.43954902418617214,0.05867504224952465,0.0,0.0,16.091888666152954,0.26782966086171184,0.08722567307171265,"[{'seed': 42, 'Macro_F1': 0.4917287293917956, 'Rare_Macro_SF': 0.34316770186335405, 'Min_Rare_F1': 0.0, 'F1_N': 0.566120218579235, 'F1_S': 0.6863354037267081, 'F1_V': 0.7144592952612394, 'F1_F': 0.0, 'Recall_S': 0.5785340314136126, 'Recall_F': 0.0, 'best_epoch': 4}, {'seed': 43, 'Macro_F1': 0.376032986144898, 'Rare_Macro_SF': 0.1722689075630252, 'Min_Rare_F1': 0.0, 'F1_N': 0.5513264129181085, 'F1_S': 0.3445378151260504, 'F1_V': 0.6082677165354331, 'F1_F': 0.0, 'Recall_S': 0.21465968586387435, 'Recall_F': 0.0, 'best_epoch': 8}, {'seed': 44, 'Macro_F1': 0.4508853570218227, 'Rare_Macro_SF': 0.28805237315875615, 'Min_Rare_F1': 0.0, 'F1_N': 0.5279685966633955, 'F1_S': 0.5761047463175123, 'F1_V': 0.699468085106383, 'F1_F': 0.0, 'Recall_S': 0.4607329842931937, 'Recall_F': 0.0, 'best_epoch': 2}]",101.61090230941772,85.39974594116211,4,COMPLETE
57,0.25604761576482177,0.42056488490454796,2026-08-10 12:30:09.554028,2026-08-10 12:31:54.106502,0 days 00:01:44.552474,1,cmor1.5-1.0,160x192,linear,80,6.0,16,logarithmic,0.008888888888888889,0.4974262061927142,0.5032063426407547,0.6727381018958342,0.018518518518518517,0.4232111692844677,3.0,"{'method': 'CWT', 'image_size': [160, 192], 'norm_type': 'linear', 'clip_pct': 1, 'wavelet': 'cmor1.5-1.0', 'scale_min': 6.0, 'scale_max': 22.0, 'scale_type': 'logarithmic', 'num_scales': 80}",0.42056488490454796,0.04981276696971705,0.008888888888888889,0.015396007178390023,18.638365030288696,0.25604761576482177,0.08108542355716235,"[{'seed': 42, 'Macro_F1': 0.38576804696445816, 'Rare_Macro_SF': 0.21217712177121772, 'Min_Rare_F1': 0.0, 'F1_N': 0.4940530649588289, 'F1_S': 0.42435424354243545, 'F1_V': 0.6246648793565683, 'F1_F': 0.0, 'Recall_S': 0.3010471204188482, 'Recall_F': 0.0, 'best_epoch': 3}, {'seed': 43, 'Macro_F1': 0.3982997588337411, 'Rare_Macro_SF': 0.20634920634920634, 'Min_Rare_F1': 0.0, 'F1_N': 0.523517382413088, 'F1_S': 0.4126984126984127, 'F1_V': 0.6569832402234637, 'F1_F': 0.0, 'Recall_S': 0.27225130890052357, 'Recall_F': 0.0, 'best_epoch': 3}, {'seed': 44, 'Macro_F1': 0.47762684891544466, 'Rare_Macro_SF': 0.3496165191740413, 'Min_Rare_F1': 0.02666666666666667, 'F1_N': 0.47470817120622566, 'F1_S': 0.672566371681416, 'F1_V': 0.7365661861074705, 'F1_F': 0.02666666666666667, 'Recall_S': 0.6963350785340314, 'Recall_F': 0.05555555555555555, 'best_epoch': 8}]",104.2436146736145,85.48188972473145,3,COMPLETE
56,0.23235135291540135,0.42088135479465955,2026-08-10 12:27:45.639374,2026-08-10 12:30:09.362034,0 days 00:02:23.722660,2,gaus8,224x256,linear,80,2.0,16,logarithmic,0.0,0.5450981955406734,0.4647027058308027,0.6737245178071621,0.0,0.34816753926701566,2.0,"{'method': 'CWT', 'image_size': [224, 256], 'norm_type': 'linear', 'clip_pct': 2, 'wavelet': 'gaus8', 'scale_min': 2.0, 'scale_max': 18.0, 'scale_type': 'logarithmic', 'num_scales': 80}",0.42088135479465955,0.044137406347099235,0.0,0.0,18.23965334892273,0.23235135291540135,0.06857933585084466,"[{'seed': 42, 'Macro_F1': 0.4221546518405546, 'Rare_Macro_SF': 0.21928166351606806, 'Min_Rare_F1': 0.0, 'F1_N': 0.5467059980334317, 'F1_S': 0.43856332703213613, 'F1_V': 0.7033492822966507, 'F1_F': 0.0, 'Recall_S': 0.3036649214659686, 'Recall_F': 0.0, 'best_epoch': 2}, {'seed': 43, 'Macro_F1': 0.3761210768309731, 'Rare_Macro_SF': 0.17124735729386892, 'Min_Rare_F1': 0.0, 'F1_N': 0.5608108108108109, 'F1_S': 0.34249471458773784, 'F1_V': 0.6011787819253438, 'F1_F': 0.0, 'Recall_S': 0.21204188481675393, 'Recall_F': 0.0, 'best_epoch': 5}, {'seed': 44, 'Macro_F1': 0.46436833571245095, 'Rare_Macro_SF': 0.30652503793626706, 'Min_Rare_F1': 0.0, 'F1_N': 0.5277777777777778, 'F1_S': 0.6130500758725341, 'F1_V': 0.7166454891994918, 'F1_F': 0.0, 'Recall_S': 0.5287958115183246, 'Recall_F': 0.0, 'best_epoch': 2}]",143.408695936203,125.04197454452515,3,COMPLETE
68,0.22075219867408732,0.4155179548880903,2026-08-10 12:51:24.235087,2026-08-10 12:53:20.581006,0 days 00:01:56.345919,1,gaus8,160x192,sqrt,64,1.0,16,logarithmic,0.0,0.575085737269049,0.44150439734817465,0.6454816849351376,0.0,0.3010471204188481,6.0,"{'method': 'CWT', 'image_size': [160, 192], 'norm_type': 'sqrt', 'clip_pct': 1, 'wavelet': 'gaus8', 'scale_min': 1.0, 'scale_max': 17.0, 'scale_type': 'logarithmic', 'num_scales': 64}",0.4155179548880903,0.03201065902870964,0.0,0.0,14.090004682540894,0.22075219867408732,0.05593471765161897,"[{'seed': 42, 'Macro_F1': 0.40014617496611565, 'Rare_Macro_SF': 0.2172211350293542, 'Min_Rare_F1': 0.0, 'F1_N': 0.5135895032802249, 'F1_S': 0.4344422700587084, 'F1_V': 0.6525529265255293, 'F1_F': 0.0, 'Recall_S': 0.2905759162303665, 'Recall_F': 0.0, 'best_epoch': 5}, {'seed': 43, 'Macro_F1': 0.39409261715296195, 'Rare_Macro_SF': 0.16666666666666666, 'Min_Rare_F1': 0.0, 'F1_N': 0.6180371352785146, 'F1_S': 0.3333333333333333, 'F1_V': 0.625, 'F1_F': 0.0, 'Recall_S': 0.20157068062827224, 'Recall_F': 0.0, 'best_epoch': 9}, {'seed': 44, 'Macro_F1': 0.4523150725451933, 'Rare_Macro_SF': 0.2783687943262411, 'Min_Rare_F1': 0.0, 'F1_N': 0.5936305732484076, 'F1_S': 0.5567375886524822, 'F1_V': 0.6588921282798834, 'F1_F': 0.0, 'Recall_S': 0.4109947643979058, 'Recall_F': 0.0, 'best_epoch': 6}]",116.05732536315918,101.84705209732056,3,COMPLETE
