number,values_0,values_1,datetime_start,datetime_complete,duration,params_clip_pct,params_dwt_wavelet_level,params_image_size,params_norm_type,user_attrs_F1_F,user_attrs_F1_N,user_attrs_F1_S,user_attrs_F1_V,user_attrs_Recall_F,user_attrs_Recall_S,user_attrs_best_epoch_median,user_attrs_config,user_attrs_macro_f1_mean,user_attrs_macro_f1_std,user_attrs_min_rare_f1_mean,user_attrs_min_rare_f1_std,user_attrs_preprocessing_seconds,user_attrs_rare_macro_sf_mean,user_attrs_rare_macro_sf_std,user_attrs_run_results,user_attrs_total_seconds,user_attrs_training_seconds,system_attrs_NSGAIISampler:generation,state
7,0.21551660598717878,0.4550311733279391,2026-08-10 14:05:40.099322,2026-08-10 14:07:29.587243,0 days 00:01:49.487921,5,bior3.5|3,224x160,linear,0.0,0.6187678219290818,0.43103321197435757,0.7703236594083173,0.0,0.3106457242582897,5.0,"{'method': 'DWT', 'image_size': [224, 160], 'norm_type': 'linear', 'clip_pct': 5, 'wavelet': 'bior3.5', 'level': 3}",0.4550311733279391,0.0007325877069080263,0.0,0.0,4.5403478145599365,0.21551660598717878,0.006508755285198123,"[{'seed': 42, 'Macro_F1': 0.4544455867717608, 'Rare_Macro_SF': 0.20825515947467166, 'Min_Rare_F1': 0.0, 'F1_N': 0.6251526251526252, 'F1_S': 0.4165103189493433, 'F1_V': 0.7761194029850746, 'F1_F': 0.0, 'Recall_S': 0.2905759162303665, 'Recall_F': 0.0, 'best_epoch': 8}, {'seed': 43, 'Macro_F1': 0.4547952880295471, 'Rare_Macro_SF': 0.22082585278276481, 'Min_Rare_F1': 0.0, 'F1_N': 0.6140776699029126, 'F1_S': 0.44165170556552963, 'F1_V': 0.7634517766497462, 'F1_F': 0.0, 'Recall_S': 0.3219895287958115, 'Recall_F': 0.0, 'best_epoch': 5}, {'seed': 44, 'Macro_F1': 0.45585264518250945, 'Rare_Macro_SF': 0.21746880570409982, 'Min_Rare_F1': 0.0, 'F1_N': 0.6170731707317073, 'F1_S': 0.43493761140819964, 'F1_V': 0.771399798590131, 'F1_F': 0.0, 'Recall_S': 0.3193717277486911, 'Recall_F': 0.0, 'best_epoch': 2}]",109.14394402503967,104.43200707435608,0,COMPLETE
31,0.21551660598717878,0.4550311733279391,2026-08-10 14:49:18.464798,2026-08-10 14:51:07.498332,0 days 00:01:49.033534,5,bior3.5|3,224x160,linear,0.0,0.6187678219290818,0.43103321197435757,0.7703236594083173,0.0,0.3106457242582897,5.0,"{'method': 'DWT', 'image_size': [224, 160], 'norm_type': 'linear', 'clip_pct': 5, 'wavelet': 'bior3.5', 'level': 3}",0.4550311733279391,0.0007325877069080263,0.0,0.0,4.37549352645874,0.21551660598717878,0.006508755285198123,"[{'seed': 42, 'Macro_F1': 0.4544455867717608, 'Rare_Macro_SF': 0.20825515947467166, 'Min_Rare_F1': 0.0, 'F1_N': 0.6251526251526252, 'F1_S': 0.4165103189493433, 'F1_V': 0.7761194029850746, 'F1_F': 0.0, 'Recall_S': 0.2905759162303665, 'Recall_F': 0.0, 'best_epoch': 8}, {'seed': 43, 'Macro_F1': 0.4547952880295471, 'Rare_Macro_SF': 0.22082585278276481, 'Min_Rare_F1': 0.0, 'F1_N': 0.6140776699029126, 'F1_S': 0.44165170556552963, 'F1_V': 0.7634517766497462, 'F1_F': 0.0, 'Recall_S': 0.3219895287958115, 'Recall_F': 0.0, 'best_epoch': 5}, {'seed': 44, 'Macro_F1': 0.45585264518250945, 'Rare_Macro_SF': 0.21746880570409982, 'Min_Rare_F1': 0.0, 'F1_N': 0.6170731707317073, 'F1_S': 0.43493761140819964, 'F1_V': 0.771399798590131, 'F1_F': 0.0, 'Recall_S': 0.3193717277486911, 'Recall_F': 0.0, 'best_epoch': 2}]",108.70566940307617,104.19105315208435,3,COMPLETE
32,0.21551660598717878,0.4550311733279391,2026-08-10 14:51:07.742010,2026-08-10 14:52:56.830892,0 days 00:01:49.088882,5,bior3.5|3,224x160,linear,0.0,0.6187678219290818,0.43103321197435757,0.7703236594083173,0.0,0.3106457242582897,5.0,"{'method': 'DWT', 'image_size': [224, 160], 'norm_type': 'linear', 'clip_pct': 5, 'wavelet': 'bior3.5', 'level': 3}",0.4550311733279391,0.0007325877069080263,0.0,0.0,4.467132806777954,0.21551660598717878,0.006508755285198123,"[{'seed': 42, 'Macro_F1': 0.4544455867717608, 'Rare_Macro_SF': 0.20825515947467166, 'Min_Rare_F1': 0.0, 'F1_N': 0.6251526251526252, 'F1_S': 0.4165103189493433, 'F1_V': 0.7761194029850746, 'F1_F': 0.0, 'Recall_S': 0.2905759162303665, 'Recall_F': 0.0, 'best_epoch': 8}, {'seed': 43, 'Macro_F1': 0.4547952880295471, 'Rare_Macro_SF': 0.22082585278276481, 'Min_Rare_F1': 0.0, 'F1_N': 0.6140776699029126, 'F1_S': 0.44165170556552963, 'F1_V': 0.7634517766497462, 'F1_F': 0.0, 'Recall_S': 0.3219895287958115, 'Recall_F': 0.0, 'best_epoch': 5}, {'seed': 44, 'Macro_F1': 0.45585264518250945, 'Rare_Macro_SF': 0.21746880570409982, 'Min_Rare_F1': 0.0, 'F1_N': 0.6170731707317073, 'F1_S': 0.43493761140819964, 'F1_V': 0.771399798590131, 'F1_F': 0.0, 'Recall_S': 0.3193717277486911, 'Recall_F': 0.0, 'best_epoch': 2}]",108.75462627410889,104.12961554527283,4,COMPLETE
1,0.20527347273472732,0.3994532041664866,2026-08-10 13:53:52.483298,2026-08-10 13:55:05.276636,0 days 00:01:12.793338,5,db4|3,128x128,sqrt,0.03333333333333333,0.5240032196635845,0.37721361213612137,0.6632626515329071,0.018518518518518517,0.27137870855148344,7.0,"{'method': 'DWT', 'image_size': [128, 128], 'norm_type': 'sqrt', 'clip_pct': 5, 'wavelet': 'db4', 'level': 3}",0.3994532041664866,0.01982641489841272,0.03333333333333333,0.05773502691896258,3.13979172706604,0.20527347273472732,0.039764178875786114,"[{'seed': 42, 'Macro_F1': 0.3828633190180354, 'Rare_Macro_SF': 0.164, 'Min_Rare_F1': 0.0, 'F1_N': 0.5826001955034213, 'F1_S': 0.328, 'F1_V': 0.6208530805687204, 'F1_F': 0.0, 'Recall_S': 0.21465968586387435, 'Recall_F': 0.0, 'best_epoch': 7}, {'seed': 43, 'Macro_F1': 0.3940854782314165, 'Rare_Macro_SF': 0.20848708487084872, 'Min_Rare_F1': 0.0, 'F1_N': 0.45170454545454547, 'F1_S': 0.41697416974169743, 'F1_V': 0.7076631977294229, 'F1_F': 0.0, 'Recall_S': 0.29581151832460734, 'Recall_F': 0.0, 'best_epoch': 8}, {'seed': 44, 'Macro_F1': 0.4214108152500079, 'Rare_Macro_SF': 0.24333333333333335, 'Min_Rare_F1': 0.1, 'F1_N': 0.5377049180327869, 'F1_S': 0.38666666666666666, 'F1_V': 0.661271676300578, 'F1_F': 0.1, 'Recall_S': 0.3036649214659686, 'Recall_F': 0.05555555555555555, 'best_epoch': 2}]",72.46075344085693,69.16633653640747,0,COMPLETE
36,0.19993316367105032,0.41180054216454903,2026-08-10 14:56:51.858659,2026-08-10 14:58:33.468742,0 days 00:01:41.610083,5,sym5|3,224x160,sqrt,0.007326007326007327,0.4971461262907824,0.3925403200160933,0.7501897150253131,0.018518518518518517,0.2801047120418848,4.0,"{'method': 'DWT', 'image_size': [224, 160], 'norm_type': 'sqrt', 'clip_pct': 5, 'wavelet': 'sym5', 'level': 3}",0.41180054216454903,0.03167767871969952,0.007326007326007327,0.012689016905266502,4.420987844467163,0.19993316367105032,0.047746103967078284,"[{'seed': 42, 'Macro_F1': 0.3792951395773825, 'Rare_Macro_SF': 0.14492753623188406, 'Min_Rare_F1': 0.0, 'F1_N': 0.47117794486215536, 'F1_S': 0.2898550724637681, 'F1_V': 0.7561475409836066, 'F1_F': 0.0, 'Recall_S': 0.18324607329842932, 'Recall_F': 0.0, 'best_epoch': 4}, {'seed': 43, 'Macro_F1': 0.41352656348460864, 'Rare_Macro_SF': 0.22419928825622776, 'Min_Rare_F1': 0.0, 'F1_N': 0.47390691114245415, 'F1_S': 0.4483985765124555, 'F1_V': 0.7318007662835249, 'F1_F': 0.0, 'Recall_S': 0.3298429319371728, 'Recall_F': 0.0, 'best_epoch': 7}, {'seed': 44, 'Macro_F1': 0.442579923431656, 'Rare_Macro_SF': 0.2306726665250391, 'Min_Rare_F1': 0.02197802197802198, 'F1_N': 0.546353522867738, 'F1_S': 0.43936731107205623, 'F1_V': 0.7626208378088077, 'F1_F': 0.02197802197802198, 'Recall_S': 0.32722513089005234, 'Recall_F': 0.05555555555555555, 'best_epoch': 2}]",101.29407835006714,96.72223114967346,4,COMPLETE
19,0.18139263780668916,0.41577595637886944,2026-08-10 14:27:22.800837,2026-08-10 14:29:09.056010,0 days 00:01:46.255173,5,sym5|3,224x192,sqrt,0.017543859649122806,0.5508345964288922,0.34524141596425556,0.7494839534732075,0.018518518518518517,0.23123909249563698,4.0,"{'method': 'DWT', 'image_size': [224, 192], 'norm_type': 'sqrt', 'clip_pct': 5, 'wavelet': 'sym5', 'level': 3}",0.41577595637886944,0.030578600692863674,0.017543859649122806,0.0303868562731382,5.112633466720581,0.18139263780668916,0.023849347196661767,"[{'seed': 42, 'Macro_F1': 0.38046857493506214, 'Rare_Macro_SF': 0.16427104722792607, 'Min_Rare_F1': 0.0, 'F1_N': 0.4674634794156706, 'F1_S': 0.32854209445585214, 'F1_V': 0.7258687258687259, 'F1_F': 0.0, 'Recall_S': 0.2094240837696335, 'Recall_F': 0.0, 'best_epoch': 4}, {'seed': 43, 'Macro_F1': 0.4331256207536928, 'Rare_Macro_SF': 0.17127377266696153, 'Min_Rare_F1': 0.05263157894736842, 'F1_N': 0.6343519494204426, 'F1_S': 0.28991596638655465, 'F1_V': 0.7556029882604055, 'F1_F': 0.05263157894736842, 'Recall_S': 0.1806282722513089, 'Recall_F': 0.05555555555555555, 'best_epoch': 4}, {'seed': 44, 'Macro_F1': 0.4337336734478535, 'Rare_Macro_SF': 0.20863309352517986, 'Min_Rare_F1': 0.0, 'F1_N': 0.5506883604505632, 'F1_S': 0.4172661870503597, 'F1_V': 0.7669801462904912, 'F1_F': 0.0, 'Recall_S': 0.3036649214659686, 'Recall_F': 0.0, 'best_epoch': 2}]",105.90805220603943,100.60936737060547,2,COMPLETE
23,0.18005489270573838,0.41413048220394505,2026-08-10 14:34:00.360989,2026-08-10 14:36:09.000437,0 days 00:02:08.639448,5,sym5|4,224x160,log1p,0.0,0.5342539193503931,0.36010978541147676,0.7621582240539103,0.0,0.24345549738219896,8.0,"{'method': 'DWT', 'image_size': [224, 160], 'norm_type': 'log1p', 'clip_pct': 5, 'wavelet': 'sym5', 'level': 4}",0.41413048220394505,0.012566273621561532,0.0,0.0,4.7728776931762695,0.18005489270573838,0.011034285966662023,"[{'seed': 42, 'Macro_F1': 0.4203722747008083, 'Rare_Macro_SF': 0.18250950570342206, 'Min_Rare_F1': 0.0, 'F1_N': 0.5456790123456791, 'F1_S': 0.3650190114068441, 'F1_V': 0.77079107505071, 'F1_F': 0.0, 'Recall_S': 0.2513089005235602, 'Recall_F': 0.0, 'best_epoch': 4}, {'seed': 43, 'Macro_F1': 0.4223538026561732, 'Rare_Macro_SF': 0.1896551724137931, 'Min_Rare_F1': 0.0, 'F1_N': 0.562874251497006, 'F1_S': 0.3793103448275862, 'F1_V': 0.7472306143001007, 'F1_F': 0.0, 'Recall_S': 0.2591623036649215, 'Recall_F': 0.0, 'best_epoch': 10}, {'seed': 44, 'Macro_F1': 0.3996653692548536, 'Rare_Macro_SF': 0.168, 'Min_Rare_F1': 0.0, 'F1_N': 0.4942084942084942, 'F1_S': 0.336, 'F1_V': 0.7684529828109201, 'F1_F': 0.0, 'Recall_S': 0.2198952879581152, 'Recall_F': 0.0, 'best_epoch': 8}]",128.31245708465576,123.39863753318787,2,COMPLETE
18,0.17934285000514497,0.4084121588214991,2026-08-10 14:25:37.031322,2026-08-10 14:27:22.542718,0 days 00:01:45.511396,5,sym5|3,192x224,log1p,0.0,0.5223688373211173,0.35868570001028993,0.7525940979545894,0.0,0.24869109947643983,4.0,"{'method': 'DWT', 'image_size': [192, 224], 'norm_type': 'log1p', 'clip_pct': 5, 'wavelet': 'sym5', 'level': 3}",0.4084121588214991,0.013253050812969475,0.0,0.0,4.899160623550415,0.17934285000514497,0.035858302827623575,"[{'seed': 42, 'Macro_F1': 0.42359675384586415, 'Rare_Macro_SF': 0.2117437722419929, 'Min_Rare_F1': 0.0, 'F1_N': 0.5238095238095238, 'F1_S': 0.4234875444839858, 'F1_V': 0.7470899470899471, 'F1_F': 0.0, 'Recall_S': 0.31151832460732987, 'Recall_F': 0.0, 'best_epoch': 4}, {'seed': 43, 'Macro_F1': 0.40246740836802947, 'Rare_Macro_SF': 0.14081632653061224, 'Min_Rare_F1': 0.0, 'F1_N': 0.5663322185061316, 'F1_S': 0.2816326530612245, 'F1_V': 0.7619047619047619, 'F1_F': 0.0, 'Recall_S': 0.1806282722513089, 'Recall_F': 0.0, 'best_epoch': 4}, {'seed': 44, 'Macro_F1': 0.39917231425060384, 'Rare_Macro_SF': 0.18546845124282982, 'Min_Rare_F1': 0.0, 'F1_N': 0.47696476964769646, 'F1_S': 0.37093690248565964, 'F1_V': 0.7487875848690592, 'F1_F': 0.0, 'Recall_S': 0.25392670157068065, 'Recall_F': 0.0, 'best_epoch': 2}]",105.17468166351318,100.1163260936737,2,COMPLETE
38,0.17934285000514497,0.4084121588214991,2026-08-10 14:59:21.598221,2026-08-10 15:01:06.762599,0 days 00:01:45.164378,5,sym5|3,192x224,log1p,0.0,0.5223688373211173,0.35868570001028993,0.7525940979545894,0.0,0.24869109947643983,4.0,"{'method': 'DWT', 'image_size': [192, 224], 'norm_type': 'log1p', 'clip_pct': 5, 'wavelet': 'sym5', 'level': 3}",0.4084121588214991,0.013253050812969475,0.0,0.0,4.7683680057525635,0.17934285000514497,0.035858302827623575,"[{'seed': 42, 'Macro_F1': 0.42359675384586415, 'Rare_Macro_SF': 0.2117437722419929, 'Min_Rare_F1': 0.0, 'F1_N': 0.5238095238095238, 'F1_S': 0.4234875444839858, 'F1_V': 0.7470899470899471, 'F1_F': 0.0, 'Recall_S': 0.31151832460732987, 'Recall_F': 0.0, 'best_epoch': 4}, {'seed': 43, 'Macro_F1': 0.40246740836802947, 'Rare_Macro_SF': 0.14081632653061224, 'Min_Rare_F1': 0.0, 'F1_N': 0.5663322185061316, 'F1_S': 0.2816326530612245, 'F1_V': 0.7619047619047619, 'F1_F': 0.0, 'Recall_S': 0.1806282722513089, 'Recall_F': 0.0, 'best_epoch': 4}, {'seed': 44, 'Macro_F1': 0.39917231425060384, 'Rare_Macro_SF': 0.18546845124282982, 'Min_Rare_F1': 0.0, 'F1_N': 0.47696476964769646, 'F1_S': 0.37093690248565964, 'F1_V': 0.7487875848690592, 'F1_F': 0.0, 'Recall_S': 0.25392670157068065, 'Recall_F': 0.0, 'best_epoch': 2}]",104.83357763290405,99.89656639099121,4,COMPLETE
26,0.17513962133566352,0.4026169413016322,2026-08-10 14:39:25.343641,2026-08-10 14:41:42.518228,0 days 00:02:17.174587,5,db4|3,192x224,sqrt,0.0,0.5906155935732663,0.35027924267132704,0.6695729289619358,0.0,0.2443280977312391,6.0,"{'method': 'DWT', 'image_size': [192, 224], 'norm_type': 'sqrt', 'clip_pct': 5, 'wavelet': 'db4', 'level': 3}",0.4026169413016322,0.03793813511148248,0.0,0.0,4.8187525272369385,0.17513962133566352,0.07015180117755751,"[{'seed': 42, 'Macro_F1': 0.3712690646075121, 'Rare_Macro_SF': 0.11160714285714286, 'Min_Rare_F1': 0.0, 'F1_N': 0.5780463242698892, 'F1_S': 0.22321428571428573, 'F1_V': 0.6838156484458735, 'F1_F': 0.0, 'Recall_S': 0.13089005235602094, 'Recall_F': 0.0, 'best_epoch': 4}, {'seed': 43, 'Macro_F1': 0.39179021803780456, 'Rare_Macro_SF': 0.16338582677165353, 'Min_Rare_F1': 0.0, 'F1_N': 0.5744456177402323, 'F1_S': 0.32677165354330706, 'F1_V': 0.665943600867679, 'F1_F': 0.0, 'Recall_S': 0.21727748691099477, 'Recall_F': 0.0, 'best_epoch': 7}, {'seed': 44, 'Macro_F1': 0.44479154125958004, 'Rare_Macro_SF': 0.2504258943781942, 'Min_Rare_F1': 0.0, 'F1_N': 0.6193548387096774, 'F1_S': 0.5008517887563884, 'F1_V': 0.6589595375722543, 'F1_F': 0.0, 'Recall_S': 0.38481675392670156, 'Recall_F': 0.0, 'best_epoch': 6}]",136.84134721755981,131.8646628856659,3,COMPLETE
