number,values_0,values_1,datetime_start,datetime_complete,duration,params_clip_pct,params_image_size,params_norm_type,params_swt_level,params_swt_wavelet,user_attrs_F1_F,user_attrs_F1_N,user_attrs_F1_S,user_attrs_F1_V,user_attrs_Recall_F,user_attrs_Recall_S,user_attrs_best_epoch_median,user_attrs_config,user_attrs_macro_f1_mean,user_attrs_macro_f1_std,user_attrs_min_rare_f1_mean,user_attrs_min_rare_f1_std,user_attrs_preprocessing_seconds,user_attrs_rare_macro_sf_mean,user_attrs_rare_macro_sf_std,user_attrs_run_results,user_attrs_total_seconds,user_attrs_training_seconds,system_attrs_NSGAIISampler:generation,state
25,0.25019626167200637,0.42194503180313775,2026-08-10 15:50:55.715128,2026-08-10 15:51:56.862018,0 days 00:01:01.146890,1,96x128,linear,2,sym5,0.09438867207829287,0.4629156898359658,0.40600385126572,0.7244719140325726,0.40740740740740744,0.32024432809773123,6.0,"{'method': 'SWT', 'image_size': [96, 128], 'norm_type': 'linear', 'clip_pct': 1, 'wavelet': 'sym5', 'level': 2}",0.42194503180313775,0.01437440090296191,0.09438867207829287,0.04013108963310595,2.542131185531616,0.25019626167200637,0.030053852423108537,"[{'seed': 42, 'Macro_F1': 0.4320170978519768, 'Rare_Macro_SF': 0.2435275469523032, 'Min_Rare_F1': 0.11009174311926606, 'F1_N': 0.5006587615283268, 'F1_S': 0.3769633507853403, 'F1_V': 0.7403545359749739, 'F1_F': 0.11009174311926606, 'Recall_S': 0.28272251308900526, 'Recall_F': 0.3333333333333333, 'best_epoch': 9}, {'seed': 43, 'Macro_F1': 0.40548365346884074, 'Rare_Macro_SF': 0.22403688701197966, 'Min_Rare_F1': 0.04878048780487805, 'F1_N': 0.4305343511450382, 'F1_S': 0.3992932862190813, 'F1_V': 0.7433264887063655, 'F1_F': 0.04878048780487805, 'Recall_S': 0.29581151832460734, 'Recall_F': 0.2777777777777778, 'best_epoch': 3}, {'seed': 44, 'Macro_F1': 0.42833434408859583, 'Rare_Macro_SF': 0.28302435105173634, 'Min_Rare_F1': 0.12429378531073447, 'F1_N': 0.45755395683453237, 'F1_S': 0.44175491679273826, 'F1_V': 0.6897347174163783, 'F1_F': 0.12429378531073447, 'Recall_S': 0.38219895287958117, 'Recall_F': 0.6111111111111112, 'best_epoch': 6}]",60.803274631500244,58.09603524208069,3,COMPLETE
16,0.21985350359303635,0.4344319177011075,2026-08-10 15:31:56.102942,2026-08-10 15:34:33.390728,0 days 00:02:37.287786,1,224x256,linear,3,db4,0.12679113001693645,0.5776721216537699,0.3129158771691362,0.7203485419645873,0.2037037037037037,0.20157068062827224,4.0,"{'method': 'SWT', 'image_size': [224, 256], 'norm_type': 'linear', 'clip_pct': 1, 'wavelet': 'db4', 'level': 3}",0.4344319177011075,0.04216028497772883,0.12679113001693645,0.08569786822001364,7.012280702590942,0.21985350359303635,0.05656493327112071,"[{'seed': 42, 'Macro_F1': 0.4816397234550888, 'Rare_Macro_SF': 0.26946750644145434, 'Min_Rare_F1': 0.21428571428571427, 'F1_N': 0.6378947368421053, 'F1_S': 0.3246492985971944, 'F1_V': 0.7497291440953413, 'F1_F': 0.21428571428571427, 'Recall_S': 0.21204188481675393, 'Recall_F': 0.16666666666666666, 'best_epoch': 3}, {'seed': 43, 'Macro_F1': 0.40052961998200276, 'Rare_Macro_SF': 0.1582575130962228, 'Min_Rare_F1': 0.043010752688172046, 'F1_N': 0.5222772277227723, 'F1_S': 0.27350427350427353, 'F1_V': 0.7633262260127932, 'F1_F': 0.043010752688172046, 'Recall_S': 0.16753926701570682, 'Recall_F': 0.2222222222222222, 'best_epoch': 4}, {'seed': 44, 'Macro_F1': 0.4211264096662308, 'Rare_Macro_SF': 0.23183549124143185, 'Min_Rare_F1': 0.12307692307692308, 'F1_N': 0.5728444003964321, 'F1_S': 0.3405940594059406, 'F1_V': 0.6479902557856273, 'F1_F': 0.12307692307692308, 'Recall_S': 0.225130890052356, 'Recall_F': 0.2222222222222222, 'best_epoch': 6}]",156.93474864959717,149.7688512802124,2,COMPLETE
35,0.21985350359303635,0.4344319177011075,2026-08-10 16:06:02.266318,2026-08-10 16:08:39.772971,0 days 00:02:37.506653,1,224x256,linear,3,db4,0.12679113001693645,0.5776721216537699,0.3129158771691362,0.7203485419645873,0.2037037037037037,0.20157068062827224,4.0,"{'method': 'SWT', 'image_size': [224, 256], 'norm_type': 'linear', 'clip_pct': 1, 'wavelet': 'db4', 'level': 3}",0.4344319177011075,0.04216028497772883,0.12679113001693645,0.08569786822001364,6.920655250549316,0.21985350359303635,0.05656493327112071,"[{'seed': 42, 'Macro_F1': 0.4816397234550888, 'Rare_Macro_SF': 0.26946750644145434, 'Min_Rare_F1': 0.21428571428571427, 'F1_N': 0.6378947368421053, 'F1_S': 0.3246492985971944, 'F1_V': 0.7497291440953413, 'F1_F': 0.21428571428571427, 'Recall_S': 0.21204188481675393, 'Recall_F': 0.16666666666666666, 'best_epoch': 3}, {'seed': 43, 'Macro_F1': 0.40052961998200276, 'Rare_Macro_SF': 0.1582575130962228, 'Min_Rare_F1': 0.043010752688172046, 'F1_N': 0.5222772277227723, 'F1_S': 0.27350427350427353, 'F1_V': 0.7633262260127932, 'F1_F': 0.043010752688172046, 'Recall_S': 0.16753926701570682, 'Recall_F': 0.2222222222222222, 'best_epoch': 4}, {'seed': 44, 'Macro_F1': 0.4211264096662308, 'Rare_Macro_SF': 0.23183549124143185, 'Min_Rare_F1': 0.12307692307692308, 'F1_N': 0.5728444003964321, 'F1_S': 0.3405940594059406, 'F1_V': 0.6479902557856273, 'F1_F': 0.12307692307692308, 'Recall_S': 0.225130890052356, 'Recall_F': 0.2222222222222222, 'best_epoch': 6}]",157.15745067596436,150.0749032497406,4,COMPLETE
32,0.21802524731717102,0.42875588307165335,2026-08-10 16:02:31.408727,2026-08-10 16:03:36.449412,0 days 00:01:05.040685,1,96x128,linear,2,db4,0.0588137316782383,0.500165208768354,0.37723676295610375,0.7788078288839172,0.2222222222222222,0.2731239092495637,8.0,"{'method': 'SWT', 'image_size': [96, 128], 'norm_type': 'linear', 'clip_pct': 1, 'wavelet': 'db4', 'level': 2}",0.42875588307165335,0.011213621889905104,0.0588137316782383,0.020701720036907453,2.5481746196746826,0.21802524731717102,0.025290496652776287,"[{'seed': 42, 'Macro_F1': 0.4168639596495188, 'Rare_Macro_SF': 0.2343981710331191, 'Min_Rare_F1': 0.05357142857142857, 'F1_N': 0.41243862520458263, 'F1_S': 0.41522491349480967, 'F1_V': 0.7862208713272543, 'F1_F': 0.05357142857142857, 'Recall_S': 0.31413612565445026, 'Recall_F': 0.3333333333333333, 'best_epoch': 8}, {'seed': 43, 'Macro_F1': 0.4302654122202529, 'Rare_Macro_SF': 0.1888970866816886, 'Min_Rare_F1': 0.041237113402061855, 'F1_N': 0.5603864734299517, 'F1_S': 0.3365570599613153, 'F1_V': 0.7828810020876826, 'F1_F': 0.041237113402061855, 'Recall_S': 0.22774869109947643, 'Recall_F': 0.1111111111111111, 'best_epoch': 3}, {'seed': 44, 'Macro_F1': 0.4391382773451884, 'Rare_Macro_SF': 0.2307804842367054, 'Min_Rare_F1': 0.08163265306122448, 'F1_N': 0.5276705276705277, 'F1_S': 0.37992831541218636, 'F1_V': 0.7673216132368149, 'F1_F': 0.08163265306122448, 'Recall_S': 0.2774869109947644, 'Recall_F': 0.2222222222222222, 'best_epoch': 9}]",64.68509197235107,61.98297309875488,4,COMPLETE
0,0.2139594081918428,0.4415207464243522,2026-08-10 15:02:39.511525,2026-08-10 15:04:17.126714,0 days 00:01:37.615189,3,224x192,linear,4,sym4,0.18540051679586564,0.6241049820737539,0.24251829958782,0.7140591872399691,0.16666666666666666,0.14921465968586387,3.0,"{'method': 'SWT', 'image_size': [224, 192], 'norm_type': 'linear', 'clip_pct': 3, 'wavelet': 'sym4', 'level': 4}",0.4415207464243522,0.030115522372859988,0.18540051679586564,0.05756607798117366,5.7881410121917725,0.2139594081918428,0.042274878524723405,"[{'seed': 42, 'Macro_F1': 0.4177954838146239, 'Rare_Macro_SF': 0.16978193146417445, 'Min_Rare_F1': 0.16666666666666666, 'F1_N': 0.6380090497737556, 'F1_S': 0.17289719626168223, 'F1_V': 0.693609022556391, 'F1_F': 0.16666666666666666, 'Recall_S': 0.0968586387434555, 'Recall_F': 0.1111111111111111, 'best_epoch': 3}, {'seed': 43, 'Macro_F1': 0.4313656888549316, 'Rare_Macro_SF': 0.21806403504683786, 'Min_Rare_F1': 0.13953488372093023, 'F1_N': 0.5844636251541308, 'F1_S': 0.2965931863727455, 'F1_V': 0.7048710601719198, 'F1_F': 0.13953488372093023, 'Recall_S': 0.193717277486911, 'Recall_F': 0.16666666666666666, 'best_epoch': 3}, {'seed': 44, 'Macro_F1': 0.47540106660350107, 'Rare_Macro_SF': 0.2540322580645161, 'Min_Rare_F1': 0.25, 'F1_N': 0.6498422712933754, 'F1_S': 0.25806451612903225, 'F1_V': 0.7436974789915967, 'F1_F': 0.25, 'Recall_S': 0.15706806282722513, 'Recall_F': 0.2222222222222222, 'best_epoch': 2}]",97.26608443260193,91.30195426940918,0,COMPLETE
27,0.19509809161862865,0.4318102912743406,2026-08-10 15:53:35.156676,2026-08-10 15:54:30.022292,0 days 00:00:54.865616,3,128x128,linear,4,sym4,0.1272727272727273,0.6188353883215009,0.26292345596453,0.7182095935386044,0.1111111111111111,0.16753926701570684,3.0,"{'method': 'SWT', 'image_size': [128, 128], 'norm_type': 'linear', 'clip_pct': 3, 'wavelet': 'sym4', 'level': 4}",0.4318102912743406,0.03994963834999763,0.1272727272727273,0.11059568236905855,3.5408241748809814,0.19509809161862865,0.06463677057013224,"[{'seed': 42, 'Macro_F1': 0.3861564592530584, 'Rare_Macro_SF': 0.1210762331838565, 'Min_Rare_F1': 0.0, 'F1_N': 0.6335078534031413, 'F1_S': 0.242152466367713, 'F1_V': 0.6689655172413793, 'F1_F': 0.0, 'Recall_S': 0.14136125654450263, 'Recall_F': 0.0, 'best_epoch': 4}, {'seed': 43, 'Macro_F1': 0.44891275791189683, 'Rare_Macro_SF': 0.2403846153846154, 'Min_Rare_F1': 0.2, 'F1_N': 0.5950413223140496, 'F1_S': 0.28076923076923077, 'F1_V': 0.7198404785643071, 'F1_F': 0.2, 'Recall_S': 0.19109947643979058, 'Recall_F': 0.16666666666666666, 'best_epoch': 3}, {'seed': 44, 'Macro_F1': 0.4603616566580666, 'Rare_Macro_SF': 0.223833426287414, 'Min_Rare_F1': 0.18181818181818182, 'F1_N': 0.6279569892473118, 'F1_S': 0.2658486707566462, 'F1_V': 0.7658227848101266, 'F1_F': 0.18181818181818182, 'Recall_S': 0.17015706806282724, 'Recall_F': 0.16666666666666666, 'best_epoch': 2}]",54.503809213638306,50.78948903083801,3,COMPLETE
14,0.1866331937873518,0.42119670211458676,2026-08-10 15:28:10.244931,2026-08-10 15:30:48.230316,0 days 00:02:37.985385,3,224x256,linear,3,sym4,0.02725629258795717,0.5936573753122915,0.34601009498674645,0.7178630455713518,0.037037037037037035,0.24083769633507854,4.0,"{'method': 'SWT', 'image_size': [224, 256], 'norm_type': 'linear', 'clip_pct': 3, 'wavelet': 'sym4', 'level': 3}",0.42119670211458676,0.005444020941948058,0.02725629258795717,0.0236635553012441,7.291940450668335,0.1866331937873518,0.027600678763456017,"[{'seed': 42, 'Macro_F1': 0.42539952481367227, 'Rare_Macro_SF': 0.15694164989939638, 'Min_Rare_F1': 0.0, 'F1_N': 0.6472642607683353, 'F1_S': 0.31388329979879276, 'F1_V': 0.7404505386875612, 'F1_F': 0.0, 'Recall_S': 0.20418848167539266, 'Recall_F': 0.0, 'best_epoch': 4}, {'seed': 43, 'Macro_F1': 0.41504688675402834, 'Rare_Macro_SF': 0.21150925158795914, 'Min_Rare_F1': 0.0392156862745098, 'F1_N': 0.5337078651685393, 'F1_S': 0.38380281690140844, 'F1_V': 0.7034611786716558, 'F1_F': 0.0392156862745098, 'Recall_S': 0.28534031413612565, 'Recall_F': 0.05555555555555555, 'best_epoch': 3}, {'seed': 44, 'Macro_F1': 0.4231436947760597, 'Rare_Macro_SF': 0.19144867987469996, 'Min_Rare_F1': 0.0425531914893617, 'F1_N': 0.6, 'F1_S': 0.3403441682600382, 'F1_V': 0.7096774193548387, 'F1_F': 0.0425531914893617, 'Recall_S': 0.23298429319371727, 'Recall_F': 0.05555555555555555, 'best_epoch': 6}]",157.64633059501648,150.19871377944946,1,COMPLETE
17,0.1866331937873518,0.42119670211458676,2026-08-10 15:34:33.639766,2026-08-10 15:37:11.501853,0 days 00:02:37.862087,3,224x256,linear,3,sym4,0.02725629258795717,0.5936573753122915,0.34601009498674645,0.7178630455713518,0.037037037037037035,0.24083769633507854,4.0,"{'method': 'SWT', 'image_size': [224, 256], 'norm_type': 'linear', 'clip_pct': 3, 'wavelet': 'sym4', 'level': 3}",0.42119670211458676,0.005444020941948058,0.02725629258795717,0.0236635553012441,7.146122455596924,0.1866331937873518,0.027600678763456017,"[{'seed': 42, 'Macro_F1': 0.42539952481367227, 'Rare_Macro_SF': 0.15694164989939638, 'Min_Rare_F1': 0.0, 'F1_N': 0.6472642607683353, 'F1_S': 0.31388329979879276, 'F1_V': 0.7404505386875612, 'F1_F': 0.0, 'Recall_S': 0.20418848167539266, 'Recall_F': 0.0, 'best_epoch': 4}, {'seed': 43, 'Macro_F1': 0.41504688675402834, 'Rare_Macro_SF': 0.21150925158795914, 'Min_Rare_F1': 0.0392156862745098, 'F1_N': 0.5337078651685393, 'F1_S': 0.38380281690140844, 'F1_V': 0.7034611786716558, 'F1_F': 0.0392156862745098, 'Recall_S': 0.28534031413612565, 'Recall_F': 0.05555555555555555, 'best_epoch': 3}, {'seed': 44, 'Macro_F1': 0.4231436947760597, 'Rare_Macro_SF': 0.19144867987469996, 'Min_Rare_F1': 0.0425531914893617, 'F1_N': 0.6, 'F1_S': 0.3403441682600382, 'F1_V': 0.7096774193548387, 'F1_F': 0.0425531914893617, 'Recall_S': 0.23298429319371727, 'Recall_F': 0.05555555555555555, 'best_epoch': 6}]",157.50693488121033,150.19013047218323,2,COMPLETE
37,0.18461632510273338,0.4275783772768203,2026-08-10 16:10:00.006501,2026-08-10 16:10:54.618135,0 days 00:00:54.611634,2,128x128,linear,4,sym4,0.11998651836872261,0.6184424337514454,0.24924613183674407,0.7226384251503694,0.1111111111111111,0.15357766143106458,3.0,"{'method': 'SWT', 'image_size': [128, 128], 'norm_type': 'linear', 'clip_pct': 2, 'wavelet': 'sym4', 'level': 4}",0.4275783772768203,0.04440990896790061,0.11998651836872261,0.10408832165531576,3.5373194217681885,0.18461632510273338,0.053563345805843966,"[{'seed': 42, 'Macro_F1': 0.37631811780435553, 'Rare_Macro_SF': 0.12276785714285714, 'Min_Rare_F1': 0.0, 'F1_N': 0.605890603085554, 'F1_S': 0.24553571428571427, 'F1_V': 0.6538461538461539, 'F1_F': 0.0, 'Recall_S': 0.14397905759162305, 'Recall_F': 0.0, 'best_epoch': 4}, {'seed': 43, 'Macro_F1': 0.45197183258180273, 'Rare_Macro_SF': 0.21521303476518253, 'Min_Rare_F1': 0.17391304347826086, 'F1_N': 0.61742006615215, 'F1_S': 0.2565130260521042, 'F1_V': 0.7600411946446962, 'F1_F': 0.17391304347826086, 'Recall_S': 0.16753926701570682, 'Recall_F': 0.1111111111111111, 'best_epoch': 3}, {'seed': 44, 'Macro_F1': 0.4544451814443027, 'Rare_Macro_SF': 0.2158680834001604, 'Min_Rare_F1': 0.18604651162790697, 'F1_N': 0.632016632016632, 'F1_S': 0.24568965517241378, 'F1_V': 0.7540279269602578, 'F1_F': 0.18604651162790697, 'Recall_S': 0.14921465968586387, 'Recall_F': 0.2222222222222222, 'best_epoch': 2}]",54.27847075462341,50.582505226135254,4,COMPLETE
15,0.18354205713787408,0.38933495190380984,2026-08-10 15:30:48.478416,2026-08-10 15:31:55.853584,0 days 00:01:07.375168,3,96x128,log1p,2,sym5,0.06647975871883098,0.5197119327816658,0.3006043555569172,0.6705437605578252,0.1111111111111111,0.22425828970331588,7.0,"{'method': 'SWT', 'image_size': [96, 128], 'norm_type': 'log1p', 'clip_pct': 3, 'wavelet': 'sym5', 'level': 2}",0.38933495190380984,0.023954976170887567,0.06647975871883098,0.03793245590898613,2.6583445072174072,0.18354205713787408,0.08021945994572305,"[{'seed': 42, 'Macro_F1': 0.4057075218590672, 'Rare_Macro_SF': 0.2527552477702029, 'Min_Rare_F1': 0.1016949152542373, 'F1_N': 0.48239895697522817, 'F1_S': 0.40381558028616854, 'F1_V': 0.6349206349206349, 'F1_F': 0.1016949152542373, 'Recall_S': 0.3324607329842932, 'Recall_F': 0.16666666666666666, 'best_epoch': 8}, {'seed': 43, 'Macro_F1': 0.4004565694052942, 'Rare_Macro_SF': 0.20224880382775118, 'Min_Rare_F1': 0.02631578947368421, 'F1_N': 0.5119760479041916, 'F1_S': 0.3781818181818182, 'F1_V': 0.6853526220614828, 'F1_F': 0.02631578947368421, 'Recall_S': 0.27225130890052357, 'Recall_F': 0.05555555555555555, 'best_epoch': 7}, {'seed': 44, 'Macro_F1': 0.361840764447068, 'Rare_Macro_SF': 0.0956221198156682, 'Min_Rare_F1': 0.07142857142857142, 'F1_N': 0.5647607934655776, 'F1_S': 0.11981566820276497, 'F1_V': 0.691358024691358, 'F1_F': 0.07142857142857142, 'Recall_S': 0.06806282722513089, 'Recall_F': 0.1111111111111111, 'best_epoch': 5}]",67.03869724273682,64.22179675102234,1,COMPLETE
