domain,metric,candidate_a,model_a,candidate_b,model_b,n_paired_seeds,mean_a,mean_b,mean_difference_a_minus_b,median_difference_a_minus_b,wins_a,ties,wins_b,wilcoxon_p_raw,wilcoxon_p_holm,significant_holm_0_05
RAW_1D,Rare_Macro_SF,CNN1D_T20_RARE,CNN1D,CNN1D_T33_BALANCED,CNN1D,10,0.09183055342461059,0.10805268825866905,-0.016222134834058453,-0.019200991185679184,4,0,6,0.76953125,1.0,False
RAW_1D,Min_Rare_F1,CNN1D_T20_RARE,CNN1D,CNN1D_T33_BALANCED,CNN1D,10,0.012917675249465943,0.04172123858995948,-0.028803563340493537,-0.017878420654114578,3,1,6,0.30078125,1.0,False
RAW_1D,Macro_F1,CNN1D_T20_RARE,CNN1D,CNN1D_T33_BALANCED,CNN1D,10,0.3715634634367614,0.3390574927196062,0.03250597071715518,0.023721179335970982,7,0,3,0.10546875,0.421875,False
RAW_1D,Rare_Macro_SF,CNN1D_T20_RARE,CNN1D,BILSTM1D_T24_BOTH,BILSTM1D,10,0.09183055342461059,0.16573410108146322,-0.07390354765685264,-0.07762644702731032,1,0,9,0.009765625,0.087890625,False
RAW_1D,Min_Rare_F1,CNN1D_T20_RARE,CNN1D,BILSTM1D_T24_BOTH,BILSTM1D,10,0.012917675249465943,0.07848443904262613,-0.06556676379316019,-0.060849720046922046,1,0,9,0.009765625,0.1171875,False
RAW_1D,Macro_F1,CNN1D_T20_RARE,CNN1D,BILSTM1D_T24_BOTH,BILSTM1D,10,0.3715634634367614,0.49877819539867324,-0.12721473196191177,-0.12821617542885033,0,0,10,0.001953125,0.029296875,True
RAW_1D,Rare_Macro_SF,CNN1D_T20_RARE,CNN1D,TRANSFORMER1D_T30_BALANCED,TRANSFORMER1D,10,0.09183055342461059,0.242186692874456,-0.15035613944984544,-0.162583377211238,0,0,10,0.001953125,0.029296875,True
RAW_1D,Min_Rare_F1,CNN1D_T20_RARE,CNN1D,TRANSFORMER1D_T30_BALANCED,TRANSFORMER1D,10,0.012917675249465943,0.011244919782546886,0.0016727554669190591,-0.002523659305993691,4,1,5,1.0,1.0,False
RAW_1D,Macro_F1,CNN1D_T20_RARE,CNN1D,TRANSFORMER1D_T30_BALANCED,TRANSFORMER1D,10,0.3715634634367614,0.44451267040863945,-0.0729492069718781,-0.08836913771491361,1,0,9,0.009765625,0.087890625,False
RAW_1D,Rare_Macro_SF,CNN1D_T20_RARE,CNN1D,TRANSFORMER1D_T31_RARE,TRANSFORMER1D,10,0.09183055342461059,0.19741509912530691,-0.10558454570069635,-0.10095192371204015,1,0,9,0.00390625,0.05078125,False
RAW_1D,Min_Rare_F1,CNN1D_T20_RARE,CNN1D,TRANSFORMER1D_T31_RARE,TRANSFORMER1D,10,0.012917675249465943,0.004296254687782238,0.008621420561683708,0.0,4,2,4,0.640625,1.0,False
RAW_1D,Macro_F1,CNN1D_T20_RARE,CNN1D,TRANSFORMER1D_T31_RARE,TRANSFORMER1D,10,0.3715634634367614,0.43894740541248956,-0.06738394197572817,-0.05522823412237107,2,0,8,0.013671875,0.095703125,False
RAW_1D,Rare_Macro_SF,CNN1D_T20_RARE,CNN1D,CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,10,0.09183055342461059,0.11598335220639311,-0.02415279878178251,-0.03231404496981226,3,0,7,0.375,1.0,False
RAW_1D,Min_Rare_F1,CNN1D_T20_RARE,CNN1D,CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,10,0.012917675249465943,0.01121656459232633,0.0017011106571396136,-3.3027825943358555e-06,4,1,5,0.91015625,1.0,False
RAW_1D,Macro_F1,CNN1D_T20_RARE,CNN1D,CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,10,0.3715634634367614,0.4309318757328972,-0.059368412296135764,-0.06744956092226614,2,0,8,0.01953125,0.1171875,False
RAW_1D,Rare_Macro_SF,CNN1D_T33_BALANCED,CNN1D,BILSTM1D_T24_BOTH,BILSTM1D,10,0.10805268825866905,0.16573410108146322,-0.05768141282279419,-0.04429553007009451,2,0,8,0.10546875,0.6328125,False
RAW_1D,Min_Rare_F1,CNN1D_T33_BALANCED,CNN1D,BILSTM1D_T24_BOTH,BILSTM1D,10,0.04172123858995948,0.07848443904262613,-0.03676320045266665,-0.031132797550707997,3,0,7,0.064453125,0.64453125,False
RAW_1D,Macro_F1,CNN1D_T33_BALANCED,CNN1D,BILSTM1D_T24_BOTH,BILSTM1D,10,0.3390574927196062,0.49877819539867324,-0.15972070267906696,-0.15678456197782978,0,0,10,0.001953125,0.029296875,True
RAW_1D,Rare_Macro_SF,CNN1D_T33_BALANCED,CNN1D,TRANSFORMER1D_T30_BALANCED,TRANSFORMER1D,10,0.10805268825866905,0.242186692874456,-0.134134004615787,-0.12832958999713578,1,0,9,0.00390625,0.05078125,False
RAW_1D,Min_Rare_F1,CNN1D_T33_BALANCED,CNN1D,TRANSFORMER1D_T30_BALANCED,TRANSFORMER1D,10,0.04172123858995948,0.011244919782546886,0.0304763188074126,0.018078674378942478,6,1,3,0.25,1.0,False
RAW_1D,Macro_F1,CNN1D_T33_BALANCED,CNN1D,TRANSFORMER1D_T30_BALANCED,TRANSFORMER1D,10,0.3390574927196062,0.44451267040863945,-0.1054551776890333,-0.09709834995886041,0,0,10,0.001953125,0.029296875,True
RAW_1D,Rare_Macro_SF,CNN1D_T33_BALANCED,CNN1D,TRANSFORMER1D_T31_RARE,TRANSFORMER1D,10,0.10805268825866905,0.19741509912530691,-0.0893624108666379,-0.09614237505342815,1,0,9,0.01953125,0.15625,False
RAW_1D,Min_Rare_F1,CNN1D_T33_BALANCED,CNN1D,TRANSFORMER1D_T31_RARE,TRANSFORMER1D,10,0.04172123858995948,0.004296254687782238,0.03742498390217725,0.021895036716699606,7,1,2,0.02734375,0.30078125,False
RAW_1D,Macro_F1,CNN1D_T33_BALANCED,CNN1D,TRANSFORMER1D_T31_RARE,TRANSFORMER1D,10,0.3390574927196062,0.43894740541248956,-0.09988991269288335,-0.09705663018357444,0,0,10,0.001953125,0.029296875,True
RAW_1D,Rare_Macro_SF,CNN1D_T33_BALANCED,CNN1D,CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,10,0.10805268825866905,0.11598335220639311,-0.00793066394772406,-0.006208653408587353,4,0,6,0.845703125,1.0,False
RAW_1D,Min_Rare_F1,CNN1D_T33_BALANCED,CNN1D,CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,10,0.04172123858995948,0.01121656459232633,0.03050467399763316,0.006623414552952754,6,0,4,0.232421875,1.0,False
