rank_rare_priority,candidate_id,model_id,domain,trial_number,roles,n_parameters,n_seeds,best_epoch_mean,time_s_mean,Macro_F1_mean,Macro_F1_std,Macro_F1_ci95_low,Macro_F1_ci95_high,Rare_Macro_SF_mean,Rare_Macro_SF_std,Rare_Macro_SF_ci95_low,Rare_Macro_SF_ci95_high,Min_Rare_F1_mean,Min_Rare_F1_std,Min_Rare_F1_ci95_low,Min_Rare_F1_ci95_high,F1_N_mean,F1_N_std,F1_N_ci95_low,F1_N_ci95_high,F1_S_mean,F1_S_std,F1_S_ci95_low,F1_S_ci95_high,F1_V_mean,F1_V_std,F1_V_ci95_low,F1_V_ci95_high,F1_F_mean,F1_F_std,F1_F_ci95_low,F1_F_ci95_high,Precision_S_mean,Precision_S_std,Precision_S_ci95_low,Precision_S_ci95_high,Precision_F_mean,Precision_F_std,Precision_F_ci95_low,Precision_F_ci95_high,Recall_S_mean,Recall_S_std,Recall_S_ci95_low,Recall_S_ci95_high,Recall_F_mean,Recall_F_std,Recall_F_ci95_low,Recall_F_ci95_high
1,BILSTM2D_T7_BOTH,BILSTM2D,STFT_2D,7,balanced_minrare_all_unique;rare_priority,318885,10,8.5,39.08929531574249,0.48143803588992656,0.053091605063146245,0.4434585895579994,0.5194174822218538,0.25611231365795945,0.04630685918919274,0.2229863821423408,0.2892382451735781,0.1440689161572469,0.06874086724793521,0.09489466204780875,0.19324317026668505,0.9362476436113859,0.04346919358303944,0.9051516557840146,0.9673436314387572,0.3681557111586719,0.060250323068783355,0.32505522646338914,0.4112561958539547,0.47727987263240157,0.1690355956279122,0.3563590919421221,0.598200653322681,0.1440689161572469,0.06874086724793521,0.09489466204780875,0.19324317026668505,0.685045136050664,0.07320685372204283,0.6326761076749224,0.7374141644264055,0.11533226340501564,0.060462838529494876,0.07207975430728358,0.1585847725027477,0.2575916230366492,0.06059642427210305,0.21424355245540078,0.3009396936178976,0.22777777777777777,0.09604668503622177,0.1590701183398296,0.29648543721572596
2,TRANSFORMER1D_T30_BALANCED,TRANSFORMER1D,RAW_1D,30,balanced_minrare_all_unique,436084,10,7.6,88.7458601474762,0.44451267040863945,0.046638631303725926,0.41114940341967515,0.47787593739760376,0.242186692874456,0.05160500893939036,0.20527069334607306,0.2791026924028389,0.011244919782546886,0.01865230936594805,-0.0020981385350150455,0.024587978100108817,0.8754774093422032,0.052614363446762964,0.8378393610963808,0.9131154575880256,0.4731284659663652,0.1059836653914502,0.3973123190066339,0.5489446129260965,0.41819988654344276,0.10222434529907073,0.3450729951736158,0.49132677791326973,0.011244919782546886,0.01865230936594805,-0.0020981385350150455,0.024587978100108817,0.8077823254130425,0.09216997871893447,0.7418478946116545,0.8737167562144306,0.00936278876633201,0.02046540894997793,-0.005277282859910285,0.024002860392574307,0.34685863874345546,0.11214357408466594,0.2666359585597746,0.4270813189271363,0.15555555555555556,0.17916128329552333,0.02739129426436951,0.28371981684674163
3,TRANSFORMER1D_T31_RARE,TRANSFORMER1D,RAW_1D,31,rare_priority,367764,10,11.6,107.20251216888428,0.43894740541248956,0.03874016504468679,0.4112343608086448,0.4666604500163343,0.19741509912530691,0.036281833796239726,0.17146063875724568,0.22336955949336815,0.004296254687782238,0.008058183348518308,-0.0014682224203005807,0.010060731795865056,0.8852773491450803,0.07656807421280648,0.8305038484787214,0.9400508498114392,0.3905339435628316,0.06847505872414368,0.3415498374165583,0.4395180497091049,0.475682074254264,0.12814709549420356,0.3840111645101382,0.5673529839983898,0.004296254687782238,0.008058183348518308,-0.0014682224203005807,0.010060731795865056,0.8211582452296045,0.10036876488029595,0.7493587561269648,0.8929577343322441,0.002245830802995472,0.004236830133620759,-0.0007850148925896395,0.005276676498580584,0.2604712041884817,0.060155652950171584,0.21743844241633858,0.3035039659606248,0.06666666666666668,0.10409977275966811,-0.007801824688778783,0.14113515802211213
4,BILSTM1D_T24_BOTH,BILSTM1D,RAW_1D,24,balanced_minrare_all_unique;rare_priority,328228,10,7.4,31.61990554332733,0.49877819539867324,0.02023123716072102,0.4843056401790635,0.513250750618283,0.16573410108146322,0.05472207124567059,0.1265882895058868,0.20487991265703964,0.07848443904262613,0.055613108717093566,0.038701217658372894,0.11826766042687936,0.9671034093016493,0.010740206215191464,0.9594203286138732,0.9747864899894254,0.25298376312030035,0.09825026433155197,0.18269975801554478,0.32326776822505593,0.6965411701301168,0.1021507589833086,0.6234669192394566,0.7696154210207771,0.07848443904262613,0.055613108717093566,0.038701217658372894,0.11826766042687936,0.5181307117724112,0.20829665139244602,0.3691242637045792,0.6671371598402432,0.04891576271510696,0.038834091442581875,0.02113552721387332,0.0766959982163406,0.17460732984293195,0.06875348778635822,0.1254240475441756,0.2237906121416883,0.2833333333333333,0.12408789309445152,0.1945662020586746,0.37210046460799207
5,CNN_BILSTM2D_T14_RARE,CNN_BILSTM2D,STFT_2D,14,rare_priority,290004,10,9.1,55.96415224075317,0.431233643597302,0.03997056075002843,0.4026404269285427,0.4598268602660613,0.1576699040058221,0.0651379955679649,0.11107298903404052,0.20426681897760368,0.033380891382190504,0.03672177023843098,0.0071117194420118116,0.0596500633223692,0.9299861026015407,0.04617354782775016,0.8969555362889767,0.9630166689141046,0.2793601596945686,0.12715358148530048,0.1883999670579078,0.37032035233122945,0.47960866377602285,0.10850984273888159,0.4019853984050552,0.5572319291469905,0.03597964831707558,0.03932597015703875,0.007847543980546542,0.06411175265360461,0.5254760699935377,0.2917244724965543,0.316788953947322,0.7341631860397534,0.027404922162139782,0.04289320708591446,-0.0032790297467571276,0.05808887407103669,0.22591623036649217,0.0784957246113318,0.16976377167521706,0.2820686890577673,0.16666666666666669,0.0868595511078413,0.10453108693062524,0.22880224640270813
6,VIT2D_T16_BOTH,VIT2D,STFT_2D,16,balanced_minrare_all_unique;rare_priority,430340,10,5.9,61.1470055103302,0.3474724635256731,0.02890233329942619,0.32679697980075184,0.3681479472505944,0.15430449588841236,0.043008399239979705,0.1235381404765892,0.1850708513002355,0.0690622738320474,0.05346638560024305,0.030814725654677994,0.1073098220094168,0.835620007050611,0.029835303123479345,0.8142771169189745,0.8569628971822475,0.2395467179447773,0.0636186529450889,0.1940366752108325,0.2850567606787221,0.2456608552752569,0.024488142166755246,0.22814309366144428,0.26317861688906957,0.0690622738320474,0.05346638560024305,0.030814725654677994,0.1073098220094168,0.6545500631106508,0.238364433692285,0.48403441932687497,0.8250657068944266,0.05174178762414057,0.04052478398719288,0.02275210353521645,0.08073147171306469,0.15837696335078535,0.04728576123416239,0.12455076749701155,0.19220315920455916,0.14444444444444446,0.14151831981142815,0.04320833704347281,0.2456805518454161
7,CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,RAW_1D,16,balanced_minrare_all_unique;rare_priority,250292,10,8.6,34.26400446891785,0.4309318757328972,0.035127867808709135,0.4058029129032916,0.4560608385625028,0.11598335220639311,0.04962649414686997,0.08048269689843975,0.15148400751434649,0.01121656459232633,0.018827503789368538,-0.002251820265920095,0.024684949450572757,0.8703232201205257,0.08305029383007533,0.8109126188848205,0.9297338213562308,0.21671314813936532,0.10489985519951592,0.1416723122852147,0.29175398399351593,0.6214375783982768,0.12192578237080455,0.5342171279612904,0.7086580288352633,0.015253556273420876,0.0225163232412382,-0.0008536510546646361,0.031360763601506386,0.5858688061714679,0.25281833376104884,0.40501346515503645,0.7667241471878993,0.0086313915123433,0.013327955374910236,-0.0009028534078031527,0.01816563643248975,0.13481675392670156,0.06778537893311021,0.08632601498186464,0.18330749287153847,0.3111111111111111,0.20319802554585487,0.16575200025368872,0.4564702219685335
8,CNN1D_T33_BALANCED,CNN1D,RAW_1D,33,balanced_minrare_all_unique,277684,10,5.1,26.909426641464233,0.3390574927196062,0.0299169633938027,0.3176561863496491,0.36045879908956335,0.10805268825866905,0.05975316091499737,0.06530785194349313,0.150797524573845,0.04172123858995948,0.06550628952113474,-0.005139138004655888,0.08858161518457484,0.8533598379443299,0.04095252642936916,0.8240641653454106,0.8826555105432492,0.1608889684673516,0.07250651504336385,0.1090209322019338,0.21275700473276937,0.2867647564167568,0.02833755933585679,0.2664932876469973,0.3070362251865163,0.055216408049986496,0.08773329299982692,-0.0075442089825381725,0.11797702508251116,0.3777296814909187,0.26389653497291776,0.18894947273164844,0.5665098902501889,0.049044331298707264,0.08146682141315269,-0.009233522008110284,0.10732218460552481,0.12931937172774868,0.04879076790228706,0.0944165589603734,0.16422218449512396,0.16666666666666669,0.20786985482077452,0.01796553047383198,0.3153678028595014
9,CNN2D_T19_BOTH,CNN2D,STFT_2D,19,balanced_minrare_all_unique;rare_priority,296070,10,4.2,40.718270897865295,0.3274590545006987,0.022479166758037034,0.31137842731947335,0.343539681681924,0.10381186937516833,0.04617243182238128,0.07078210140475208,0.13684163734558458,0.049560978015296964,0.03999852531598946,0.020947756701154455,0.07817419932943948,0.8565357502512274,0.03716377182190405,0.8299503894258535,0.8831211110766013,0.09536757813003086,0.09314252957236319,0.028737426359217666,0.16199772990084405,0.24567672900123042,0.05846764909538716,0.2038514924439423,0.28750196555851854,0.11225616062030579,0.07041324332591124,0.06188556073407779,0.1626267605065338,0.46966040795983666,0.34333535820576017,0.22405308839736565,0.7152677275223076,0.1315440452952768,0.10042739306575679,0.05970261611528216,0.20338547447527144,0.08167539267015705,0.08351291378475727,0.021933853055022108,0.141416932285292,0.18333333333333335,0.09091064969358206,0.11829977224714265,0.24836689441952403
10,CNN1D_T20_RARE,CNN1D,RAW_1D,20,rare_priority,536836,10,3.9,24.662016415596007,0.3715634634367614,0.05370128266462721,0.33314788002218837,0.4099790468513344,0.09183055342461059,0.05774653303803358,0.050521172218969436,0.13313993463025176,0.012917675249465943,0.025519984483918796,-0.005338221891820651,0.031173572390752538,0.8695566460446684,0.05745345134123895,0.8284569228548481,0.9106563692344888,0.11169529832029998,0.12441750109063326,0.02269237968930364,0.2006982169512963,0.433036100853156,0.15886778750231592,0.31938893192428625,0.5466832697820259,0.0719658085289212,0.10822685066017412,-0.005455016504203089,0.1493866335620455,0.33275685535161076,0.25090204638295804,0.1532723437449549,0.5122413669582666,0.07107727423114127,0.10072215340086065,-0.0009750137901813616,0.1431295622524639,0.07408376963350785,0.08717316793144408,0.011723841936868026,0.13644369733014766,0.22222222222222224,0.19598157859737708,0.0820254465260919,0.3624189979183526
