number,values_0,values_1,params_dropout,params_head_dim,params_hidden_size,params_learning_rate,params_lstm_dropout,params_n_layers,params_rr_dim,params_weight_decay,user_attrs_F1_F_mean,user_attrs_F1_F_std,user_attrs_F1_N_mean,user_attrs_F1_N_std,user_attrs_F1_S_mean,user_attrs_F1_S_std,user_attrs_F1_V_mean,user_attrs_F1_V_std,user_attrs_Macro_F1_mean,user_attrs_Macro_F1_std,user_attrs_Min_Rare_F1_mean,user_attrs_Min_Rare_F1_std,user_attrs_Precision_F_mean,user_attrs_Precision_F_std,user_attrs_Precision_S_mean,user_attrs_Precision_S_std,user_attrs_Rare_Macro_SF_mean,user_attrs_Rare_Macro_SF_std,user_attrs_Recall_F_mean,user_attrs_Recall_F_std,user_attrs_Recall_S_mean,user_attrs_Recall_S_std,user_attrs_best_epoch_mean,user_attrs_domain,user_attrs_model_id,user_attrs_n_parameters,user_attrs_time_s,state
0,0.12088500868058996,0.4885038164392438,0.30000000000000004,64,104,0.0006566178728889728,0.4,2,32,0.00015529450399241518,0.024408659380376528,0.0018204776582391841,0.9549873503425133,0.025264719328532952,0.21736135798080342,0.05225375831466531,0.757257898053282,0.052816123440163655,0.4885038164392438,0.03303876968540033,0.024408659380376528,0.0018204776582391841,0.012616232577504907,0.0010561295628806495,0.44858858487062025,0.3831438439845147,0.12088500868058996,0.027037117986452246,0.38888888888888884,0.07856742013183861,0.168848167539267,0.020361713594377023,14.5,RAW_1D,BILSTM1D,366116,130.76866793632507,COMPLETE
1,,,0.30000000000000004,64,112,,0.4,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,724500,,PRUNED
2,,,0.5,64,120,,0.2,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,831012,,PRUNED
3,,,0.2,64,128,,,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,153060,,PRUNED
4,,,0.6,128,104,,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,118420,,PRUNED
5,,,0.5,64,120,,,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,135972,,PRUNED
6,,,0.5,64,128,,0.2,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,943588,,PRUNED
7,,,0.6,64,104,,,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,104868,,PRUNED
8,,,0.5,128,128,,0.2,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,960212,,PRUNED
9,,,0.5,128,128,,,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,171812,,PRUNED
10,0.019978698317249622,0.3664916763079251,0.6,64,128,0.0005786898291007551,0.4,2,16,0.0001268798399395745,0.03571428571428571,0.050507627227610534,0.8623300903281771,0.0813738720609742,0.004243110920213533,0.0013268664012401987,0.5636792182690242,0.14616088003446726,0.3664916763079251,0.028491942199965866,0.0016524373450839988,0.002336899304389581,0.05,0.07071067811865477,0.12592336103416435,0.1754708655991548,0.019978698317249622,0.02459038041318517,0.027777777777777776,0.039283710065919304,0.009162303664921465,0.009255324361080465,5.5,RAW_1D,BILSTM1D,547220,87.69197177886963,COMPLETE
11,,,0.6,64,112,,0.1,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,724500,,PRUNED
