number,values_0,values_1,params_dropout,params_head_dim,params_hidden_size,params_input_projection,params_learning_rate,params_lstm_dropout,params_n_layers,params_pooling,params_rr_dim,params_weight_decay,user_attrs_F1_F_mean,user_attrs_F1_F_std,user_attrs_F1_N_mean,user_attrs_F1_N_std,user_attrs_F1_S_mean,user_attrs_F1_S_std,user_attrs_F1_V_mean,user_attrs_F1_V_std,user_attrs_Macro_F1_mean,user_attrs_Macro_F1_std,user_attrs_Min_Rare_F1_mean,user_attrs_Min_Rare_F1_std,user_attrs_Precision_F_mean,user_attrs_Precision_F_std,user_attrs_Precision_S_mean,user_attrs_Precision_S_std,user_attrs_Rare_Macro_SF_mean,user_attrs_Rare_Macro_SF_std,user_attrs_Recall_F_mean,user_attrs_Recall_F_std,user_attrs_Recall_S_mean,user_attrs_Recall_S_std,user_attrs_best_epoch_mean,user_attrs_domain,user_attrs_model_id,user_attrs_n_parameters,user_attrs_time_s,state
0,0.271117794606802,0.4781098959809037,0.30000000000000004,64,112,96,0.001896288061691342,0.2,2,attention,32,0.00010178862708048363,0.09830184166467353,0.013868155000549371,0.9377493075022981,0.04228899774058476,0.44393374754893045,0.025701155478996134,0.4324546872077125,0.1263966498919106,0.4781098959809037,0.03227908428823747,0.09830184166467353,0.013868155000549371,0.07894736842105263,0.03721614637823934,0.7292399530966849,0.08050208317953661,0.271117794606802,0.019784655239772762,0.19444444444444445,0.11785113019775793,0.3193717277486911,0.01110638923329653,13.5,STFT_2D,BILSTM2D,520677,118.4254789352417,COMPLETE
1,0.0,0.3084439299839865,0.6,128,80,96,0.00013234146579958316,0.30000000000000004,2,mean,32,0.0002002050008487476,0.0,0.0,0.879354053608968,0.05656269583132578,0.0,0.0,0.3544216663269778,0.1005240419422127,0.3084439299839865,0.03927168444338463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STFT_2D,BILSTM2D,306756,34.63566040992737,COMPLETE
2,,,0.30000000000000004,128,128,128,,0.0,2,mean,32,,,,,,,,,,,,,,,,,,,,,,,,,,,713892,,PRUNED
3,,,0.4,128,96,96,,,1,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,191237,,PRUNED
4,,,0.4,64,112,64,,0.2,3,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,790661,,PRUNED
5,,,0.6,64,112,96,,,1,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,217829,,PRUNED
6,,,0.5,64,112,64,,,1,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,184965,,PRUNED
7,0.30639717302418906,0.45792073428734303,0.4,128,128,128,0.0023942104033463168,,1,attention,32,1.1605943819949519e-05,0.2017921146953405,0.0339614009602141,0.8936201466154678,0.0028396647199007024,0.4110022313530376,0.05541209833433046,0.32526844448552633,0.013083071346998845,0.45792073428734303,0.026324058840361028,0.2017921146953405,0.0339614009602141,0.1536195286195286,0.007737700467529565,0.7494670542635659,0.018431368618137708,0.30639717302418906,0.04468674964727228,0.3055555555555556,0.11785113019775793,0.28403141361256545,0.049978751549834506,7.5,STFT_2D,BILSTM2D,318885,59.605337381362915,COMPLETE
8,0.136558328137606,0.4001881098649511,0.5,128,80,64,0.0010686173765870409,0.4,3,mean,16,8.423280853575758e-07,0.15075757575757576,0.0010713739108887154,0.9223229908985877,0.01834896036730633,0.12235908051763619,0.034352279592380276,0.4053127922860046,0.2867504917361137,0.4001881098649511,0.06741894965003775,0.12235908051763619,0.034352279592380276,0.12026515151515152,0.022766695606385043,0.10513701062200083,0.051862436208018184,0.136558328137606,0.01771182675163449,0.2222222222222222,0.07856742013183864,0.16230366492146597,0.014808518977728741,9.0,STFT_2D,BILSTM2D,434836,75.81503129005432,COMPLETE
9,,,0.30000000000000004,128,96,96,,0.2,3,mean,16,,,,,,,,,,,,,,,,,,,,,,,,,,,634356,,PRUNED
10,,,0.2,64,128,128,,0.2,3,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1090661,,PRUNED
11,0.1601149530059958,0.350349294988735,0.2,128,112,128,0.0003007512647708076,,1,mean,16,2.489526325385897e-07,0.1365289256198347,0.14633019670174505,0.8401727285384815,0.055015234910317276,0.18370098039215688,0.1350088682706668,0.24099454540446702,0.02215984017040757,0.350349294988735,0.02212410087795073,0.060646572678658243,0.039016344027551365,0.22399445214979194,0.2893155346047594,0.6879905808477237,0.006105317576963911,0.1601149530059958,0.005660664215539124,0.1388888888888889,0.039283710065919304,0.1112565445026178,0.09070217873858856,3.5,STFT_2D,BILSTM2D,265044,41.033960580825806,COMPLETE
12,,,0.4,128,80,128,,,1,mean,32,,,,,,,,,,,,,,,,,,,,,,,,,,,176548,,PRUNED
13,0.20599289689017755,0.49686834641823047,0.4,128,80,128,0.002615592660691466,0.4,3,mean,32,9.002063908749006e-07,0.03572832496178205,0.03879126958594906,0.9699357071973786,0.00901078209689219,0.376257468818573,0.03464635823123377,0.6055518846951882,0.00754676322698291,0.49686834641823047,0.005175614169647657,0.03572832496178205,0.03879126958594906,0.021722671946887193,0.024378732424578425,0.6047302641987027,0.1645553037692472,0.20599289689017755,0.0020724556773576465,0.1111111111111111,0.07856742013183861,0.27617801047120416,0.0018510648722161146,9.5,STFT_2D,BILSTM2D,486308,80.85200691223145,COMPLETE
14,,,0.4,64,128,128,,0.30000000000000004,2,attention,16,,,,,,,,,,,,,,,,,,,,,,,,,,,694293,,PRUNED
15,,,0.30000000000000004,128,128,64,,0.2,3,attention,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1033365,,PRUNED
16,,,0.30000000000000004,128,96,128,,0.2,3,mean,16,,,,,,,,,,,,,,,,,,,,,,,,,,,663124,,PRUNED
17,0.05054101221640489,0.3508858217687954,0.4,128,80,64,0.00011660447170483322,0.2,2,attention,32,8.942480883755538e-07,0.04,0.0565685424949238,0.925836542052919,0.054359084757929166,0.06108202443280977,0.08638302737008434,0.3766247205894528,0.14146233436023614,0.3508858217687954,0.013217462313289286,0.04,0.0565685424949238,0.03125,0.04419417382415922,0.09162303664921466,0.1295745410551265,0.05054101221640489,0.07147578493250407,0.05555555555555555,0.07856742013183861,0.04581151832460733,0.06478727052756325,7.0,STFT_2D,BILSTM2D,282245,60.876718044281006,COMPLETE
18,0.27825522156827304,0.4708033186889554,0.4,128,80,64,0.0019583146676577347,0.2,3,mean,32,0.0005572021637882492,0.19500515245196096,0.24800386954872786,0.9027166065941956,0.07523485062273476,0.36150529068458515,0.025657311326776452,0.42398622502508,0.23199323543600187,0.4708033186889554,0.008391726295808087,0.19500515245196096,0.24800386954872786,0.28283679970020614,0.3856825632441521,0.6409963146524336,0.1568952141252652,0.27825522156827304,0.13683059043775214,0.3055555555555556,0.03928371006591928,0.25392670157068065,0.0,11.5,STFT_2D,BILSTM2D,436964,85.01256704330444,COMPLETE
19,0.11416314219517881,0.35442104014099185,0.4,128,112,64,0.00024954876960934873,0.0,2,attention,16,5.0525919612744416e-05,0.0794314381270903,0.050845470887995896,0.8822130061037924,0.040093527259432306,0.14889484626326732,0.018762818080505287,0.3071448700698174,0.012949717548789718,0.35442104014099185,0.005240148000182824,0.0794314381270903,0.050845470887995896,0.052740863787375414,0.024079217631767815,0.20969229275868764,0.14019273932959847,0.11416314219517881,0.016041326403745317,0.19444444444444442,0.19641855032959654,0.14267015706806283,0.04627662180540231,7.5,STFT_2D,BILSTM2D,502389,81.19182014465332,COMPLETE
20,0.16170607033419804,0.39142033879513916,0.4,64,80,128,0.0012121398487541476,0.1,2,attention,16,0.0006474587914879135,0.13033033033033034,0.12146098463624781,0.9092521156148279,0.02255651554141119,0.19308181033806573,0.07006175276451854,0.33301709889733266,0.09904163260549072,0.39142033879513916,0.017481147313466113,0.13033033033033034,0.12146098463624781,0.11915204678362573,0.12922273047999772,0.5789473684210527,0.3597560816563137,0.16170607033419804,0.09576136870038317,0.16666666666666666,0.07856742013183861,0.13612565445026178,0.0814468543775081,8.5,STFT_2D,BILSTM2D,317877,64.47893452644348,COMPLETE
21,0.09546974805148035,0.3233997159053588,0.5,64,80,128,0.00019369186206316707,0.0,2,mean,16,3.2480328202472893e-06,0.08094021461420542,0.004624919161567612,0.8526726620364977,0.008904441781306966,0.10999928148875529,0.0943915492448768,0.24998670548197696,0.02135656006158723,0.3233997159053588,0.01718886664088758,0.06373245162339422,0.02896037096127461,0.04950343773873186,0.003457206569590457,0.4136601584606678,0.5345819305702202,0.09546974805148035,0.049508234203222215,0.2222222222222222,0.0,0.07722513089005235,0.03146810282767357,10.5,STFT_2D,BILSTM2D,317716,70.9479992389679,COMPLETE
22,,,0.2,128,112,64,,0.2,3,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,807365,,PRUNED
23,0.22209083140337935,0.4143650728888173,0.5,64,96,64,0.0015306774541558516,0.2,2,mean,16,4.071400519999317e-07,0.18894830659536543,0.010083519161305485,0.9056250287884391,0.01025221097097164,0.25523335621139326,0.030210979498189846,0.30765359996007147,0.03662194102339439,0.4143650728888173,0.0016449133337177139,0.18894830659536543,0.010083519161305485,0.13825757575757575,0.0187490434405524,0.468671679197995,0.056710318290650465,0.22209083140337935,0.020147249329747687,0.3055555555555556,0.03928371006591928,0.17801047120418848,0.03702129744432186,13.5,STFT_2D,BILSTM2D,369236,83.46816945075989,COMPLETE
24,0.13058905536962798,0.3426958396023163,0.4,64,80,128,0.0004153162717302322,0.1,3,attention,32,9.911536812602248e-07,0.15259259259259259,0.046092886477345316,0.8845844630401714,0.011010122178887024,0.10858551814666335,0.08944259827730927,0.2250207846298381,0.021084740278885877,0.3426958396023163,0.03640252571366335,0.10858551814666335,0.08944259827730927,0.11631944444444445,0.03191801442855944,0.39298780487804874,0.2927594539180889,0.13058905536962798,0.06776774237732729,0.2222222222222222,0.07856742013183864,0.09162303664921466,0.09625537335523683,6.5,STFT_2D,BILSTM2D,473861,69.52209877967834,COMPLETE
25,,,0.4,64,80,96,,,1,mean,16,,,,,,,,,,,,,,,,,,,,,,,,,,,138164,,PRUNED
26,0.14106794187613153,0.35760630456036147,0.4,64,128,128,0.0006798453202654459,,1,mean,16,1.4937865133529436e-05,0.13076923076923078,0.09790709277967583,0.882137055306986,0.014716210048138093,0.15136665298303228,0.1443990808118875,0.26615227918219675,0.010207948919804852,0.35760630456036147,0.05944947811580749,0.12463054187192119,0.10658850987344018,0.14627659574468085,0.14668704503337954,0.3964776632302406,0.02855156247059085,0.14106794187613153,0.12115308679578166,0.1388888888888889,0.039283710065919304,0.10863874345549739,0.11661708694961387,13.0,STFT_2D,BILSTM2D,298772,73.21303081512451,COMPLETE
27,,,0.5,64,128,96,,0.4,2,attention,16,,,,,,,,,,,,,,,,,,,,,,,,,,,657333,,PRUNED
28,,,0.2,128,96,128,,,1,attention,16,,,,,,,,,,,,,,,,,,,,,,,,,,,217877,,PRUNED
