number,values_0,values_1,params_activation,params_base_channels,params_blocks_per_stage,params_dropout,params_head_dim,params_kernel_size,params_learning_rate,params_pool_bins,params_rr_dim,params_weight_decay,user_attrs_F1_F_mean,user_attrs_F1_F_std,user_attrs_F1_N_mean,user_attrs_F1_N_std,user_attrs_F1_S_mean,user_attrs_F1_S_std,user_attrs_F1_V_mean,user_attrs_F1_V_std,user_attrs_Macro_F1_mean,user_attrs_Macro_F1_std,user_attrs_Min_Rare_F1_mean,user_attrs_Min_Rare_F1_std,user_attrs_Precision_F_mean,user_attrs_Precision_F_std,user_attrs_Precision_S_mean,user_attrs_Precision_S_std,user_attrs_Rare_Macro_SF_mean,user_attrs_Rare_Macro_SF_std,user_attrs_Recall_F_mean,user_attrs_Recall_F_std,user_attrs_Recall_S_mean,user_attrs_Recall_S_std,user_attrs_best_epoch_mean,user_attrs_domain,user_attrs_model_id,user_attrs_n_parameters,user_attrs_time_s,state
0,0.08155384640986954,0.3816168007968454,relu,36,1,0.30000000000000004,64,7,0.00032666825383290555,4,32,0.0006552116274337901,0.0,0.0,0.8789246320614228,0.01877968040743243,0.16310769281973908,0.08413053494874226,0.4844348783062198,0.22981715628576166,0.3816168007968454,0.04111657543611298,0.0,0.0,0.0,0.0,0.1941678884380647,0.16776577915669103,0.08155384640986954,0.04206526747437113,0.0,0.0,0.168848167539267,0.005553194616648265,4.0,RAW_1D,CNN1D,435432,47.03398251533508,COMPLETE
1,,,gelu,28,1,0.5,64,5,,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,219616,,PRUNED
2,0.0626717555413584,0.3000020071757291,gelu,32,1,0.2,64,7,0.0005840052466138479,6,32,1.5504997181489522e-07,0.006802721088435374,0.009620500424306769,0.8002148462339393,0.04788088546235342,0.11854078999428144,0.04282173144157155,0.2744496713862603,0.00415258112163212,0.3000020071757291,0.024042634051649917,0.006802721088435374,0.009620500424306769,0.003875968992248062,0.005481447916174787,0.09023339251368545,0.03345392379848028,0.0626717555413584,0.026221115932939156,0.027777777777777776,0.039283710065919304,0.17277486910994766,0.05923407591091498,6.0,RAW_1D,CNN1D,364804,49.151169300079346,COMPLETE
3,,,gelu,40,1,0.5,128,7,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,575500,,PRUNED
4,0.05749631967009369,0.2656465406946702,gelu,28,2,0.4,64,7,0.0008661119211882763,4,16,3.1127703005721283e-07,0.005957604171889886,0.007645284044193417,0.7035791884452715,0.08835878395205685,0.1090350351682975,0.02811231512858186,0.24401433499322173,0.026760778495276555,0.2656465406946702,0.024338901157388904,0.005957604171889886,0.007645284044193417,0.0033031378932891747,0.00427937634211876,0.1499902950310559,0.09531942149341173,0.05749631967009369,0.017878799586387634,0.05555555555555555,0.0,0.09424083769633508,0.00370212974443219,3.0,RAW_1D,CNN1D,501312,46.15479564666748,COMPLETE
5,,,relu,40,2,0.4,128,7,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1006060,,PRUNED
6,,,relu,36,1,0.2,64,11,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,653160,,PRUNED
7,,,relu,36,2,0.5,128,7,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,819832,,PRUNED
8,,,relu,40,2,0.4,128,5,,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,819180,,PRUNED
9,,,gelu,40,2,0.6,128,5,,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,819180,,PRUNED
10,0.03327527360220554,0.26349133518896295,gelu,28,1,0.4,64,11,0.0003070844814895269,4,32,2.3294352141361932e-05,0.002635046113306983,0.003726517950917247,0.6983492233600428,0.011531461939196146,0.06391550109110411,0.06380006659094867,0.289065570191398,0.020125861445459452,0.26349133518896295,0.014733046258900649,0.002635046113306983,0.003726517950917247,0.0013333333333333333,0.0018856180831641268,0.04564199311281024,0.049732358154253274,0.03327527360220554,0.033763292270932964,0.1111111111111111,0.15713484026367722,0.12958115183246074,0.05368088129426671,5.5,RAW_1D,CNN1D,402848,43.798046350479126,COMPLETE
11,,,gelu,36,2,0.4,64,7,,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,834792,,PRUNED
12,,,relu,40,2,0.6,128,7,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1044892,,PRUNED
13,,,relu,36,2,0.5,64,5,,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,617064,,PRUNED
14,0.027336786987522285,0.272190897688973,relu,28,1,0.6,64,11,0.00010049799630381307,6,16,2.1289298629681004e-05,0.0,0.0,0.76120209841377,0.09732049896819649,0.05467357397504457,0.06258871854419698,0.2728879183670775,0.009256023787056533,0.272190897688973,0.010996951052764022,0.0,0.0,0.0,0.0,0.5505464480874317,0.6356233087715141,0.027336786987522285,0.03129435927209849,0.0,0.0,0.05104712041884817,0.06478727052756326,1.0,RAW_1D,CNN1D,416080,28.376813411712646,COMPLETE
15,0.06213695803204019,0.29090589970763825,gelu,28,1,0.6,128,11,0.0008375468251188166,2,32,0.00019431587615520083,0.0037593984962406013,0.005316592339748478,0.7712685731714658,0.14239263090769408,0.12051451756783978,0.12249382241498133,0.2680811095950067,0.1119358605569365,0.29090589970763825,0.031629519177475175,0.0037593984962406013,0.005316592339748478,0.0020161290322580645,0.002851237020913498,0.26024622097553374,0.048705188917633466,0.06213695803204019,0.06390520737736491,0.027777777777777776,0.039283710065919304,0.08900523560209424,0.09995750309966903,6.0,RAW_1D,CNN1D,405216,45.142457723617554,COMPLETE
16,0.13207808805466836,0.3717403080274655,gelu,28,1,0.2,64,11,0.0005622246575885542,2,32,1.6681772742396335e-05,0.002862979146683719,0.0014775665518985655,0.8249993099747879,0.13403615374181785,0.261293196962653,0.06834927239502694,0.3978057460257374,0.28187617688813066,0.3717403080274655,0.12069600911826926,0.002862979146683719,0.0014775665518985655,0.001445971829100715,0.0007378764074080478,0.2953708899113455,0.05087264700019026,0.13207808805466836,0.033435852921564195,0.16666666666666669,0.15713484026367724,0.2356020942408377,0.07774472463307591,11.5,RAW_1D,CNN1D,388512,64.39610695838928,COMPLETE
17,0.058408729191460076,0.26750406654184533,relu,28,1,0.2,128,11,0.00013560160913941556,2,16,2.6299360276343505e-05,0.0,0.0,0.7194197906100686,0.030671662729599484,0.11681745838292015,0.003917612667227997,0.23377901717439264,0.005552062238473291,0.26750406654184533,0.007259303289588542,0.0,0.0,0.0,0.0,0.20160755956325083,0.1130604890549203,0.058408729191460076,0.0019588063336139984,0.0,0.0,0.09162303664921466,0.02221277846659312,1.5,RAW_1D,CNN1D,403088,29.823171615600586,COMPLETE
18,,,relu,32,2,0.2,64,11,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,993332,,PRUNED
19,0.03345208254932531,0.28169767604449747,relu,28,1,0.30000000000000004,64,7,0.0002352014877384637,2,16,4.6918663043562723e-07,0.0005913660555884093,0.00083631789614021,0.7660090977813279,0.00961145557566275,0.0663127990430622,0.04155098160979563,0.2938774412980112,0.02160563112379921,0.28169767604449747,0.0027925532016184595,0.0005913660555884093,0.00083631789614021,0.00029886431560071725,0.0004226579684318873,0.28845978270793393,0.37773046441363006,0.03345208254932531,0.021193649752967923,0.027777777777777776,0.039283710065919304,0.09424083769633508,0.05923407591091498,3.0,RAW_1D,CNN1D,255696,35.722365617752075,COMPLETE
20,0.13615460884390215,0.427397336021063,relu,32,1,0.4,64,11,0.0020196886351998337,6,32,0.00035010900261180485,0.007628489942147732,0.0035328360621028174,0.8976097876002136,0.06790529088786465,0.2646807277456566,0.05440320977972243,0.5396703387962342,0.03162726949742389,0.427397336021063,0.0036480880817946807,0.007628489942147732,0.0035328360621028174,0.003945066210142203,0.0019232930779904652,0.4855555555555556,0.1775623694979553,0.13615460884390215,0.025435186858809813,0.2222222222222222,0.15713484026367722,0.18324607329842932,0.025914908211025288,12.0,RAW_1D,CNN1D,536836,75.91493582725525,COMPLETE
21,,,relu,28,2,0.30000000000000004,64,11,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,750400,,PRUNED
22,0.05732456648962572,0.2852867677154245,gelu,32,1,0.30000000000000004,64,7,0.0005938482871933423,2,16,1.8751844947372114e-05,0.006109979633401222,0.0086408160633794,0.7625071494872102,0.05268851883398605,0.10853915334585024,0.030109782234689554,0.26399078839523626,0.011373438290435793,0.2852867677154245,0.025703138855622674,0.006109979633401222,0.0086408160633794,0.003171247357293869,0.004484821022324825,0.11733122051886792,0.05820810465118329,0.05732456648962572,0.019375299149034478,0.08333333333333333,0.11785113019775792,0.10602094240837696,0.005553194616648285,13.5,RAW_1D,CNN1D,330932,66.28237247467041,COMPLETE
23,,,relu,36,2,0.2,128,11,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1292152,,PRUNED
24,,,gelu,28,2,0.5,64,11,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,750400,,PRUNED
25,0.040183137101331715,0.23597710451718967,gelu,32,1,0.4,128,7,0.0002198158846288718,4,32,0.0002827264935047015,0.0029662680239708997,0.0026701779113186296,0.6653575445831393,0.01856712769932194,0.07740000617869254,0.016447587278200202,0.19818459928295595,0.013593870785184311,0.23597710451718967,0.0022010381131859586,0.0029662680239708997,0.0026701779113186296,0.0015412184399083697,0.0014097625034916617,0.09500768807572402,0.025954546469091073,0.040183137101331715,0.006888704683440786,0.05555555555555555,0.0,0.06544502617801047,0.011106389233296555,2.0,RAW_1D,CNN1D,383556,35.59662580490112,COMPLETE
26,,,relu,36,1,0.2,64,11,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,652056,,PRUNED
27,0.09475042367884415,0.33538368636032134,relu,28,1,0.6,128,5,0.00041081473278887717,6,16,5.311482020457791e-05,0.007905138339920948,0.011179553852751737,0.8531254694610242,0.027879137516326688,0.18159570901776734,0.04344254199311252,0.29890842862257294,0.07484588398601295,0.33538368636032134,0.012025731414118869,0.007905138339920948,0.011179553852751737,0.00425531914893617,0.006017930052651469,0.39526057853215396,0.23551913050159154,0.09475042367884415,0.027311047922932125,0.05555555555555555,0.07856742013183861,0.12172774869109948,0.012957454105512654,4.0,RAW_1D,CNN1D,262864,38.52694058418274,COMPLETE
28,,,relu,32,2,0.30000000000000004,128,7,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,652740,,PRUNED
29,0.03405178189894388,0.28879311943054464,gelu,28,2,0.30000000000000004,128,5,0.00046208737959756445,2,32,1.5884204511928577e-05,0.0016750418760469012,0.0023688669386484006,0.7776946592295161,0.019609405867964187,0.06642852192184086,0.0022273374805462406,0.3093742546947748,0.16578188398573723,0.28879311943054464,0.046383204827950913,0.0016750418760469012,0.0023688669386484006,0.0008635578583765112,0.0012212552352099265,0.04419494265928415,0.009596074706273354,0.03405178189894388,7.07647290510817e-05,0.027777777777777776,0.039283710065919304,0.17277486910994766,0.09995750309966903,7.5,RAW_1D,CNN1D,373072,61.095083236694336,COMPLETE
