number,values_0,values_1,params_activation,params_base_channels,params_blocks_per_stage,params_dropout,params_head_dim,params_hidden_size,params_kernel_size,params_learning_rate,params_lstm_dropout,params_n_layers,params_pooling,params_rr_dim,params_weight_decay,user_attrs_F1_F_mean,user_attrs_F1_F_std,user_attrs_F1_N_mean,user_attrs_F1_N_std,user_attrs_F1_S_mean,user_attrs_F1_S_std,user_attrs_F1_V_mean,user_attrs_F1_V_std,user_attrs_Macro_F1_mean,user_attrs_Macro_F1_std,user_attrs_Min_Rare_F1_mean,user_attrs_Min_Rare_F1_std,user_attrs_Precision_F_mean,user_attrs_Precision_F_std,user_attrs_Precision_S_mean,user_attrs_Precision_S_std,user_attrs_Rare_Macro_SF_mean,user_attrs_Rare_Macro_SF_std,user_attrs_Recall_F_mean,user_attrs_Recall_F_std,user_attrs_Recall_S_mean,user_attrs_Recall_S_std,user_attrs_best_epoch_mean,user_attrs_domain,user_attrs_model_id,user_attrs_n_parameters,user_attrs_time_s,state
0,,,relu,28,2,0.30000000000000004,64,112,5,,0.4,2,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,553489,,PRUNED
1,0.0,0.318727926389682,relu,28,2,0.6,64,64,7,0.00010947610474239297,0.0,2,attention,32,8.031400997632364e-07,0.0,0.0,0.8912872727569843,0.040128984122633486,0.0,0.0,0.38362443280174374,0.07834737116959316,0.318727926389682,0.02961908882305667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RAW_1D,CNN_BILSTM1D,285233,33.92406892776489,COMPLETE
2,0.020704270657051414,0.35618581819702877,relu,32,1,0.5,64,96,11,0.0004116652965074176,0.0,2,attention,32,0.00010213576884051862,0.0046923879040667365,0.0066360386138466405,0.8750490065197534,0.017653408429298235,0.03671615341003609,0.0358310134065407,0.5082857249542586,0.18818160079432295,0.35618581819702877,0.06207551531100212,0.0046923879040667365,0.0066360386138466405,0.002368421052631579,0.0033494531740415412,0.18190620527069126,0.23963162366555982,0.020704270657051414,0.021233526010193668,0.25,0.3535533905932738,0.022251308900523563,0.016659583849944835,3.5,RAW_1D,CNN_BILSTM1D,477893,41.28369379043579,COMPLETE
3,0.0,0.30496454000985346,relu,32,1,0.2,128,80,5,0.00011996527080333946,0.0,2,attention,16,5.409276900065835e-07,0.0,0.0,0.883483252970846,0.04685670446123616,0.0,0.0,0.3363749070685679,0.080754203899716,0.30496454000985346,0.03190272709023806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RAW_1D,CNN_BILSTM1D,326037,30.18931794166565,COMPLETE
4,,,relu,24,1,0.5,64,96,5,,,1,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,157885,,PRUNED
5,,,gelu,32,2,0.4,64,112,5,,0.1,2,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,585317,,PRUNED
6,0.043130600935899904,0.3579676166243171,gelu,36,2,0.30000000000000004,64,80,7,0.0005033966732366993,0.30000000000000004,2,attention,16,3.5481828727704894e-07,0.0006430868167202572,0.0009094620979891287,0.865805399031272,0.09350390356477889,0.08561811505507956,0.0466500067392349,0.4798038655941966,0.02775659202535095,0.3579676166243171,0.018425256688226473,0.0006430868167202572,0.0009094620979891287,0.00032530904359141186,0.000460056461409595,0.1908943697060289,0.16215540410618262,0.043130600935899904,0.023779734418612013,0.027777777777777776,0.039283710065919304,0.14790575916230367,0.16844690337166446,5.5,RAW_1D,CNN_BILSTM1D,450921,49.64530420303345,COMPLETE
7,,,gelu,32,2,0.6,128,112,7,,0.2,2,mean,32,,,,,,,,,,,,,,,,,,,,,,,,,,,642756,,PRUNED
8,,,gelu,36,1,0.30000000000000004,64,80,7,,,1,attention,16,,,,,,,,,,,,,,,,,,,,,,,,,,,204889,,PRUNED
9,0.07795951470166033,0.3965431475817448,relu,32,2,0.6,64,112,5,0.0007415706069873835,,1,mean,16,1.8302369175119032e-05,0.00760043431053203,0.010748637281880202,0.9086632657828716,0.03769336457720261,0.14831859509278864,0.01247939106914109,0.521590295140787,0.19182283813500356,0.3965431475817448,0.05157204359029623,0.00760043431053203,0.010748637281880202,0.003875968992248062,0.005481447916174787,0.13876556912073004,0.04835253547514373,0.07795951470166033,0.011614014175510648,0.19444444444444445,0.27498597046143514,0.17670157068062828,0.04627662180540231,10.5,RAW_1D,CNN_BILSTM1D,281140,95.14329290390015,COMPLETE
10,,,gelu,28,1,0.30000000000000004,128,64,7,,0.1,2,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,240577,,PRUNED
11,,,gelu,28,2,0.6,64,112,7,,0.2,2,attention,16,,,,,,,,,,,,,,,,,,,,,,,,,,,583745,,PRUNED
12,,,relu,36,1,0.4,64,96,7,,,1,mean,32,,,,,,,,,,,,,,,,,,,,,,,,,,,239880,,PRUNED
