number,values_0,values_1,params_dropout,params_ff_multiplier,params_head_dim,params_learning_rate,params_model_head_pair,params_n_layers,params_rr_dim,params_transformer_dropout,params_weight_decay,user_attrs_F1_F_mean,user_attrs_F1_F_std,user_attrs_F1_N_mean,user_attrs_F1_N_std,user_attrs_F1_S_mean,user_attrs_F1_S_std,user_attrs_F1_V_mean,user_attrs_F1_V_std,user_attrs_Macro_F1_mean,user_attrs_Macro_F1_std,user_attrs_Min_Rare_F1_mean,user_attrs_Min_Rare_F1_std,user_attrs_Precision_F_mean,user_attrs_Precision_F_std,user_attrs_Precision_S_mean,user_attrs_Precision_S_std,user_attrs_Rare_Macro_SF_mean,user_attrs_Rare_Macro_SF_std,user_attrs_Recall_F_mean,user_attrs_Recall_F_std,user_attrs_Recall_S_mean,user_attrs_Recall_S_std,user_attrs_best_epoch_mean,user_attrs_domain,user_attrs_model_id,user_attrs_n_parameters,user_attrs_time_s,state
0,,,0.30000000000000004,4,64,,96x4,5,32,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,585060,,PRUNED
1,,,0.6,2,64,,112x8,2,32,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,232916,,PRUNED
2,,,0.2,4,128,,64x4,3,16,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,172372,,PRUNED
3,0.08210526315789474,0.43252509851659987,0.5,4,128,0.0002816389447623529,96x8,4,32,0.1,3.4340605909286465e-06,0.0,0.0,0.9441327082132147,0.027792064634039867,0.16421052631578947,0.2322287534002135,0.6217571595373953,0.03118399548135968,0.43252509851659987,0.05890517106188329,0.0,0.0,0.0,0.0,0.41935483870967744,0.5930573003500076,0.08210526315789474,0.11611437670010676,0.0,0.0,0.10209424083769633,0.14438306003285525,5.5,RAW_1D,TRANSFORMER1D,481732,184.82436227798462,COMPLETE
4,0.041935483870967745,0.33542132617486686,0.5,4,64,0.00011153850480455005,96x4,4,16,0.30000000000000004,0.00019163715167385374,0.0,0.0,0.8746026632046877,0.09627056804527814,0.08387096774193549,0.11861146007000152,0.3832116737528444,0.16194072341430255,0.33542132617486686,0.03489995784739479,0.0,0.0,0.0,0.0,0.1092436974789916,0.15449391857857342,0.041935483870967745,0.05930573003500076,0.0,0.0,0.06806282722513089,0.09625537335523683,7.0,RAW_1D,TRANSFORMER1D,472116,148.4161651134491,COMPLETE
5,,,0.2,2,64,,64x4,5,32,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,185444,,PRUNED
6,,,0.5,4,128,,112x8,4,16,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,645092,,PRUNED
7,,,0.30000000000000004,2,128,,96x4,2,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,181812,,PRUNED
8,0.2302068709550774,0.44270985910344585,0.6,2,128,0.0018819437838367003,80x4,5,32,0.1,6.315100074632964e-05,0.0007651109410864575,0.0010820302696045103,0.893310164786814,0.038510843341389135,0.45964863096906833,0.31193049913739057,0.41711552971681476,0.03977240787348656,0.44270985910344585,0.05868231954802983,0.0007651109410864575,0.0010820302696045103,0.0003878975950349108,0.0005485700397102773,0.8430941276234896,0.1952151379690866,0.2302068709550774,0.15650626470349754,0.027777777777777776,0.039283710065919304,0.3965968586387435,0.3683619095710025,13.0,RAW_1D,TRANSFORMER1D,289860,195.11376667022705,COMPLETE
9,,,0.6,2,64,,64x4,2,16,0.30000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,83924,,PRUNED
