number,values_0,values_1,params_dropout,params_ff_multiplier,params_head_dim,params_learning_rate,params_model_head_pair,params_n_layers,params_patch_size,params_rr_dim,params_transformer_dropout,params_weight_decay,user_attrs_F1_F_mean,user_attrs_F1_F_std,user_attrs_F1_N_mean,user_attrs_F1_N_std,user_attrs_F1_S_mean,user_attrs_F1_S_std,user_attrs_F1_V_mean,user_attrs_F1_V_std,user_attrs_Macro_F1_mean,user_attrs_Macro_F1_std,user_attrs_Min_Rare_F1_mean,user_attrs_Min_Rare_F1_std,user_attrs_Precision_F_mean,user_attrs_Precision_F_std,user_attrs_Precision_S_mean,user_attrs_Precision_S_std,user_attrs_Rare_Macro_SF_mean,user_attrs_Rare_Macro_SF_std,user_attrs_Recall_F_mean,user_attrs_Recall_F_std,user_attrs_Recall_S_mean,user_attrs_Recall_S_std,user_attrs_best_epoch_mean,user_attrs_domain,user_attrs_model_id,user_attrs_n_parameters,user_attrs_time_s,state
0,0.22153847143235939,0.48813107062358085,0.30000000000000004,2,64,0.0012902804736226996,96x4,5,16,32,0.4,2.4670964635211015e-06,0.028283850652271705,0.015824814378781256,0.9639250226228078,0.0038654228786199063,0.4147930922124471,0.07234653935893644,0.5455223170067969,0.019661499651302095,0.48813107062358085,0.016161107801948946,0.028283850652271705,0.015824814378781256,0.016244534901251318,0.008688256093276588,0.8006907308377897,0.08775812770073688,0.22153847143235939,0.044085676868858836,0.1111111111111111,0.07856742013183861,0.28534031413612565,0.07774472463307593,9.5,STFT_2D,VIT2D,413796,104.09792041778564,COMPLETE
1,,,0.4,2,128,,80x4,2,16,16,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,143172,,PRUNED
2,,,0.30000000000000004,2,128,,64x4,5,32,32,0.30000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,247332,,PRUNED
3,,,0.2,4,128,,112x4,4,16,16,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,661444,,PRUNED
4,,,0.30000000000000004,2,64,,96x8,2,16,32,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,189444,,PRUNED
5,0.20018629204161587,0.5347037584566787,0.4,4,128,0.0027045527347902276,96x4,3,32,16,0.1,2.4262996595965226e-05,0.01680672268907563,0.02376829516593437,0.9846845822047314,0.004201296247753393,0.38356586139415616,0.0608799422664408,0.7537578675387517,0.044548878734208035,0.5347037584566787,0.01107516373648012,0.01680672268907563,0.02376829516593437,0.009900990099009901,0.014002114478941535,0.9041879372282094,0.08375919803618304,0.20018629204161587,0.04232411871618758,0.05555555555555555,0.07856742013183861,0.24607329842931935,0.05553194616648279,6.0,STFT_2D,VIT2D,450900,66.71651434898376,COMPLETE
6,,,0.5,4,128,,112x8,5,16,32,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,815556,,PRUNED
7,,,0.5,2,128,,64x4,5,32,32,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,247332,,PRUNED
8,0.07095343680709534,0.46805834088676446,0.4,4,128,0.0016795314660724909,64x4,5,32,32,0.2,0.00041800024229676015,0.0,0.0,0.9772919770918453,0.0012935405738012816,0.1419068736141907,0.20068662525915318,0.7530345128410219,0.011060512657843953,0.46805834088676446,0.04772991329377759,0.0,0.0,0.0,0.0,0.463768115942029,0.6558671593614354,0.07095343680709534,0.10034331262957659,0.0,0.0,0.08376963350785341,0.11846815182182996,2.0,STFT_2D,VIT2D,329892,56.8902006149292,COMPLETE
9,,,0.4,2,64,,112x8,5,32,32,0.30000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,634660,,PRUNED
