representation,architecture_candidate_id,config_id,family,config_json,seed,method_data_seed,wgan_pool_seed,wgan_quality_attempt,n_parameters,n_train_samples,train_class_counts_json,best_epoch,time_s,confusion_json,Macro_F1,Rare_Macro_SF,Min_Rare_F1,Rare_HMean_SF,F1_N,F1_S,F1_V,F1_F,Precision_S,Precision_F,Recall_S,Recall_F
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",6100,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",14,227.12891340255737,"[[10614, 49, 1330, 7], [262, 34, 86, 0], [84, 28, 622, 8], [10, 0, 5, 3]]",0.41885957176676236,0.15229885057471265,0.13793103448275862,0.1509433962264151,0.9241619503700479,0.13793103448275862,0.4466786355475763,0.16666666666666666,0.3063063063063063,0.16666666666666666,0.08900523560209424,0.16666666666666666
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",6101,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",22,302.70636320114136,"[[10696, 7, 1286, 11], [272, 28, 81, 1], [83, 29, 609, 21], [4, 0, 5, 9]]",0.45018236268145395,0.21278026905829595,0.12556053811659193,0.17702845100105377,0.9278681414009976,0.12556053811659193,0.4473007712082262,0.3,0.4375,0.21428571428571427,0.07329842931937172,0.5
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",6102,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",22,301.16325640678406,"[[10611, 30, 1344, 15], [219, 33, 130, 0], [83, 20, 601, 38], [6, 0, 6, 6]]",0.4123811095501213,0.14888981985756178,0.14193548387096774,0.148564997186269,0.9259566298704132,0.14193548387096774,0.4257881686149486,0.15584415584415584,0.39759036144578314,0.1016949152542373,0.08638743455497382,0.3333333333333333
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",6103,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",27,330.808607339859,"[[10465, 148, 1286, 101], [248, 35, 99, 0], [38, 20, 649, 35], [0, 0, 7, 11]]",0.40983854431595856,0.1264957264957265,0.11965811965811966,0.12612612612612614,0.9199595622170454,0.11965811965811966,0.466403162055336,0.13333333333333333,0.1724137931034483,0.07482993197278912,0.09162303664921466,0.6111111111111112
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",6104,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",8,170.04759740829468,"[[10659, 2, 1322, 17], [277, 34, 71, 0], [108, 16, 610, 8], [6, 0, 6, 6]]",0.4424785222415725,0.20078999341672152,0.15668202764976957,0.1911007025761124,0.9248590021691974,0.15668202764976957,0.4434750999636496,0.24489795918367346,0.6538461538461539,0.1935483870967742,0.08900523560209424,0.3333333333333333
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",6105,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",21,292.8920547962189,"[[10676, 20, 1280, 24], [185, 65, 131, 1], [136, 20, 567, 19], [12, 0, 4, 2]]",0.4184311782138087,0.16472022587268995,0.0625,0.10128554733151539,0.9279847016384893,0.2669404517453799,0.41629955947136565,0.0625,0.6190476190476191,0.043478260869565216,0.17015706806282724,0.1111111111111111
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",6106,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",9,178.92336797714233,"[[10675, 3, 1310, 12], [230, 38, 114, 0], [61, 19, 622, 40], [1, 0, 11, 6]]",0.4259698796064474,0.16492021909978566,0.15789473684210525,0.16462093862815882,0.9295946357817738,0.17194570135746606,0.4444444444444444,0.15789473684210525,0.6333333333333333,0.10344827586206896,0.09947643979057591,0.3333333333333333
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",6107,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",5,141.6224331855774,"[[11783, 1, 200, 16], [334, 26, 22, 0], [234, 15, 483, 10], [8, 0, 5, 5]]",0.4898644239278433,0.16336157104351173,0.12264150943396226,0.15321154979375368,0.9674452974260027,0.12264150943396226,0.6652892561983471,0.20408163265306123,0.6190476190476191,0.16129032258064516,0.06806282722513089,0.2777777777777778
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",6108,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",4,132.46997594833374,"[[11885, 4, 107, 4], [360, 15, 7, 0], [152, 5, 584, 1], [3, 0, 13, 2]]",0.502981512115132,0.11694581280788177,0.07389162561576355,0.10109519797809605,0.9741803278688524,0.07389162561576355,0.8038540949759119,0.16,0.625,0.2857142857142857,0.03926701570680628,0.1111111111111111
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",6109,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",16,247.15856385231018,"[[10581, 55, 1361, 3], [224, 39, 119, 0], [47, 26, 618, 51], [6, 0, 6, 6]]",0.4173302919763654,0.15461231995096536,0.15384615384615385,0.15460852329038655,0.9258027823956602,0.1553784860557769,0.4342937456078707,0.15384615384615385,0.325,0.1,0.10209424083769633,0.3333333333333333
