rank_within_representation,representation,config_id,family,n_seeds,n_train_samples,n_parameters,best_epoch_mean,time_s_mean,config_json,Macro_F1_mean,Macro_F1_std,Macro_F1_ci95_low,Macro_F1_ci95_high,Rare_Macro_SF_mean,Rare_Macro_SF_std,Rare_Macro_SF_ci95_low,Rare_Macro_SF_ci95_high,Min_Rare_F1_mean,Min_Rare_F1_std,Min_Rare_F1_ci95_low,Min_Rare_F1_ci95_high,Rare_HMean_SF_mean,Rare_HMean_SF_std,Rare_HMean_SF_ci95_low,Rare_HMean_SF_ci95_high,F1_N_mean,F1_N_std,F1_N_ci95_low,F1_N_ci95_high,F1_S_mean,F1_S_std,F1_S_ci95_low,F1_S_ci95_high,F1_V_mean,F1_V_std,F1_V_ci95_low,F1_V_ci95_high,F1_F_mean,F1_F_std,F1_F_ci95_low,F1_F_ci95_high,Precision_S_mean,Precision_S_std,Precision_S_ci95_low,Precision_S_ci95_high,Precision_F_mean,Precision_F_std,Precision_F_ci95_low,Precision_F_ci95_high,Recall_S_mean,Recall_S_std,Recall_S_ci95_low,Recall_S_ci95_high,Recall_F_mean,Recall_F_std,Recall_F_ci95_low,Recall_F_ci95_high
1,RAW_1D,FOCAL_A025_G3,focal,10,37862,328228,9.8,188.05483677387238,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",0.4347900011263177,0.038058213258750834,0.4075647954420933,0.46201520681054215,0.16037722089556786,0.02829317885526872,0.1401375000090881,0.18061694178204762,0.13356749986117505,0.030070954418216462,0.11205603494844332,0.15507896477390679,0.1545831221313103,0.028811930911325393,0.13397230837903476,0.17519393588358587,0.9386834771051517,0.019817907204595652,0.924506600324108,0.9528603538861953,0.17622204705871738,0.044502259962482735,0.14438704806246694,0.20805704605496783,0.47972208560898366,0.11331131139837418,0.3986640564735614,0.5607801147444059,0.14453239473241827,0.03366273602124134,0.12045152404516082,0.16861326541967572,0.5703471635282433,0.15847216671035005,0.4569830046650589,0.6837113223914277,0.11720447487295313,0.057641410970568484,0.0759702934642449,0.15843865628166137,0.1068062827225131,0.03069767845381503,0.08484648644276704,0.12876607900225914,0.2611111111111112,0.08705673535957896,0.19883447425883705,0.3233877479633853
2,RAW_1D,BASELINE_CE,baseline,10,37862,328228,14.8,232.4921133518219,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",0.4388317396395466,0.03307351263048747,0.4151723739740348,0.4624911053050584,0.16058148081778528,0.029234604101892252,0.13966830487966161,0.18149465675590895,0.12525412295161925,0.03320645847511744,0.10149965355802895,0.14900859234520955,0.1468585430137887,0.029635058862437377,0.12565889899717317,0.16805818703040423,0.9347813031138481,0.019233946248616865,0.9210221668354915,0.9485404393922047,0.14725649779865563,0.04991612702135416,0.11154865161373874,0.18296434398357253,0.4993826938087677,0.12888630576629745,0.40718298489152205,0.5915824027260134,0.17390646383691494,0.06423769661541795,0.1279535839382919,0.21985934373553798,0.4789085186130263,0.1734667871368586,0.35481785447506514,0.6029991827509874,0.14449567603027463,0.07344508154783022,0.09195622973415749,0.19703512232639178,0.09083769633507853,0.03334315435120942,0.06698544060250569,0.11468995206765137,0.31111111111111117,0.1597322863173913,0.19684551698465846,0.4253767052375639
3,RAW_1D,SAMPLER_P050,sampler,10,37862,328228,3.3,125.83979568481445,"{""config_id"": ""SAMPLER_P050"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 0.5}",0.4701613474881987,0.06735892101133174,0.42197567816281945,0.518347016813578,0.1578825354259456,0.04977838214405286,0.12227322599027071,0.1934918448616205,0.10749793896584008,0.03341477942717552,0.08359444574053296,0.1314014321911472,0.13504591250798598,0.0346514862586498,0.11025773251010078,0.1598340925058712,0.9521176725942414,0.027171951690103547,0.9326800293035443,0.9715553158849385,0.2045634281823474,0.09269288885194206,0.13825493000610106,0.27087192635859375,0.6127626465066623,0.1745693061571043,0.4878832877735849,0.7376420052397398,0.11120164266954377,0.04351003216347327,0.08007644068162838,0.14232684465745918,0.515653644440091,0.2442058310151178,0.34095931674080493,0.690347972139377,0.07642567165803199,0.05386590446004012,0.03789232490523416,0.11495901841082981,0.13795811518324605,0.06964476982940208,0.08813724811981488,0.18777898224667722,0.3388888888888889,0.12682143457973286,0.24816629983492855,0.42961147794284926
4,RAW_1D,WGAN_GP_X3,wgan_gp,10,39778,328228,14.6,236.92744069099427,"{""config_id"": ""WGAN_GP_X3"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 3}",0.4516883633617189,0.052633981479239804,0.4140362812208823,0.4893404455025555,0.14592591053745269,0.07360499754193037,0.09327206723057802,0.19857975384432736,0.07604403031885494,0.04525225749308116,0.043672515409616725,0.10841554522809316,0.10766427846185392,0.06111352266476792,0.06394629797433725,0.15138225894937057,0.946309614357777,0.02134269460259596,0.93104197038141,0.9615772583341441,0.21342913437546537,0.11801572124267112,0.12900577316932574,0.297852495581605,0.5685920180141933,0.15555366023807732,0.4573156329111209,0.6798684031172658,0.07842268669943996,0.044623230037841084,0.046501150924364,0.11034422247451592,0.4633310574199573,0.19838950129213265,0.3214117575950475,0.6052503572448671,0.06284708895533637,0.040484178282336795,0.033886452437803576,0.09180772547286917,0.14345549738219895,0.08781498923391515,0.08063643838442602,0.20627455637997189,0.16666666666666669,0.12559870339120865,0.07681876681258444,0.25651456652074894
1,STFT_2D,WGAN_GP_X5,wgan_gp,10,41694,318885,11.1,202.70885994434357,"{""config_id"": ""WGAN_GP_X5"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 5}",0.47122359038415507,0.030701152828222143,0.4492613086866829,0.49318587208162723,0.294700704555403,0.022877070810824147,0.27833543396209565,0.3110659751487103,0.2592659594803058,0.030025353251147826,0.23778711567735772,0.28074480328325385,0.2892825273148737,0.023428766148566774,0.2725225976517106,0.3060424569780368,0.9191434284955907,0.02620615054714585,0.9003966777223198,0.9378901792688616,0.32978288552793605,0.030375901438696614,0.30805327465814325,0.35151249639772886,0.3763495239302236,0.07977447230282309,0.3192823042468235,0.43341674361362365,0.2596185235828699,0.03062586274804079,0.23771010116420788,0.28152694600153194,0.6806541299652851,0.09766928723914954,0.6107857308358006,0.7505225290947696,0.3320265407107512,0.10756610122129803,0.25507838735185484,0.4089746940696476,0.21937172774869113,0.025344496503396943,0.2012413671461888,0.23750208835119346,0.22777777777777777,0.040992488187367886,0.19845351825929872,0.25710203729625686
2,STFT_2D,BASELINE_CE,baseline,10,37862,318885,10.0,178.13255760669708,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",0.4832900448551379,0.03398195315448929,0.4589808199871017,0.507599269723174,0.2953900318976216,0.026282651583848602,0.27658855557943013,0.31419150821581304,0.25092021460377084,0.044928329778839225,0.2187804236219566,0.2830600055855851,0.28575902110741896,0.03255863836087771,0.2624679743063882,0.30905006790844974,0.9285200478610525,0.028739034183320654,0.9079613812865791,0.9490787144355258,0.3372306742276098,0.0357995525062472,0.3116212171109736,0.3628401313442459,0.4138600677642558,0.10669533620243121,0.3375348221750989,0.49018531335341275,0.2535493895676334,0.04770181485248356,0.2194255668847321,0.28767321225053466,0.7274245105162553,0.1163980905638386,0.6441583325875572,0.8106906884449535,0.31598773448773454,0.12713751614976707,0.22503903429979455,0.40693643467567453,0.22094240837696333,0.026957561067573656,0.2016581308986721,0.24022668585525456,0.22777777777777777,0.04864416865393962,0.19297983579512054,0.26257571976043503
3,STFT_2D,FOCAL_A025_G3,focal,10,37862,318885,13.4,210.24816875457765,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",0.4565725481661021,0.038411124727520375,0.4290948848254909,0.4840502115067133,0.28232258628596696,0.01952313686243775,0.2683565755048666,0.29628859706706734,0.23425114486104012,0.040410158479931034,0.20534345892033817,0.26315883080174207,0.27133589005353026,0.025506938743065973,0.25308932527305644,0.2895824548340041,0.9083901027548753,0.02601675918327372,0.8897788344016849,0.9270013711080657,0.32975782181153007,0.02820783140853744,0.309579154810478,0.34993648881258216,0.3532549173375991,0.11910371744752507,0.26805325053262813,0.4384565841425701,0.2348873507604039,0.041240659383494055,0.2053855602629086,0.2643891412578992,0.6051144659994467,0.0848738677990691,0.5443993585314413,0.6658295734674522,0.3164048834116203,0.15423059280490242,0.20607496373395778,0.42673480308928285,0.22827225130890053,0.022613653121903245,0.21209541837852225,0.2444490842392788,0.22222222222222218,0.058560697410525546,0.18033042291010923,0.2641140215343351
4,STFT_2D,CLASS_WEIGHT_P025,class_weight,10,37862,318885,9.2,169.97878625392914,"{""config_id"": ""CLASS_WEIGHT_P025"", ""family"": ""class_weight"", ""kind"": ""class_weight"", ""weight_power"": 0.25}",0.45999321648769886,0.027126519554658935,0.44058807338884587,0.47939835958655186,0.2932507934213898,0.028598877915036427,0.2727923886013511,0.31370919824142857,0.23192905134081604,0.048179991208254086,0.19746316189953397,0.26639494078209813,0.2766566118094763,0.03490159321371488,0.2516895160740496,0.30162370754490303,0.9091819121744967,0.025109678310754904,0.8912195303877526,0.9271442939612409,0.34977455570398386,0.03795874836591941,0.3226205029177498,0.3769286084902179,0.3442893669335191,0.06021257459420005,0.30121588587022,0.38736284799681814,0.23672703113879584,0.06093834721607608,0.19313436361826047,0.2803196986593312,0.6971877326645279,0.1490437818515115,0.5905682340224296,0.8038072313066262,0.2796341485312074,0.09203076083386824,0.2137993082053385,0.3454689888570763,0.23717277486910998,0.03260771019059819,0.2138466241957992,0.26049892554242077,0.22222222222222218,0.06928995160692485,0.17265517682461062,0.27178926761983374
5,STFT_2D,FOCAL_A050_G3,focal,10,37862,318885,16.0,231.92944111824036,"{""alpha_power"": 0.5, ""config_id"": ""FOCAL_A050_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",0.4644232122774895,0.030815193363811198,0.4423793508953211,0.4864670736596579,0.27930327961928325,0.034075273730004116,0.2549272972330817,0.3036792620054848,0.2097536218479148,0.0610458635361051,0.16608404178534023,0.2534232019104894,0.257010896972319,0.05287348501662783,0.21918748432200325,0.29483430962263474,0.917041680267533,0.02991597429151663,0.8956410814587269,0.938442279076339,0.34549494748810383,0.024477046527498644,0.3279851232164598,0.3630047717597479,0.38204460960385833,0.10580053913395862,0.3063594632770914,0.45772975593062526,0.21311161175046264,0.06824421323882059,0.16429264251633144,0.2619305809845939,0.62042196484476,0.07424391592681606,0.5673110668588944,0.6735328628306255,0.34185775335775337,0.2597362964911234,0.1560535999269932,0.5276619067885135,0.24188481675392665,0.028253931539019315,0.2216731717061674,0.2620964618016859,0.2,0.07943559477602673,0.143175198695678,0.25682480130432206
6,STFT_2D,AUGMENT_X3,augmentation,10,40736,318885,11.2,196.52290146350862,"{""augment_multiplier"": 3, ""config_id"": ""AUGMENT_X3"", ""family"": ""augmentation"", ""kind"": ""augmentation""}",0.4509762619636678,0.026440528155436575,0.4320618475496971,0.4698906763776385,0.26769515678740413,0.036523420026431275,0.24156787604118368,0.2938224375336246,0.18630624523592235,0.05114475716936732,0.14971948998971876,0.22289300048212593,0.23930717713020783,0.0472460004642835,0.2055094244177543,0.2731049298426613,0.9134119516344544,0.020526012538843032,0.8987285268123898,0.9280953764565191,0.3490840683388859,0.04281440934299627,0.3184564849395618,0.37971165173821,0.3551027826454087,0.05941595144748315,0.31259917145158367,0.3976063938392337,0.18630624523592235,0.05114475716936732,0.14971948998971876,0.22289300048212593,0.655696358124161,0.09350526864451085,0.5888067184530152,0.7225859977953069,0.2195827141887264,0.08413291603089856,0.15939765168508602,0.2797677766923668,0.23926701570680634,0.03218464283761468,0.2162435091861505,0.2622905222274622,0.17777777777777776,0.05105203241514897,0.14125735382486035,0.21429820173069516
