representation,metric,candidate_config_id,baseline_config_id,n_paired_seeds,candidate_mean,baseline_mean,mean_difference_candidate_minus_baseline,median_difference_candidate_minus_baseline,paired_cohens_dz,wins_candidate,ties,wins_baseline,wilcoxon_p_raw,wilcoxon_p_holm,significant_holm_0_05
STFT_2D,Min_Rare_F1,CLASS_WEIGHT_P025,BASELINE_CE,10,0.23192905134081604,0.25092021460377084,-0.01899116326295476,-0.016252712804436936,-0.3393551445718068,4,0,6,0.431640625,0.86328125,False
STFT_2D,Rare_Macro_SF,CLASS_WEIGHT_P025,BASELINE_CE,10,0.2932507934213898,0.2953900318976216,-0.002139238476231703,0.0015431951841643199,-0.06416445483904758,5,0,5,0.921875,1.0,False
STFT_2D,Macro_F1,CLASS_WEIGHT_P025,BASELINE_CE,10,0.45999321648769886,0.4832900448551379,-0.02329682836743901,-0.02313855732375683,-0.4791726162109801,3,0,7,0.193359375,0.580078125,False
STFT_2D,Min_Rare_F1,FOCAL_A050_G3,BASELINE_CE,10,0.2097536218479148,0.25092021460377084,-0.04116659275585601,-0.048471888086964274,-0.5091532745082381,2,0,8,0.10546875,0.421875,False
STFT_2D,Rare_Macro_SF,FOCAL_A050_G3,BASELINE_CE,10,0.27930327961928325,0.2953900318976216,-0.016086752278338334,-0.01974383653973491,-0.4324810518531642,2,0,8,0.10546875,0.52734375,False
STFT_2D,Macro_F1,FOCAL_A050_G3,BASELINE_CE,10,0.4644232122774895,0.4832900448551379,-0.01886683257764841,-0.014492030671534928,-0.4559842569101431,4,0,6,0.275390625,0.580078125,False
STFT_2D,Min_Rare_F1,FOCAL_A025_G3,BASELINE_CE,10,0.23425114486104012,0.25092021460377084,-0.01666906974273068,-0.025698211918156744,-0.28611486611921083,3,0,7,0.275390625,0.826171875,False
STFT_2D,Rare_Macro_SF,FOCAL_A025_G3,BASELINE_CE,10,0.28232258628596696,0.2953900318976216,-0.01306744561165458,-0.023856719547748484,-0.39329749010478754,3,0,7,0.275390625,0.826171875,False
STFT_2D,Macro_F1,FOCAL_A025_G3,BASELINE_CE,10,0.4565725481661021,0.4832900448551379,-0.026717496689035745,-0.03412542321491055,-0.4957995858713473,3,0,7,0.130859375,0.5234375,False
STFT_2D,Min_Rare_F1,AUGMENT_X3,BASELINE_CE,10,0.18630624523592235,0.25092021460377084,-0.06461396936784844,-0.07643353573829631,-0.8536010950875619,2,0,8,0.037109375,0.185546875,False
STFT_2D,Rare_Macro_SF,AUGMENT_X3,BASELINE_CE,10,0.26769515678740413,0.2953900318976216,-0.027694875110217433,-0.03836376639485914,-0.6280836835123554,2,0,8,0.10546875,0.52734375,False
STFT_2D,Macro_F1,AUGMENT_X3,BASELINE_CE,10,0.4509762619636678,0.4832900448551379,-0.032313782891470064,-0.030795742979444374,-0.796225821925903,2,0,8,0.037109375,0.185546875,False
STFT_2D,Min_Rare_F1,SAMPLER_P050,BASELINE_CE,10,0.09657540128479504,0.25092021460377084,-0.1543448133189758,-0.16541113179648848,-2.407033610446606,0,0,10,0.001953125,0.013671875,True
STFT_2D,Rare_Macro_SF,SAMPLER_P050,BASELINE_CE,10,0.21486489214252744,0.2953900318976216,-0.08052513975509412,-0.06968546471069798,-1.3791991253592941,1,0,9,0.00390625,0.02734375,True
STFT_2D,Macro_F1,SAMPLER_P050,BASELINE_CE,10,0.41854105915846995,0.4832900448551379,-0.06474898569666798,-0.060633889500118665,-1.5128206035711558,0,0,10,0.001953125,0.013671875,True
STFT_2D,Min_Rare_F1,SMOTE_X5,BASELINE_CE,10,0.169216797146104,0.25092021460377084,-0.08170341745766682,-0.08847812614081109,-1.128782189537711,1,0,9,0.009765625,0.05859375,False
STFT_2D,Rare_Macro_SF,SMOTE_X5,BASELINE_CE,10,0.2615238992278555,0.2953900318976216,-0.033866132669766055,-0.046883722671460515,-0.7228334236617999,2,0,8,0.048828125,0.29296875,False
STFT_2D,Macro_F1,SMOTE_X5,BASELINE_CE,10,0.44083588651587424,0.4832900448551379,-0.04245415833926361,-0.03591740576754693,-1.0601115417412192,2,0,8,0.009765625,0.05859375,False
STFT_2D,Min_Rare_F1,WGAN_GP_X5,BASELINE_CE,10,0.2592659594803058,0.25092021460377084,0.008345744876535019,0.003181597136202141,0.14052220544436847,6,0,4,0.76953125,0.86328125,False
STFT_2D,Rare_Macro_SF,WGAN_GP_X5,BASELINE_CE,10,0.294700704555403,0.2953900318976216,-0.0006893273422185764,-0.0037921107653806074,-0.023818428074533167,4,0,6,0.921875,1.0,False
STFT_2D,Macro_F1,WGAN_GP_X5,BASELINE_CE,10,0.47122359038415507,0.4832900448551379,-0.01206645447098278,-0.012802382966261294,-0.2308126540613839,3,0,7,0.322265625,0.580078125,False
RAW_1D,Min_Rare_F1,FOCAL_A025_G3,BASELINE_CE,10,0.13356749986117505,0.12525412295161925,0.008313376909555798,-0.004996335303585148,0.21243490166468512,4,0,6,1.0,1.0,False
RAW_1D,Rare_Macro_SF,FOCAL_A025_G3,BASELINE_CE,10,0.16037722089556786,0.16058148081778528,-0.00020425992221744516,0.014570344947356942,-0.00390327969073772,6,0,4,0.6953125,1.0,False
RAW_1D,Macro_F1,FOCAL_A025_G3,BASELINE_CE,10,0.4347900011263177,0.4388317396395466,-0.004041738513228815,-0.00754119332791045,-0.07109507993068181,4,0,6,0.625,1.0,False
RAW_1D,Min_Rare_F1,SAMPLER_P050,BASELINE_CE,10,0.10749793896584008,0.12525412295161925,-0.017756183985779172,-0.03157492695994122,-0.3268775562081802,2,0,8,0.10546875,0.2109375,False
RAW_1D,Rare_Macro_SF,SAMPLER_P050,BASELINE_CE,10,0.1578825354259456,0.16058148081778528,-0.0026989453918396912,-0.012261299826017105,-0.05561182089822652,4,0,6,0.845703125,1.0,False
RAW_1D,Macro_F1,SAMPLER_P050,BASELINE_CE,10,0.4701613474881987,0.4388317396395466,0.03132960784865223,0.02505715833820779,0.4303515903095254,7,0,3,0.16015625,0.48046875,False
RAW_1D,Min_Rare_F1,WGAN_GP_X3,BASELINE_CE,10,0.07604403031885494,0.12525412295161925,-0.0492100926327643,-0.05835365955973318,-1.0365086433195745,2,0,8,0.01953125,0.05859375,False
RAW_1D,Rare_Macro_SF,WGAN_GP_X3,BASELINE_CE,10,0.14592591053745269,0.16058148081778528,-0.01465557028033263,-0.01962456156767422,-0.21449744863449377,4,0,6,0.431640625,1.0,False
RAW_1D,Macro_F1,WGAN_GP_X3,BASELINE_CE,10,0.4516883633617189,0.4388317396395466,0.012856623722172328,0.010857403417693368,0.21237726702441256,5,0,5,0.6953125,1.0,False
