representation,config_id,family,n_seeds,n_train_samples,n_parameters,best_epoch_mean,time_s_mean,config_json,Macro_F1_mean,Macro_F1_std,Rare_Macro_SF_mean,Rare_Macro_SF_std,Min_Rare_F1_mean,Min_Rare_F1_std,Rare_HMean_SF_mean,Rare_HMean_SF_std,F1_N_mean,F1_N_std,F1_S_mean,F1_S_std,F1_V_mean,F1_V_std,F1_F_mean,F1_F_std,Precision_S_mean,Precision_S_std,Precision_F_mean,Precision_F_std,Recall_S_mean,Recall_S_std,Recall_F_mean,Recall_F_std
RAW_1D,FOCAL_A025_G3,focal,2,37862,328228,10.5,183.3676791191101,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",0.44175151906525156,0.021168669830678263,0.1697871920629525,0.02473842702131915,0.15454601593215456,0.02253146903679991,0.16841904678556063,0.02454154816252425,0.9418306457847601,0.01718905078267992,0.16822663710630514,0.003184149030627595,0.4856010463503412,0.11696248258267163,0.1713477470195999,0.046292705012010785,0.407070707070707,0.009999489834961225,0.1228138359891177,0.05441396917020459,0.1060209424083769,0.001851064872216085,0.33333333333333337,0.07856742013183861
RAW_1D,SAMPLER_P050,sampler,2,37862,328228,9.0,168.64508616924286,"{""config_id"": ""SAMPLER_P050"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 0.5}",0.44780805434843407,0.05615559264598492,0.2136262654435127,0.10063915629869263,0.14533706807268615,0.11509376216705054,0.18607318827375963,0.12286069959096892,0.922797826285686,0.015045780136123512,0.22384721527240745,0.004063647213296615,0.44118186022102485,0.008298277850431057,0.2034053156146179,0.19721466538408858,0.444078947368421,0.07908431105375861,0.19334175387946584,0.22570766797528016,0.15052356020942403,0.005553194616648324,0.4722222222222222,0.19641855032959657
RAW_1D,WGAN_GP_X3,wgan_gp,2,39778,328228,10.0,192.87272202968597,"{""config_id"": ""WGAN_GP_X3"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 3}",0.543923451962151,0.05866005866569466,0.21997604094582773,0.026829508611684396,0.1306715063520871,0.038499461770592415,0.1825550117098247,0.040868979837916965,0.9741497873865922,0.008643315891882527,0.30928057553956834,0.015159555452776365,0.7615919385703558,0.17233790154752726,0.1306715063520871,0.038499461770592415,0.5774887979738944,0.14209636563294833,0.08922413793103448,0.02011596877513454,0.21335078534031415,0.0055531946166482845,0.25,0.11785113019775792
RAW_1D,CLASS_WEIGHT_P050,class_weight,2,37862,328228,8.0,159.58927202224731,"{""config_id"": ""CLASS_WEIGHT_P050"", ""family"": ""class_weight"", ""kind"": ""class_weight"", ""weight_power"": 0.5}",0.4615042416373551,0.08796839430798971,0.16499939496575738,0.038595609199684924,0.1305622168931521,0.0798862976880086,0.1502255275510459,0.05928705475462432,0.9446915671405134,0.030833725613714565,0.1941963207957124,0.010105915080450863,0.5713266094773919,0.24384863321887457,0.1358024691358024,0.08729713347982068,0.4499877119685426,0.34269220262960726,0.119047619047619,0.01122391716169117,0.143979057591623,0.03702129744432188,0.24999999999999994,0.2749859704614352
RAW_1D,SMOTE_X3,smote,2,39778,328228,15.0,230.45998430252075,"{""config_id"": ""SMOTE_X3"", ""family"": ""smote"", ""kind"": ""smote"", ""smote_factor"": 3}",0.509063019535384,0.01599291940146943,0.16506774872643445,0.06411349118939044,0.12497136311569296,0.07467954779541772,0.1530894135595521,0.07389913531895857,0.9740820999085507,0.004440348024748116,0.20516413433717595,0.053547434583363154,0.7320344807801165,0.059814956748155186,0.12497136311569296,0.07467954779541772,0.40694444444444444,0.14338554174060542,0.09396043771043766,0.07663299501495625,0.13743455497382195,0.031468102827673566,0.3055555555555556,0.11785113019775793
RAW_1D,BASELINE_CE,baseline,2,37862,328228,13.5,208.4522819519043,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",0.45712120559433533,0.013571727705019255,0.13967930996146885,0.0022173876109056806,0.11240209818380735,0.005403232168610184,0.1341675393066009,0.0006714925486028185,0.9514545890728205,0.01916696389298065,0.11240209818380735,0.005403232168610184,0.5976716133815831,0.039554722148907887,0.1669565217391304,0.009838007390421486,0.46910735620413035,0.4314570306779156,0.21428571428571425,0.10101525445522111,0.07198952879581144,0.012957454105512635,0.16666666666666666,0.07856742013183861
RAW_1D,AUGMENT_X1,augmentation,2,38820,328228,12.0,198.91887140274048,"{""augment_multiplier"": 1, ""config_id"": ""AUGMENT_X1"", ""family"": ""augmentation"", ""kind"": ""augmentation""}",0.43154575595313316,0.013207797771209416,0.15336399449170224,0.026365133993690823,0.09168609168609165,0.008790760294471503,0.1265643378981215,0.0026952554354550927,0.9344930283463183,0.02233485190243342,0.21504189729731293,0.061521028281853185,0.48496200648280996,0.08322660716978604,0.09168609168609165,0.008790760294471503,0.3174234673801841,0.026098455998779482,0.053252525252525246,0.0038855160501563885,0.1714659685863874,0.07959578950529199,0.33333333333333337,0.07856742013183861
STFT_2D,BASELINE_CE,baseline,2,37862,318885,19.5,224.1766961812973,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",0.47078069281307694,0.031194449654167025,0.28815308866962136,0.0011237187764088657,0.2591362126245847,0.03758707142519855,0.28290967881377516,0.008487850446477986,0.9201275593407352,0.032421442217986006,0.3171699647146581,0.03533963387238094,0.3866890345723297,0.0946037939514997,0.2591362126245847,0.03758707142519855,0.7266672547635851,0.06218996655283946,0.24705882352941175,0.0665512264646162,0.20287958115183247,0.024063843338809236,0.2777777777777778,0.0
STFT_2D,CLASS_WEIGHT_P025,class_weight,2,37862,318885,10.0,161.60544741153717,"{""config_id"": ""CLASS_WEIGHT_P025"", ""family"": ""class_weight"", ""kind"": ""class_weight"", ""weight_power"": 0.25}",0.45544544802111425,0.018796047149751333,0.2921049982492997,0.0728160910355018,0.24823529411764705,0.10149062035853977,0.2827446701617467,0.08376239033315597,0.9061186963816426,0.0313930986624958,0.3359747023809524,0.04414156171246377,0.3314530992042152,0.039054894809502305,0.24823529411764705,0.10149062035853977,0.6412587412587413,0.11570838237598047,0.3794642857142857,0.27147849634840665,0.2277486910994764,0.025914908211025253,0.19444444444444442,0.039283710065919346
STFT_2D,FOCAL_A050_G3,focal,2,37862,318885,8.5,148.24466729164124,"{""alpha_power"": 0.5, ""config_id"": ""FOCAL_A050_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",0.4840451267823215,0.0774516256982352,0.2759338555370603,0.025295689872008108,0.2338830584707646,0.038164683842152505,0.2690166023349547,0.029852142711372136,0.9313322741470378,0.05737770925976338,0.317984652603356,0.012426695901863832,0.45298052190812765,0.20183741378916123,0.2338830584707646,0.038164683842152505,0.6355666297526763,0.0327581768323779,0.24350649350649345,0.041324422277135946,0.21204188481675385,0.00740425948886438,0.24999999999999994,0.11785113019775796
