representation,config_id,family,n_seeds,n_train_samples,n_parameters,best_epoch_mean,time_s_mean,config_json,Macro_F1_mean,Macro_F1_std,Rare_Macro_SF_mean,Rare_Macro_SF_std,Min_Rare_F1_mean,Min_Rare_F1_std,Rare_HMean_SF_mean,Rare_HMean_SF_std,F1_N_mean,F1_N_std,F1_S_mean,F1_S_std,F1_V_mean,F1_V_std,F1_F_mean,F1_F_std,Precision_S_mean,Precision_S_std,Precision_F_mean,Precision_F_std,Recall_S_mean,Recall_S_std,Recall_F_mean,Recall_F_std
RAW_1D,FOCAL_A025_G3,focal,2,37862,328228,10.5,183.3676791191101,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",0.44175151906525156,0.021168669830678263,0.1697871920629525,0.02473842702131915,0.15454601593215456,0.02253146903679991,0.16841904678556063,0.02454154816252425,0.9418306457847601,0.01718905078267992,0.16822663710630514,0.003184149030627595,0.4856010463503412,0.11696248258267163,0.1713477470195999,0.046292705012010785,0.407070707070707,0.009999489834961225,0.1228138359891177,0.05441396917020459,0.1060209424083769,0.001851064872216085,0.33333333333333337,0.07856742013183861
RAW_1D,SAMPLER_P050,sampler,2,37862,328228,9.0,168.64508616924286,"{""config_id"": ""SAMPLER_P050"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 0.5}",0.44780805434843407,0.05615559264598492,0.2136262654435127,0.10063915629869263,0.14533706807268615,0.11509376216705054,0.18607318827375963,0.12286069959096892,0.922797826285686,0.015045780136123512,0.22384721527240745,0.004063647213296615,0.44118186022102485,0.008298277850431057,0.2034053156146179,0.19721466538408858,0.444078947368421,0.07908431105375861,0.19334175387946584,0.22570766797528016,0.15052356020942403,0.005553194616648324,0.4722222222222222,0.19641855032959657
RAW_1D,WGAN_GP_X3,wgan_gp,2,39778,328228,10.0,192.87272202968597,"{""config_id"": ""WGAN_GP_X3"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 3}",0.543923451962151,0.05866005866569466,0.21997604094582773,0.026829508611684396,0.1306715063520871,0.038499461770592415,0.1825550117098247,0.040868979837916965,0.9741497873865922,0.008643315891882527,0.30928057553956834,0.015159555452776365,0.7615919385703558,0.17233790154752726,0.1306715063520871,0.038499461770592415,0.5774887979738944,0.14209636563294833,0.08922413793103448,0.02011596877513454,0.21335078534031415,0.0055531946166482845,0.25,0.11785113019775792
STFT_2D,BASELINE_CE,baseline,2,37862,318885,19.5,224.1766961812973,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",0.47078069281307694,0.031194449654167025,0.28815308866962136,0.0011237187764088657,0.2591362126245847,0.03758707142519855,0.28290967881377516,0.008487850446477986,0.9201275593407352,0.032421442217986006,0.3171699647146581,0.03533963387238094,0.3866890345723297,0.0946037939514997,0.2591362126245847,0.03758707142519855,0.7266672547635851,0.06218996655283946,0.24705882352941175,0.0665512264646162,0.20287958115183247,0.024063843338809236,0.2777777777777778,0.0
STFT_2D,CLASS_WEIGHT_P025,class_weight,2,37862,318885,10.0,161.60544741153717,"{""config_id"": ""CLASS_WEIGHT_P025"", ""family"": ""class_weight"", ""kind"": ""class_weight"", ""weight_power"": 0.25}",0.45544544802111425,0.018796047149751333,0.2921049982492997,0.0728160910355018,0.24823529411764705,0.10149062035853977,0.2827446701617467,0.08376239033315597,0.9061186963816426,0.0313930986624958,0.3359747023809524,0.04414156171246377,0.3314530992042152,0.039054894809502305,0.24823529411764705,0.10149062035853977,0.6412587412587413,0.11570838237598047,0.3794642857142857,0.27147849634840665,0.2277486910994764,0.025914908211025253,0.19444444444444442,0.039283710065919346
STFT_2D,FOCAL_A050_G3,focal,2,37862,318885,8.5,148.24466729164124,"{""alpha_power"": 0.5, ""config_id"": ""FOCAL_A050_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",0.4840451267823215,0.0774516256982352,0.2759338555370603,0.025295689872008108,0.2338830584707646,0.038164683842152505,0.2690166023349547,0.029852142711372136,0.9313322741470378,0.05737770925976338,0.317984652603356,0.012426695901863832,0.45298052190812765,0.20183741378916123,0.2338830584707646,0.038164683842152505,0.6355666297526763,0.0327581768323779,0.24350649350649345,0.041324422277135946,0.21204188481675385,0.00740425948886438,0.24999999999999994,0.11785113019775796
STFT_2D,FOCAL_A025_G3,focal,2,37862,318885,16.0,218.14272606372833,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",0.49979175618767147,0.09031266873493035,0.28044538898298765,0.01476764186205009,0.23385851096694465,0.004368901953577713,0.2725937814740633,0.011726265676001631,0.9340941682920827,0.06311774240974692,0.27309236947791166,0.05111615285685889,0.5041820784926276,0.26859764880587433,0.28779840848806365,0.08065143658095907,0.5862068965517242,0.10972346604618846,0.41477272727272724,0.05624713032165714,0.17801047120418845,0.03331916769988963,0.2222222222222222,0.07856742013183866
STFT_2D,FOCAL_A050_G1,focal,2,37862,318885,5.0,124.60616898536682,"{""alpha_power"": 0.5, ""config_id"": ""FOCAL_A050_G1"", ""family"": ""focal"", ""gamma"": 1.0, ""kind"": ""focal""}",0.4796255360867938,0.04573834352492517,0.3047591405539485,0.045980677540378906,0.22720897615708274,0.04760326156655579,0.2847308620342593,0.04982823115313323,0.9281734860761492,0.029683201898399812,0.3823093049508143,0.044358093514202064,0.38081037716312893,0.06130881712054298,0.22720897615708274,0.04760326156655579,0.6122187458394355,0.02285317149953858,0.41538461538461535,0.2610855807458022,0.28010471204188475,0.051829816422050576,0.1666666666666666,0.0
STFT_2D,AUGMENT_X1,augmentation,2,38820,318885,10.0,162.38387084007263,"{""augment_multiplier"": 1, ""config_id"": ""AUGMENT_X1"", ""family"": ""augmentation"", ""kind"": ""augmentation""}",0.5384806021684508,0.022120974689904573,0.276030896727285,0.012600595004401027,0.21214392803598195,0.007420910747085165,0.26123505778946454,0.01087835201136463,0.9735485481994552,0.00623249062664625,0.3399178654185881,0.01778027926171693,0.6283120670197782,0.10745259814177416,0.21214392803598195,0.007420910747085165,0.673109243697479,0.02257988040763765,0.2256493506493506,0.06657823589094121,0.2277486910994764,0.01851064872216095,0.2222222222222222,0.07856742013183866
STFT_2D,SAMPLER_P050,sampler,2,37862,318885,1.5,91.73371207714081,"{""config_id"": ""SAMPLER_P050"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 0.5}",0.4940550344188538,0.0700693426725472,0.2876455662611622,0.04309518936681379,0.1883597883597883,0.056867846952568885,0.2519326271128612,0.05795345391556419,0.9421090157000795,0.041151151461079456,0.38693134416253616,0.029322531781058696,0.4588199894530109,0.15293584049548153,0.1883597883597883,0.056867846952568885,0.7003396739130434,0.12864347554467215,0.2287581699346405,0.009243225897863352,0.27225130890052357,0.04812768667761845,0.16666666666666666,0.07856742013183861
