representation,architecture_candidate_id,config_id,family,config_json,seed,n_parameters,n_train_samples,train_class_counts_json,best_epoch,time_s,confusion_json,Macro_F1,Rare_Macro_SF,Min_Rare_F1,Rare_HMean_SF,F1_N,F1_S,F1_V,F1_F,Precision_S,Precision_F,Recall_S,Recall_F
RAW_1D,BILSTM1D_T24_BOTH,AUGMENT_X1,augmentation,"{""augment_multiplier"": 1, ""config_id"": ""AUGMENT_X1"", ""family"": ""augmentation"", ""kind"": ""augmentation""}",5000,328228,38820,"{""N"": 33858, ""S"": 1124, ""V"": 3046, ""F"": 792}",16,235.0544693470001,"[[11125, 58, 747, 70], [223, 44, 115, 0], [63, 29, 602, 48], [3, 0, 8, 7]]",0.4408850793216959,0.1347210294578715,0.0979020979020979,0.1246585045026813,0.9502861535833262,0.1715399610136452,0.5438121047877146,0.0979020979020979,0.3358778625954198,0.056,0.1151832460732984,0.3888888888888889
RAW_1D,BILSTM1D_T24_BOTH,AUGMENT_X1,augmentation,"{""augment_multiplier"": 1, ""config_id"": ""AUGMENT_X1"", ""family"": ""augmentation"", ""kind"": ""augmentation""}",5001,328228,38820,"{""N"": 33858, ""S"": 1124, ""V"": 3046, ""F"": 792}",8,162.78327345848083,"[[10430, 175, 1346, 49], [198, 87, 97, 0], [74, 29, 594, 45], [4, 0, 9, 5]]",0.4222064325845704,0.172006959525533,0.0854700854700854,0.1284701712935617,0.9186999031093104,0.2585438335809807,0.4261119081779053,0.0854700854700854,0.2989690721649484,0.0505050505050505,0.2277486910994764,0.2777777777777778
STFT_2D,BILSTM2D_T7_BOTH,AUGMENT_X1,augmentation,"{""augment_multiplier"": 1, ""config_id"": ""AUGMENT_X1"", ""family"": ""augmentation"", ""kind"": ""augmentation""}",5000,318885,38820,"{""N"": 33858, ""S"": 1124, ""V"": 3046, ""F"": 792}",12,178.58385586738586,"[[11526, 6, 455, 13], [95, 92, 195, 0], [157, 42, 533, 10], [8, 0, 5, 5]]",0.5228387109587633,0.2849408629018823,0.217391304347826,0.2689272142648348,0.969141511813672,0.3524904214559387,0.5523316062176166,0.217391304347826,0.6571428571428571,0.1785714285714285,0.2408376963350785,0.2777777777777778
STFT_2D,BILSTM2D_T7_BOTH,AUGMENT_X1,augmentation,"{""augment_multiplier"": 1, ""config_id"": ""AUGMENT_X1"", ""family"": ""augmentation"", ""kind"": ""augmentation""}",5001,318885,38820,"{""N"": 33858, ""S"": 1124, ""V"": 3046, ""F"": 792}",8,146.1838858127594,"[[11978, 5, 15, 2], [243, 82, 57, 0], [261, 32, 443, 6], [14, 0, 1, 3]]",0.5541224933781383,0.2671209305526877,0.2068965517241379,0.2535429013140943,0.9779555845852383,0.3273453093812375,0.7042925278219396,0.2068965517241379,0.6890756302521008,0.2727272727272727,0.2146596858638743,0.1666666666666666
RAW_1D,BILSTM1D_T24_BOTH,AUGMENT_X3,augmentation,"{""augment_multiplier"": 3, ""config_id"": ""AUGMENT_X3"", ""family"": ""augmentation"", ""kind"": ""augmentation""}",5000,328228,40736,"{""N"": 33858, ""S"": 2248, ""V"": 3046, ""F"": 1584}",2,113.07092785835266,"[[11572, 3, 416, 9], [300, 67, 13, 2], [107, 26, 552, 57], [10, 0, 4, 4]]",0.4933144923445742,0.1846118084611808,0.0888888888888888,0.1349785948123898,0.9647755221143024,0.2803347280334728,0.6392588303416329,0.0888888888888888,0.6979166666666666,0.0555555555555555,0.175392670157068,0.2222222222222222
RAW_1D,BILSTM1D_T24_BOTH,AUGMENT_X3,augmentation,"{""augment_multiplier"": 3, ""config_id"": ""AUGMENT_X3"", ""family"": ""augmentation"", ""kind"": ""augmentation""}",5001,328228,40736,"{""N"": 33858, ""S"": 2248, ""V"": 3046, ""F"": 1584}",19,273.7856373786926,"[[11222, 306, 356, 116], [245, 54, 82, 1], [109, 144, 471, 18], [10, 2, 3, 3]]",0.4202982556663357,0.08004158004158,0.0384615384615384,0.0584415584415584,0.9515814466208768,0.1216216216216216,0.5695284159613059,0.0384615384615384,0.1067193675889328,0.0217391304347826,0.1413612565445026,0.1666666666666666
STFT_2D,BILSTM2D_T7_BOTH,AUGMENT_X3,augmentation,"{""augment_multiplier"": 3, ""config_id"": ""AUGMENT_X3"", ""family"": ""augmentation"", ""kind"": ""augmentation""}",5000,318885,40736,"{""N"": 33858, ""S"": 2248, ""V"": 3046, ""F"": 1584}",18,237.01321697235107,"[[10012, 11, 1964, 13], [88, 89, 205, 0], [153, 16, 571, 2], [10, 0, 3, 5]]",0.4619268152061039,0.310293806806172,0.2631578947368421,0.303133514986376,0.8994295467816557,0.357429718875502,0.3276901004304161,0.2631578947368421,0.7672413793103449,0.25,0.2329842931937172,0.2777777777777778
STFT_2D,BILSTM2D_T7_BOTH,AUGMENT_X3,augmentation,"{""augment_multiplier"": 3, ""config_id"": ""AUGMENT_X3"", ""family"": ""augmentation"", ""kind"": ""augmentation""}",5001,318885,40736,"{""N"": 33858, ""S"": 2248, ""V"": 3046, ""F"": 1584}",27,296.4868664741516,"[[11536, 5, 435, 24], [132, 72, 178, 0], [170, 24, 544, 4], [7, 0, 6, 5]]",0.508231497157159,0.2471075386676409,0.196078431372549,0.2365697387875801,0.9675823023694696,0.2981366459627329,0.5711286089238845,0.196078431372549,0.7128712871287128,0.1515151515151515,0.1884816753926701,0.2777777777777778
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",5000,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",23,292.7014811038971,"[[10950, 136, 894, 20], [334, 31, 17, 0], [56, 22, 660, 4], [10, 0, 4, 4]]",0.4475245449016989,0.1412472397776593,0.1085814360770578,0.1336927223719676,0.9379014989293362,0.1085814360770578,0.5697022011221407,0.1739130434782608,0.164021164021164,0.1428571428571428,0.0811518324607329,0.2222222222222222
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",5001,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",4,124.2030827999115,"[[11624, 3, 373, 0], [272, 24, 86, 0], [184, 4, 549, 5], [11, 0, 5, 2]]",0.4667178662869718,0.1381113801452784,0.1162227602905569,0.1346423562412342,0.9650076792163048,0.1162227602905569,0.6256410256410256,0.16,0.7741935483870968,0.2857142857142857,0.06282722513089,0.1111111111111111
