representation,config_id,family,n_seeds,n_train_samples,n_parameters,best_epoch_mean,time_s_mean,config_json,Macro_F1_mean,Macro_F1_std,Rare_Macro_SF_mean,Rare_Macro_SF_std,Min_Rare_F1_mean,Min_Rare_F1_std,Rare_HMean_SF_mean,Rare_HMean_SF_std,F1_N_mean,F1_N_std,F1_S_mean,F1_S_std,F1_V_mean,F1_V_std,F1_F_mean,F1_F_std,Precision_S_mean,Precision_S_std,Precision_F_mean,Precision_F_std,Recall_S_mean,Recall_S_std,Recall_F_mean,Recall_F_std
RAW_1D,FOCAL_A025_G3,focal,2,37862,328228,10.5,183.3676791191101,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",0.44175151906525156,0.021168669830678263,0.1697871920629525,0.02473842702131915,0.15454601593215456,0.02253146903679991,0.16841904678556063,0.02454154816252425,0.9418306457847601,0.01718905078267992,0.16822663710630514,0.003184149030627595,0.4856010463503412,0.11696248258267163,0.1713477470195999,0.046292705012010785,0.407070707070707,0.009999489834961225,0.1228138359891177,0.05441396917020459,0.1060209424083769,0.001851064872216085,0.33333333333333337,0.07856742013183861
RAW_1D,SAMPLER_P050,sampler,2,37862,328228,9.0,168.64508616924286,"{""config_id"": ""SAMPLER_P050"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 0.5}",0.44780805434843407,0.05615559264598492,0.2136262654435127,0.10063915629869263,0.14533706807268615,0.11509376216705054,0.18607318827375963,0.12286069959096892,0.922797826285686,0.015045780136123512,0.22384721527240745,0.004063647213296615,0.44118186022102485,0.008298277850431057,0.2034053156146179,0.19721466538408858,0.444078947368421,0.07908431105375861,0.19334175387946584,0.22570766797528016,0.15052356020942403,0.005553194616648324,0.4722222222222222,0.19641855032959657
RAW_1D,WGAN_GP_X3,wgan_gp,2,39778,328228,10.0,192.87272202968597,"{""config_id"": ""WGAN_GP_X3"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 3}",0.543923451962151,0.05866005866569466,0.21997604094582773,0.026829508611684396,0.1306715063520871,0.038499461770592415,0.1825550117098247,0.040868979837916965,0.9741497873865922,0.008643315891882527,0.30928057553956834,0.015159555452776365,0.7615919385703558,0.17233790154752726,0.1306715063520871,0.038499461770592415,0.5774887979738944,0.14209636563294833,0.08922413793103448,0.02011596877513454,0.21335078534031415,0.0055531946166482845,0.25,0.11785113019775792
RAW_1D,CLASS_WEIGHT_P050,class_weight,2,37862,328228,8.0,159.58927202224731,"{""config_id"": ""CLASS_WEIGHT_P050"", ""family"": ""class_weight"", ""kind"": ""class_weight"", ""weight_power"": 0.5}",0.4615042416373551,0.08796839430798971,0.16499939496575738,0.038595609199684924,0.1305622168931521,0.0798862976880086,0.1502255275510459,0.05928705475462432,0.9446915671405134,0.030833725613714565,0.1941963207957124,0.010105915080450863,0.5713266094773919,0.24384863321887457,0.1358024691358024,0.08729713347982068,0.4499877119685426,0.34269220262960726,0.119047619047619,0.01122391716169117,0.143979057591623,0.03702129744432188,0.24999999999999994,0.2749859704614352
RAW_1D,SMOTE_X3,smote,2,39778,328228,15.0,230.45998430252075,"{""config_id"": ""SMOTE_X3"", ""family"": ""smote"", ""kind"": ""smote"", ""smote_factor"": 3}",0.509063019535384,0.01599291940146943,0.16506774872643445,0.06411349118939044,0.12497136311569296,0.07467954779541772,0.1530894135595521,0.07389913531895857,0.9740820999085507,0.004440348024748116,0.20516413433717595,0.053547434583363154,0.7320344807801165,0.059814956748155186,0.12497136311569296,0.07467954779541772,0.40694444444444444,0.14338554174060542,0.09396043771043766,0.07663299501495625,0.13743455497382195,0.031468102827673566,0.3055555555555556,0.11785113019775793
RAW_1D,BASELINE_CE,baseline,2,37862,328228,13.5,208.4522819519043,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",0.45712120559433533,0.013571727705019255,0.13967930996146885,0.0022173876109056806,0.11240209818380735,0.005403232168610184,0.1341675393066009,0.0006714925486028185,0.9514545890728205,0.01916696389298065,0.11240209818380735,0.005403232168610184,0.5976716133815831,0.039554722148907887,0.1669565217391304,0.009838007390421486,0.46910735620413035,0.4314570306779156,0.21428571428571425,0.10101525445522111,0.07198952879581144,0.012957454105512635,0.16666666666666666,0.07856742013183861
RAW_1D,CLASS_WEIGHT_P025,class_weight,2,37862,328228,14.5,217.45388746261597,"{""config_id"": ""CLASS_WEIGHT_P025"", ""family"": ""class_weight"", ""kind"": ""class_weight"", ""weight_power"": 0.25}",0.40944919347048425,0.013785977463339177,0.12144176280155725,0.009752645687305914,0.1117271727172717,0.017984938152951546,0.1203291577851962,0.011159060845400954,0.9274418066138321,0.015487505773212009,0.12726287262872624,0.0039858593627859614,0.46747144166499005,0.02015111270553311,0.11562065297438834,0.02349115073739779,0.2171269004033509,0.10434377447481293,0.0660088644997889,0.01649119867478121,0.09685863874345549,0.01851064872216094,0.5,0.07856742013183865
RAW_1D,FOCAL_A050_G2,focal,2,37862,328228,14.0,213.6605328321457,"{""alpha_power"": 0.5, ""config_id"": ""FOCAL_A050_G2"", ""family"": ""focal"", ""gamma"": 2.0, ""kind"": ""focal""}",0.42216345518009013,0.04331810115799627,0.1533064703033836,0.07472960689981685,0.10349214426563191,0.03265438096440644,0.13594838641441584,0.055847590671590536,0.9290054586331646,0.010737007095235932,0.2031207963411353,0.1168048328352274,0.45303542148042864,0.013076183737115181,0.10349214426563191,0.03265438096440644,0.3794413738649822,0.23288741895178733,0.06308305407118915,0.02670623383341994,0.1387434554973822,0.07774472463307593,0.3611111111111111,0.11785113019775789
RAW_1D,FOCAL_A025_G1,focal,2,37862,328228,9.0,169.20480704307556,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G1"", ""family"": ""focal"", ""gamma"": 1.0, ""kind"": ""focal""}",0.4572053236872483,0.01461941500411794,0.1702794351327894,0.0508508150365294,0.09871869539895164,0.056420284812205596,0.13797517651778024,0.06517907864608789,0.9458802985087067,0.019992106731993742,0.2418401748666271,0.04528134526085315,0.542382125974708,0.14018718335753663,0.09871869539895164,0.056420284812205596,0.686060606060606,0.03685526253457157,0.07341867469879515,0.01544133784217607,0.14790575916230358,0.0351702325721058,0.2222222222222222,0.2357022603955159
RAW_1D,FOCAL_A025_G2,focal,2,37862,328228,18.0,250.0608389377594,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G2"", ""family"": ""focal"", ""gamma"": 2.0, ""kind"": ""focal""}",0.4661394775826211,0.10555731283359064,0.14473680370591416,0.05828815046088512,0.09338731443994595,0.012977938224206549,0.1168987524148082,0.018931705908567617,0.9525063915633001,0.03956229982903705,0.19512953828378438,0.13090729460174902,0.6225779113553561,0.26609065058355563,0.09434406912804395,0.01433099367997878,0.3168205128205128,0.1538954450951645,0.0561464397671294,0.005937416993841398,0.14267015706806274,0.10551069771631731,0.3055555555555556,0.11785113019775793
