representation,architecture_candidate_id,config_id,family,config_json,seed,method_data_seed,wgan_pool_seed,wgan_quality_attempt,n_parameters,n_train_samples,train_class_counts_json,fixed_epochs,train_loss_final,time_s,confusion_json,Accuracy,Weighted_F1,Macro_F1,Rare_Macro_SF,Min_Rare_F1,Rare_HMean_SF,F1_N,F1_S,F1_V,F1_F,Precision_N,Precision_S,Precision_V,Precision_F,Recall_N,Recall_S,Recall_V,Recall_F
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7100,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",15,0.04378805088688219,166.83447766304016,"[[42890, 425, 768, 165], [462, 165, 1205, 5], [543, 239, 2433, 5], [378, 2, 6, 2]]",0.9154206829935806,0.9087970588369956,0.4343455035912969,0.06538390096986904,0.007079646017699115,0.013392721258915798,0.9690355960732482,0.12368815592203898,0.6375786163522013,0.007079646017699115,0.9687619994127347,0.19855595667870035,0.5514505893019039,0.011299435028248588,0.9693093473151329,0.08982035928143713,0.7555900621118012,0.005154639175257732
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7101,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",15,0.03981323334862568,166.68370032310486,"[[42639, 372, 1024, 213], [688, 207, 941, 1], [360, 178, 2677, 5], [377, 3, 5, 3]]",0.9161451311049846,0.9099051742549933,0.45386492268453427,0.08462538742685444,0.009836065573770493,0.018528878644796028,0.9656445330192952,0.1594147092799384,0.6805643828651329,0.009836065573770493,0.9676606753812637,0.2723684210526316,0.5760705831719389,0.013513513513513514,0.9636367745434822,0.11268372346216658,0.8313664596273292,0.007731958762886598
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7102,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",15,0.03962664448126211,166.74405908584595,"[[42619, 393, 1167, 69], [313, 184, 1339, 1], [382, 185, 2642, 11], [369, 6, 7, 6]]",0.9146358642062262,0.9094588167858896,0.44170725978366815,0.08326497626022832,0.02526315789473684,0.042861302533242746,0.9693737134798877,0.14126679462571978,0.6309253731343284,0.02526315789473684,0.97564269853261,0.23958333333333334,0.5125121241513094,0.06896551724137931,0.9631847767130718,0.10016330974414807,0.8204968944099379,0.015463917525773196
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7103,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",15,0.03825194731447028,166.5398988723755,"[[42714, 198, 1193, 143], [1566, 157, 114, 0], [285, 108, 2820, 7], [378, 2, 7, 1]]",0.9194856418409032,0.9076265588194213,0.4662132273670208,0.07005685142708849,0.0037105751391465678,0.007224618924360079,0.9578096444708547,0.1364031277150304,0.7669295621430514,0.0037105751391465678,0.9504038448701689,0.33763440860215055,0.6821480406386067,0.006622516556291391,0.9653317664075213,0.085465432770822,0.8757763975155279,0.002577319587628866
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7104,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",15,0.04091183371101202,166.68195819854736,"[[41373, 1103, 1016, 756], [652, 192, 993, 0], [224, 418, 2552, 26], [345, 23, 11, 9]]",0.8879721489948282,0.8949659677484066,0.43265114265586974,0.06136994378961806,0.015267175572519083,0.02673629242819843,0.9528338822228876,0.10747271200671704,0.6550308008213552,0.015267175572519083,0.9713339907029159,0.11059907834101383,0.558180227471566,0.011378002528445006,0.935025311878503,0.1045182362547632,0.7925465838509317,0.023195876288659795
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7105,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",15,0.04384893156927537,166.48456144332886,"[[41834, 425, 1453, 536], [1297, 148, 389, 3], [520, 264, 2424, 12], [367, 9, 10, 2]]",0.8936469925341597,0.8900618400318782,0.4273068632686355,0.057287530454077175,0.004250797024442083,0.00818618028955847,0.9479074615367186,0.11032426388371226,0.6467449306296692,0.004250797024442083,0.9503839338452451,0.17494089834515367,0.5668849391955099,0.003616636528028933,0.945443861869463,0.08056614044637997,0.7527950310559006,0.005154639175257732
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7106,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",15,0.04192704937760829,166.68664455413818,"[[42127, 655, 1352, 114], [967, 150, 718, 2], [425, 160, 2629, 6], [373, 8, 4, 3]]",0.9037288954178657,0.8982094854547975,0.43450150847853997,0.059228736134523736,0.011695906432748537,0.021082220660576245,0.9559110506013161,0.10676156583629894,0.6636375110437965,0.011695906432748537,0.9597876606215255,0.15416238437821173,0.5590048904954285,0.024,0.9520656300849756,0.08165487207403375,0.8164596273291925,0.007731958762886598
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7107,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",15,0.05594645461831195,166.5986099243164,"[[39916, 351, 1036, 2945], [265, 160, 1398, 14], [288, 229, 2641, 62], [341, 2, 35, 10]]",0.859819290443322,0.8814394057982267,0.4256454931605059,0.06496438203543119,0.0058496636443404505,0.011172599200460868,0.9385595711161796,0.12407910042652191,0.634093637454982,0.0058496636443404505,0.9780936045086989,0.215633423180593,0.5168297455968689,0.003299241174529858,0.9020972699331044,0.08709853021230267,0.8201863354037268,0.02577319587628866
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7108,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",15,0.043497803195063,166.6369915008545,"[[41980, 470, 1255, 543], [430, 147, 1257, 3], [431, 344, 2437, 8], [365, 7, 12, 4]]",0.8968667619181776,0.8973977976616339,0.4172719374720567,0.05663474692202462,0.008456659619450317,0.01565057691539905,0.9600475678642486,0.10481283422459893,0.5957706881799291,0.008456659619450317,0.9716243114382261,0.1518595041322314,0.49123160653094133,0.007168458781362007,0.9487434460314591,0.08002177463255307,0.756832298136646,0.010309278350515464
RAW_1D,BILSTM1D_T24_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7109,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",15,0.04513460440123559,166.56019830703735,"[[43257, 369, 426, 196], [534, 133, 1170, 0], [279, 157, 2778, 6], [378, 2, 7, 1]]",0.9290845793170064,0.9198491978098641,0.4540562130213369,0.05493464145258677,0.00338409475465313,0.006559721828337505,0.9753991160818977,0.10648518815052041,0.7309564530982765,0.00338409475465313,0.9732046436285097,0.20121028744326777,0.6341018032412691,0.0049261083743842365,0.9776035075031639,0.0724006532389766,0.8627329192546583,0.002577319587628866
