representation,config_id,role,record_id,n_seeds,true_F_evaluations,F_to_N_count,F_to_N_fraction,F_to_S_count,F_to_S_fraction,F_to_V_count,F_to_V_fraction,F_to_F_count,F_to_F_fraction
RAW_1D,BASELINE_CE,baseline,200,10,20,14,0.7,6,0.3,0,0.0,0,0.0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,200,10,20,15,0.75,5,0.25,0,0.0,0,0.0
STFT_2D,BASELINE_CE,baseline,200,10,20,15,0.75,0,0.0,0,0.0,5,0.25
STFT_2D,WGAN_GP_X5,selected_on_DS1,200,10,20,18,0.9,0,0.0,0,0.0,2,0.1
RAW_1D,BASELINE_CE,baseline,202,10,10,9,0.9,0,0.0,1,0.1,0,0.0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,202,10,10,6,0.6,0,0.0,4,0.4,0,0.0
STFT_2D,BASELINE_CE,baseline,202,10,10,7,0.7,0,0.0,3,0.3,0,0.0
STFT_2D,WGAN_GP_X5,selected_on_DS1,202,10,10,9,0.9,0,0.0,1,0.1,0,0.0
RAW_1D,BASELINE_CE,baseline,210,10,100,82,0.82,0,0.0,18,0.18,0,0.0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,210,10,100,78,0.78,0,0.0,21,0.21,1,0.01
STFT_2D,BASELINE_CE,baseline,210,10,100,88,0.88,1,0.01,6,0.06,5,0.05
STFT_2D,WGAN_GP_X5,selected_on_DS1,210,10,100,87,0.87,0,0.0,9,0.09,4,0.04
RAW_1D,BASELINE_CE,baseline,213,10,3620,3507,0.9687845303867403,38,0.010497237569060774,64,0.017679558011049725,11,0.0030386740331491712
RAW_1D,FOCAL_A025_G3,selected_on_DS1,213,10,3620,3495,0.9654696132596685,14,0.0038674033149171273,82,0.022651933701657457,29,0.008011049723756906
STFT_2D,BASELINE_CE,baseline,213,10,3620,3461,0.9560773480662983,0,0.0,125,0.034530386740331494,34,0.009392265193370166
STFT_2D,WGAN_GP_X5,selected_on_DS1,213,10,3620,3457,0.9549723756906078,0,0.0,135,0.03729281767955801,28,0.0077348066298342545
RAW_1D,BASELINE_CE,baseline,214,10,10,0,0.0,10,1.0,0,0.0,0,0.0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,214,10,10,0,0.0,10,1.0,0,0.0,0,0.0
STFT_2D,BASELINE_CE,baseline,214,10,10,5,0.5,1,0.1,4,0.4,0,0.0
STFT_2D,WGAN_GP_X5,selected_on_DS1,214,10,10,3,0.3,3,0.3,4,0.4,0,0.0
RAW_1D,BASELINE_CE,baseline,219,10,10,0,0.0,10,1.0,0,0.0,0,0.0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,219,10,10,0,0.0,10,1.0,0,0.0,0,0.0
STFT_2D,BASELINE_CE,baseline,219,10,10,9,0.9,1,0.1,0,0.0,0,0.0
STFT_2D,WGAN_GP_X5,selected_on_DS1,219,10,10,7,0.7,3,0.3,0,0.0,0,0.0
RAW_1D,BASELINE_CE,baseline,233,10,110,59,0.5363636363636364,0,0.0,21,0.19090909090909092,30,0.2727272727272727
RAW_1D,FOCAL_A025_G3,selected_on_DS1,233,10,110,68,0.6181818181818182,0,0.0,9,0.08181818181818182,33,0.3
STFT_2D,BASELINE_CE,baseline,233,10,110,14,0.12727272727272726,0,0.0,53,0.4818181818181818,43,0.39090909090909093
STFT_2D,WGAN_GP_X5,selected_on_DS1,233,10,110,17,0.15454545454545454,0,0.0,58,0.5272727272727272,35,0.3181818181818182
RAW_1D,BASELINE_CE,baseline,ALL_DS2,10,3880,3671,0.9461340206185567,64,0.016494845360824743,104,0.026804123711340205,41,0.010567010309278351
RAW_1D,FOCAL_A025_G3,selected_on_DS1,ALL_DS2,10,3880,3662,0.9438144329896907,39,0.010051546391752578,116,0.029896907216494847,63,0.016237113402061857
STFT_2D,BASELINE_CE,baseline,ALL_DS2,10,3880,3599,0.9275773195876289,3,0.0007731958762886598,191,0.04922680412371134,87,0.022422680412371134
STFT_2D,WGAN_GP_X5,selected_on_DS1,ALL_DS2,10,3880,3598,0.927319587628866,6,0.0015463917525773195,207,0.053350515463917524,69,0.017783505154639175
