representation,config_id,role,record_id,n_seeds,n_beats,Accuracy_mean,Macro_F1_present_classes_mean,Rare_Macro_present_classes_mean,Min_Rare_present_classes_mean,Precision_N_mean,Recall_N_mean,F1_N_mean,Precision_S_mean,Recall_S_mean,F1_S_mean,Precision_V_mean,Recall_V_mean,F1_V_mean,Precision_F_mean,Recall_F_mean,F1_F_mean,Accuracy_std,Macro_F1_present_classes_std,Rare_Macro_present_classes_std,Min_Rare_present_classes_std,Precision_N_std,Recall_N_std,F1_N_std,Precision_S_std,Recall_S_std,F1_S_std,Precision_V_std,Recall_V_std,F1_V_std,Precision_F_std,Recall_F_std,F1_F_std,Support_N,Support_S,Support_V,Support_F
RAW_1D,BASELINE_CE,baseline,213,10,3250,0.7919384615384615,0.39808864698062046,0.07799237434820182,0.005773911857815298,0.8366109063382492,0.9350378787878787,0.8819117184849544,0.23218971857310794,0.20357142857142857,0.15021083683858832,0.8049603911089045,0.44772727272727275,0.5544581207411239,0.06666666666666667,0.0030386740331491712,0.005773911857815298,0.0635256583611454,0.05734359364229944,0.09600858992711847,0.011170038944262415,0.013811381934147693,0.07866845593429304,0.04171781475257211,0.3196454681260463,0.1552647508520297,0.19525634049628343,0.13300517668174036,0.12577126614053466,0.049406517695290864,0.11653431646335018,0.005888868123506255,0.011170038944262415,2640,28,220,362
RAW_1D,BASELINE_CE,baseline,233,10,3077,0.8155671108222295,0.4598313623054288,0.08093914853027437,0.046037877873715743,0.932056583314256,0.8226558995065052,0.854849393089226,0.0557965367965368,0.2,0.07632962969061367,0.8522137562048474,0.8089156626506024,0.8225977590719407,0.06499454444419736,0.2727272727272727,0.08554866736993506,0.18382830896463798,0.09040820283237778,0.06493835850584713,0.056498165979272146,0.04509236158154634,0.2386540640114463,0.18403141285687163,0.0552723594764146,0.18070158058105026,0.06910371929900368,0.1563432639304698,0.1139588927987428,0.11507963864290432,0.08831843166039098,0.14845392380504105,0.10779021505657907,2229,7,830,11
RAW_1D,BASELINE_CE,baseline,210,10,2648,0.8958836858006043,0.4573370244676499,0.06861114175355662,0.0,0.9772563945691399,0.915737298636927,0.943466916594223,0.13079934558195427,0.16818181818181815,0.13722228350711324,0.7452249646987039,0.7774358974358975,0.7486588977692634,0.0,0.0,0.0,0.07939201630211211,0.037802177288828655,0.04447226742680537,0.0,0.004378143247805293,0.08799170027335526,0.05157577488040447,0.09861459829414702,0.09103526597454425,0.08894453485361074,0.17117842247282145,0.04096862134412376,0.10724266197997766,0.0,0.0,0.0,2421,22,195,10
RAW_1D,BASELINE_CE,baseline,200,10,2600,0.9465769230769231,0.5661373842883698,0.18052658246923986,0.0,0.9652779181927821,0.9915614236509759,0.978196959018927,0.2727299603327744,0.65,0.3610531649384797,0.9989334944393755,0.8647699757869249,0.9252994131960725,0.0,0.0,0.0,0.026231940971898907,0.038965839756147334,0.06241857221991813,0.0,0.012092114069323279,0.00589814240075936,0.006542133949736631,0.10348652529711473,0.22180516419641255,0.12483714443983626,0.002938442177392665,0.07580546711898073,0.04630403709819857,0.0,0.0,0.0,1742,30,826,2
RAW_1D,BASELINE_CE,baseline,202,10,2136,0.9198501872659175,0.45532994412891536,0.13182414183954347,0.0,0.98558294842233,0.9350800582241631,0.959500044962512,0.2317548555636463,0.3618181818181818,0.26364828367908694,0.46653616931261616,0.9315789473684211,0.5981714478740626,0.0,0.0,0.0,0.02237285701628604,0.041358933081837884,0.03774043285259359,0.0,0.0032013102798874836,0.024057377433397687,0.011819846230932064,0.1390873603161669,0.09406638532698516,0.07548086570518718,0.20319437567280565,0.04993069989739545,0.19186626746806495,0.0,0.0,0.0,2061,55,19,1
RAW_1D,BASELINE_CE,baseline,219,10,2154,0.7941968430826369,0.30361374146210346,0.0,0.0,0.9952388334545335,0.7944764649375601,0.8792100103137195,0.0,0.0,0.0,0.2441748323409479,0.884375,0.33524495553469424,0.0,0.0,0.0,0.11507659744420987,0.07895539520076737,0.0,0.0,0.0016666572952591077,0.11907113247547411,0.07284035672444865,0.0,0.0,0.0,0.243054695579208,0.010925092168439064,0.24880607248715988,0.0,0.0,0.0,2082,7,64,1
RAW_1D,BASELINE_CE,baseline,214,10,2258,0.816607617360496,0.5012084541618068,0.0,0.0,0.9954689833910756,0.8245877061469266,0.8892085924809635,0.0,,,0.5549307732320118,0.757421875,0.6144167700044572,0.0,0.0,0.0,0.16945497744114935,0.10277636748684055,0.0,0.0,0.007722256662515445,0.1919334002669473,0.13654486150250386,0.0,,,0.23667164036798535,0.07253083373605956,0.19053498676378483,0.0,0.0,0.0,2001,0,256,1
RAW_1D,FOCAL_A025_G3,selected_on_DS1,213,10,3250,0.8274461538461539,0.40093930998438776,0.07928169996559149,0.01031293364633867,0.8466549799364135,0.9805681818181817,0.9085685644733752,0.21410887961144714,0.13214285714285715,0.14423290625822272,0.7523191027982836,0.4268181818181819,0.5366252755329928,0.08723227450436426,0.008011049723756904,0.014330493672960288,0.028439973350113407,0.06015361674720434,0.09185505274987155,0.01865988023708706,0.010366772122647831,0.030827247101563128,0.01781212467835896,0.2449196458947637,0.14290673742307267,0.17867964368795103,0.18412025772145443,0.07909177986284843,0.09578065917052564,0.07135886454760453,0.010694885751922366,0.018226364763343047,2640,28,220,362
RAW_1D,FOCAL_A025_G3,selected_on_DS1,233,10,3077,0.6606434839129022,0.37429874388218487,0.07026198161181164,0.042531350234335165,0.8522404125004597,0.6653207716464783,0.7146765168078585,0.0635695945216376,0.21428571428571427,0.08493386500756346,0.6756541943832006,0.6566265060240963,0.6419944954972576,0.033927640589146435,0.3,0.05559009821605983,0.2397953039972111,0.13274536677127047,0.08311512834287371,0.05662402887223834,0.0788519289044265,0.3166554376108203,0.2573273097747206,0.09930421409803272,0.21560440805089084,0.11880381390762458,0.2842167966899509,0.13235719520352188,0.19409033767972045,0.03278241372686589,0.09630453686103456,0.04982978806722545,2229,7,830,11
RAW_1D,FOCAL_A025_G3,selected_on_DS1,210,10,2648,0.8729229607250755,0.445579035364569,0.06850560861530927,0.0007905138339920949,0.9795257338200797,0.890458488228005,0.9312749879557225,0.11656931544997173,0.30454545454545456,0.13622070339662645,0.7006645477815462,0.7635897435897436,0.7140299362719349,0.000411522633744856,0.01,0.0007905138339920949,0.06999338209731369,0.054035767024942116,0.043765982033649384,0.0024998242372872566,0.002734366471464826,0.07490088765447808,0.04410842086917127,0.08066274780053918,0.24057056451394912,0.08819172868450655,0.20993435319763445,0.0730636765122062,0.14856766396044277,0.0013013488313450123,0.03162277660168379,0.0024998242372872566,2421,22,195,10
