representation,config_id,role,seed,record_id,n_beats,confusion_json,Accuracy,Support_N,Predicted_N,TP_N,FP_N,FN_N,Precision_N,Recall_N,F1_N,Support_S,Predicted_S,TP_S,FP_S,FN_S,Precision_S,Recall_S,F1_S,Support_V,Predicted_V,TP_V,FP_V,FN_V,Precision_V,Recall_V,F1_V,Support_F,Predicted_F,TP_F,FP_F,FN_F,Precision_F,Recall_F,F1_F,Macro_F1_present_classes,Rare_Macro_present_classes,Min_Rare_present_classes
RAW_1D,BASELINE_CE,baseline,7100,100,2272,"[[2238, 0, 0, 0], [5, 28, 0, 0], [0, 0, 1, 0], [0, 0, 0, 0]]",0.9977992957746479,2238,2243,2238,5,0,0.9977708426214891,1.0,0.9988841776389199,33,28,28,0,5,1.0,0.8484848484848485,0.9180327868852459,1,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,,,,0.9723056548413886,0.9180327868852459,0.9180327868852459
RAW_1D,BASELINE_CE,baseline,7100,103,2084,"[[2082, 0, 0, 0], [1, 1, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",0.9995201535508638,2082,2083,2082,1,0,0.99951992318771,1.0,0.9997599039615847,2,1,1,0,1,1.0,0.5,0.6666666666666666,0,0,0,0,0,,,,0,0,0,0,0,,,,0.8332132853141256,0.6666666666666666,0.6666666666666666
RAW_1D,BASELINE_CE,baseline,7100,105,2567,"[[2493, 1, 28, 4], [0, 0, 0, 0], [1, 11, 29, 0], [0, 0, 0, 0]]",0.9824698091156993,2526,2494,2493,1,33,0.9995990376904571,0.9869358669833729,0.9932270916334661,0,12,0,12,0,0.0,,,41,57,29,28,12,0.5087719298245614,0.7073170731707317,0.5918367346938775,0,4,0,4,0,0.0,,,0.7925319131636719,,
RAW_1D,BASELINE_CE,baseline,7100,111,2124,"[[2120, 0, 3, 0], [0, 0, 0, 0], [0, 0, 1, 0], [0, 0, 0, 0]]",0.998587570621469,2123,2120,2120,0,3,1.0,0.9985869053226566,0.9992929530992223,0,0,0,0,0,,,,1,4,1,3,0,0.25,1.0,0.4,0,0,0,0,0,,,,0.6996464765496111,,
RAW_1D,BASELINE_CE,baseline,7100,113,1794,"[[1788, 0, 0, 0], [0, 1, 5, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",0.9972129319955407,1788,1788,1788,0,0,1.0,1.0,1.0,6,1,1,0,5,1.0,0.16666666666666666,0.2857142857142857,0,5,0,5,0,0.0,,,0,0,0,0,0,,,,0.6428571428571428,0.2857142857142857,0.2857142857142857
RAW_1D,BASELINE_CE,baseline,7100,117,1534,"[[1533, 0, 0, 0], [0, 0, 1, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",0.999348109517601,1533,1533,1533,0,0,1.0,1.0,1.0,1,0,0,0,1,,0.0,0.0,0,1,0,1,0,0.0,,,0,0,0,0,0,,,,0.5,0.0,0.0
RAW_1D,BASELINE_CE,baseline,7100,121,1863,"[[1858, 2, 1, 0], [1, 0, 0, 0], [0, 0, 1, 0], [0, 0, 0, 0]]",0.9978529253891573,1861,1859,1858,1,3,0.9994620763851533,0.9983879634605051,0.9989247311827957,1,2,0,2,1,0.0,0.0,0.0,1,2,1,1,0,0.5,1.0,0.6666666666666666,0,0,0,0,0,,,,0.5551971326164874,0.0,0.0
RAW_1D,BASELINE_CE,baseline,7100,123,1518,"[[1512, 3, 0, 0], [0, 0, 0, 0], [0, 0, 3, 0], [0, 0, 0, 0]]",0.9980237154150198,1515,1512,1512,0,3,1.0,0.998019801980198,0.9990089197224975,0,3,0,3,0,0.0,,,3,3,3,0,0,1.0,1.0,1.0,0,0,0,0,0,,,,0.9995044598612488,,
RAW_1D,BASELINE_CE,baseline,7100,200,2600,"[[1735, 7, 0, 0], [8, 22, 0, 0], [80, 20, 725, 1], [2, 0, 0, 0]]",0.9546153846153846,1742,1825,1735,90,7,0.9506849315068493,0.9959816303099885,0.9728062797869358,30,49,22,27,8,0.4489795918367347,0.7333333333333333,0.5569620253164557,826,725,725,0,101,1.0,0.8777239709443099,0.9348807221147647,2,1,0,1,2,0.0,0.0,0.0,0.6161622568045391,0.27848101265822783,0.0
RAW_1D,BASELINE_CE,baseline,7100,202,2136,"[[1893, 117, 42, 9], [23, 22, 10, 0], [1, 0, 18, 0], [0, 0, 1, 0]]",0.9049625468164794,2061,1917,1893,24,168,0.9874804381846636,0.9184861717612809,0.951734539969834,55,139,22,117,33,0.15827338129496402,0.4,0.2268041237113402,19,71,18,53,1,0.2535211267605634,0.9473684210526315,0.4,1,9,0,9,1,0.0,0.0,0.0,0.3946346659202936,0.1134020618556701,0.0
