representation,config_id,role,record_id,n_seeds,n_beats,Accuracy_mean,Macro_F1_present_classes_mean,Rare_Macro_present_classes_mean,Min_Rare_present_classes_mean,Precision_N_mean,Recall_N_mean,F1_N_mean,Precision_S_mean,Recall_S_mean,F1_S_mean,Precision_V_mean,Recall_V_mean,F1_V_mean,Precision_F_mean,Recall_F_mean,F1_F_mean,Accuracy_std,Macro_F1_present_classes_std,Rare_Macro_present_classes_std,Min_Rare_present_classes_std,Precision_N_std,Recall_N_std,F1_N_std,Precision_S_std,Recall_S_std,F1_S_std,Precision_V_std,Recall_V_std,F1_V_std,Precision_F_std,Recall_F_std,F1_F_std,Support_N,Support_S,Support_V,Support_F
RAW_1D,BASELINE_CE,baseline,213,10,3250,0.7919384615384615,0.39808864698062046,0.07799237434820182,0.005773911857815298,0.8366109063382492,0.9350378787878787,0.8819117184849544,0.23218971857310794,0.20357142857142857,0.15021083683858832,0.8049603911089045,0.44772727272727275,0.5544581207411239,0.06666666666666667,0.0030386740331491712,0.005773911857815298,0.0635256583611454,0.05734359364229944,0.09600858992711847,0.011170038944262415,0.013811381934147693,0.07866845593429304,0.04171781475257211,0.3196454681260463,0.1552647508520297,0.19525634049628343,0.13300517668174036,0.12577126614053466,0.049406517695290864,0.11653431646335018,0.005888868123506255,0.011170038944262415,2640,28,220,362
RAW_1D,BASELINE_CE,baseline,233,10,3077,0.8155671108222295,0.4598313623054288,0.08093914853027437,0.046037877873715743,0.932056583314256,0.8226558995065052,0.854849393089226,0.0557965367965368,0.2,0.07632962969061367,0.8522137562048474,0.8089156626506024,0.8225977590719407,0.06499454444419736,0.2727272727272727,0.08554866736993506,0.18382830896463798,0.09040820283237778,0.06493835850584713,0.056498165979272146,0.04509236158154634,0.2386540640114463,0.18403141285687163,0.0552723594764146,0.18070158058105026,0.06910371929900368,0.1563432639304698,0.1139588927987428,0.11507963864290432,0.08831843166039098,0.14845392380504105,0.10779021505657907,2229,7,830,11
RAW_1D,BASELINE_CE,baseline,210,10,2648,0.8958836858006043,0.4573370244676499,0.06861114175355662,0.0,0.9772563945691399,0.915737298636927,0.943466916594223,0.13079934558195427,0.16818181818181815,0.13722228350711324,0.7452249646987039,0.7774358974358975,0.7486588977692634,0.0,0.0,0.0,0.07939201630211211,0.037802177288828655,0.04447226742680537,0.0,0.004378143247805293,0.08799170027335526,0.05157577488040447,0.09861459829414702,0.09103526597454425,0.08894453485361074,0.17117842247282145,0.04096862134412376,0.10724266197997766,0.0,0.0,0.0,2421,22,195,10
RAW_1D,BASELINE_CE,baseline,200,10,2600,0.9465769230769231,0.5661373842883698,0.18052658246923986,0.0,0.9652779181927821,0.9915614236509759,0.978196959018927,0.2727299603327744,0.65,0.3610531649384797,0.9989334944393755,0.8647699757869249,0.9252994131960725,0.0,0.0,0.0,0.026231940971898907,0.038965839756147334,0.06241857221991813,0.0,0.012092114069323279,0.00589814240075936,0.006542133949736631,0.10348652529711473,0.22180516419641255,0.12483714443983626,0.002938442177392665,0.07580546711898073,0.04630403709819857,0.0,0.0,0.0,1742,30,826,2
RAW_1D,BASELINE_CE,baseline,202,10,2136,0.9198501872659175,0.45532994412891536,0.13182414183954347,0.0,0.98558294842233,0.9350800582241631,0.959500044962512,0.2317548555636463,0.3618181818181818,0.26364828367908694,0.46653616931261616,0.9315789473684211,0.5981714478740626,0.0,0.0,0.0,0.02237285701628604,0.041358933081837884,0.03774043285259359,0.0,0.0032013102798874836,0.024057377433397687,0.011819846230932064,0.1390873603161669,0.09406638532698516,0.07548086570518718,0.20319437567280565,0.04993069989739545,0.19186626746806495,0.0,0.0,0.0,2061,55,19,1
RAW_1D,BASELINE_CE,baseline,219,10,2154,0.7941968430826369,0.30361374146210346,0.0,0.0,0.9952388334545335,0.7944764649375601,0.8792100103137195,0.0,0.0,0.0,0.2441748323409479,0.884375,0.33524495553469424,0.0,0.0,0.0,0.11507659744420987,0.07895539520076737,0.0,0.0,0.0016666572952591077,0.11907113247547411,0.07284035672444865,0.0,0.0,0.0,0.243054695579208,0.010925092168439064,0.24880607248715988,0.0,0.0,0.0,2082,7,64,1
RAW_1D,BASELINE_CE,baseline,214,10,2258,0.816607617360496,0.5012084541618068,0.0,0.0,0.9954689833910756,0.8245877061469266,0.8892085924809635,0.0,,,0.5549307732320118,0.757421875,0.6144167700044572,0.0,0.0,0.0,0.16945497744114935,0.10277636748684055,0.0,0.0,0.007722256662515445,0.1919334002669473,0.13654486150250386,0.0,,,0.23667164036798535,0.07253083373605956,0.19053498676378483,0.0,0.0,0.0,2001,0,256,1
RAW_1D,BASELINE_CE,baseline,232,10,1780,0.22713483146067417,0.3386162391156619,0.014654435724268184,0.014654435724268184,0.5258859491600582,0.9899497487437185,0.6625780425070557,1.0,0.007452966714905933,0.014654435724268184,0.0,,,,,,0.008282363164723187,0.09178919068175082,0.017529398512364763,0.017529398512364763,0.21316132421046272,0.0163691962191726,0.18360758868073063,0.0,0.0090186144306572,0.017529398512364763,0.0,,,,,,398,1382,0,0
RAW_1D,BASELINE_CE,baseline,222,10,2483,0.8541280708819976,0.6458748354984971,0.3631331979389093,0.3631331979389093,0.954099546991414,0.9053210202286719,0.9286164730580848,0.48141856377159914,0.2971291866028708,0.3631331979389093,0.0,,,0.0,,,0.03430183691190763,0.03674340411411493,0.06777647468810126,0.06777647468810126,0.008478103559736437,0.03825663753656618,0.018722172479929258,0.05785680265055602,0.07650350472730875,0.06777647468810126,0.0,,,0.0,,,2274,209,0,0
RAW_1D,BASELINE_CE,baseline,234,10,2753,0.9782419179077371,0.7631215500097501,0.3761738188910613,0.3761738188910613,0.9873491885519678,0.9917037037037038,0.9893813073286655,0.8932945344129555,0.25,0.3761738188910613,0.875,1.0,0.9238095238095237,0.0,,,0.022515970961615936,0.07027901473362579,0.19277304795281497,0.19277304795281497,0.002750999028020716,0.023153464410103092,0.01134377149444347,0.17930666747357948,0.15092308563562365,0.19277304795281497,0.17677669529663687,0.0,0.1126872339638022,0.0,,,2700,50,3,0
