split,record_order,record_id,Count_N,Count_S,Count_V,Count_F,Total,Rare_SF
DS1_TRAIN,0,101,1860,3,0,0,1863,3
DS1_TRAIN,1,106,1507,0,520,0,2027,0
DS1_TRAIN,2,108,1740,4,17,2,1763,6
DS1_TRAIN,3,109,2491,0,38,2,2531,2
DS1_TRAIN,4,112,2537,2,0,0,2539,2
DS1_TRAIN,5,115,1952,0,0,0,1952,0
DS1_TRAIN,6,116,2301,1,109,0,2411,1
DS1_TRAIN,7,119,1543,0,444,0,1987,0
DS1_TRAIN,8,124,1536,31,47,5,1619,36
DS1_TRAIN,9,201,1635,128,198,2,1963,130
DS1_TRAIN,10,203,2529,2,444,1,2976,3
DS1_TRAIN,11,205,2571,3,71,11,2656,14
DS1_TRAIN,12,208,1585,2,992,372,2951,374
DS1_TRAIN,13,209,2621,383,1,0,3005,383
DS1_TRAIN,14,215,3195,3,164,1,3363,4
DS1_TRAIN,15,230,2255,0,1,0,2256,0
DS1_VAL,0,114,1820,12,43,4,1879,16
DS1_VAL,1,118,2166,96,16,0,2278,96
DS1_VAL,2,122,2475,0,0,0,2475,0
DS1_VAL,3,207,1542,107,210,0,1859,107
DS1_VAL,4,220,1952,94,0,0,2046,94
DS1_VAL,5,223,2045,73,473,14,2605,87
DS2_TEST,0,100,2238,33,1,0,2272,33
DS2_TEST,1,103,2082,2,0,0,2084,2
DS2_TEST,2,105,2526,0,41,0,2567,0
DS2_TEST,3,111,2123,0,1,0,2124,0
DS2_TEST,4,113,1788,6,0,0,1794,6
DS2_TEST,5,117,1533,1,0,0,1534,1
DS2_TEST,6,121,1861,1,1,0,1863,1
DS2_TEST,7,123,1515,0,3,0,1518,0
DS2_TEST,8,200,1742,30,826,2,2600,32
DS2_TEST,9,202,2061,55,19,1,2136,56
DS2_TEST,10,210,2421,22,195,10,2648,32
DS2_TEST,11,212,2747,0,0,0,2747,0
DS2_TEST,12,213,2640,28,220,362,3250,390
DS2_TEST,13,214,2001,0,256,1,2258,1
DS2_TEST,14,219,2082,7,64,1,2154,8
DS2_TEST,15,221,2031,0,396,0,2427,0
DS2_TEST,16,222,2274,209,0,0,2483,209
DS2_TEST,17,228,1688,3,362,0,2053,3
DS2_TEST,18,231,1568,1,2,0,1571,1
DS2_TEST,19,232,398,1382,0,0,1780,1382
DS2_TEST,20,233,2229,7,830,11,3077,18
DS2_TEST,21,234,2700,50,3,0,2753,50
