representation,config_id,role,split_index,record_id,sample,original_symbol,n_seeds,predicted_N_seeds,predicted_S_seeds,predicted_V_seeds,predicted_F_seeds,correct_seed_fraction,all_seeds_missed_F,all_seeds_predicted_N
RAW_1D,BASELINE_CE,baseline,16636,200,218881,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,16636,200,218881,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,17335,200,385887,F,10,4,6,0,0,0.0,True,False
RAW_1D,FOCAL_A025_G3,selected_on_DS1,17335,200,385887,F,10,5,5,0,0,0.0,True,False
STFT_2D,BASELINE_CE,baseline,17335,200,385887,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,17335,200,385887,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,19696,202,467065,F,10,9,0,1,0,0.0,True,False
RAW_1D,FOCAL_A025_G3,selected_on_DS1,19696,202,467065,F,10,6,0,4,0,0.0,True,False
STFT_2D,BASELINE_CE,baseline,19696,202,467065,F,10,7,0,3,0,0.0,True,False
STFT_2D,WGAN_GP_X5,selected_on_DS1,19696,202,467065,F,10,9,0,1,0,0.0,True,False
RAW_1D,BASELINE_CE,baseline,20526,210,8115,F,10,8,0,2,0,0.0,True,False
RAW_1D,FOCAL_A025_G3,selected_on_DS1,20526,210,8115,F,10,9,0,1,0,0.0,True,False
STFT_2D,BASELINE_CE,baseline,20526,210,8115,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,20526,210,8115,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,21286,210,194641,F,10,1,0,9,0,0.0,True,False
RAW_1D,FOCAL_A025_G3,selected_on_DS1,21286,210,194641,F,10,0,0,10,0,0.0,True,False
STFT_2D,BASELINE_CE,baseline,21286,210,194641,F,10,3,1,6,0,0.0,True,False
STFT_2D,WGAN_GP_X5,selected_on_DS1,21286,210,194641,F,10,1,0,9,0,0.0,True,False
RAW_1D,BASELINE_CE,baseline,21299,210,197830,F,10,4,0,6,0,0.0,True,False
RAW_1D,FOCAL_A025_G3,selected_on_DS1,21299,210,197830,F,10,3,0,7,0,0.0,True,False
STFT_2D,BASELINE_CE,baseline,21299,210,197830,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,21299,210,197830,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,21828,210,326751,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,21828,210,326751,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,22047,210,380044,F,10,9,0,1,0,0.0,True,False
RAW_1D,FOCAL_A025_G3,selected_on_DS1,22047,210,380044,F,10,9,0,1,0,0.0,True,False
STFT_2D,BASELINE_CE,baseline,22047,210,380044,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,22047,210,380044,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,22081,210,388698,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,22081,210,388698,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,22081,210,388698,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,22081,210,388698,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,22105,210,394440,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,22105,210,394440,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,22105,210,394440,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,22105,210,394440,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,22113,210,396466,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,22113,210,396466,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,22113,210,396466,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,22165,210,409307,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,22165,210,409307,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,22165,210,409307,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,22165,210,409307,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,23077,210,634622,F,10,10,0,0,0,0.0,True,True
RAW_1D,FOCAL_A025_G3,selected_on_DS1,23077,210,634622,F,10,10,0,0,0,0.0,True,True
STFT_2D,BASELINE_CE,baseline,23077,210,634622,F,10,10,0,0,0,0.0,True,True
STFT_2D,WGAN_GP_X5,selected_on_DS1,23077,210,634622,F,10,10,0,0,0,0.0,True,True
RAW_1D,BASELINE_CE,baseline,25998,213,21791,F,10,10,0,0,0,0.0,True,True
