config_id,family,seed,n_folds,n_validation_records,RecordMacro_F1_F,RecordMacro_Recall_F,RecordMacro_Precision_F,RecordMedian_F1_F,RecordWorst_F1_F,oof_confusion_json,WGAN_QA_fold_pass_rate,WGAN_QA_all_folds_passed,OOF_Accuracy,OOF_Macro_F1,OOF_Rare_Macro_SF,OOF_Min_Rare_F1,OOF_Rare_HMean_SF,OOF_F1_N,OOF_Precision_N,OOF_Recall_N,OOF_F1_S,OOF_Precision_S,OOF_Recall_S,OOF_F1_V,OOF_Precision_V,OOF_Recall_V,OOF_F1_F,OOF_Precision_F,OOF_Recall_F
BASELINE_CE,baseline,8200,4,10,0.04962406015037594,0.12857142857142856,0.040336134453781515,0.0,0.0,"[[17371, 761, 1994, 1021], [89, 34, 134, 1], [272, 89, 2106, 20], [276, 5, 127, 6]]",1.0,True,0.802970459968732,0.39246430173454677,0.033746512939840684,0.008207934336525308,0.014419508747128468,0.8872940876005618,0.9646268325188805,0.8214403934364213,0.05928509154315606,0.03824521934758155,0.13178294573643412,0.615070093457944,0.48291676221050217,0.8468033775633294,0.008207934336525308,0.0057251908396946565,0.014492753623188406
BASELINE_CE,baseline,8201,4,10,0.02592887287137363,0.21428571428571427,0.042468291941976155,0.0,0.0,"[[15927, 256, 4329, 635], [90, 33, 131, 4], [207, 108, 2150, 22], [276, 3, 130, 5]]",1.0,True,0.7452892289969555,0.3554275085021535,0.05478160531352021,0.009259259259259259,0.01695350629334703,0.8461231970674954,0.9652727272727273,0.7531564760959001,0.10030395136778116,0.0825,0.12790697674418605,0.46602362631407823,0.3189910979228487,0.8644953759549658,0.009259259259259259,0.0075075075075075074,0.012077294685990338
BASELINE_CE,baseline,8202,4,10,0.05793650793650793,0.21428571428571427,0.06961722488038277,0.0,0.0,"[[15599, 129, 5327, 92], [107, 16, 135, 0], [160, 133, 2190, 4], [267, 6, 136, 5]]",1.0,True,0.7327408870237802,0.3353979153931997,0.0392290330670297,0.019417475728155338,0.02922374429223744,0.8368562231759656,0.9669001425649291,0.7376460017969452,0.05904059040590406,0.056338028169014086,0.06201550387596899,0.42627737226277373,0.2812018489984592,0.8805790108564535,0.019417475728155338,0.04950495049504951,0.012077294685990338
BASELINE_CE,baseline,8203,4,10,0.03131313131313131,0.12142857142857141,0.03956185567010309,0.0,0.0,"[[16101, 950, 3666, 430], [112, 22, 119, 5], [323, 86, 2059, 19], [321, 0, 88, 5]]",1.0,True,0.7482514605447215,0.34533824746028274,0.022444702089361005,0.011454753722794959,0.017063522841852165,0.8473318598042311,0.9551521623064603,0.7613845935593702,0.03343465045592705,0.020793950850661626,0.08527131782945736,0.48913172585817793,0.34710047201618344,0.8279051065540812,0.011454753722794959,0.010893246187363835,0.012077294685990338
BASELINE_CE,baseline,8204,4,10,0.02194690265486726,0.22142857142857145,0.01973143110211312,0.0,0.0,"[[15415, 871, 2250, 2611], [106, 20, 129, 3], [305, 96, 2066, 20], [254, 4, 150, 6]]",1.0,True,0.720274829260265,0.3618920628505754,0.017977446790438244,0.003929273084479371,0.006999737509843381,0.8281623552797701,0.9586442786069652,0.7289450040194827,0.032025620496397116,0.020181634712411706,0.07751937984496124,0.5834510025416549,0.44961915125136015,0.8307197426618416,0.003929273084479371,0.0022727272727272726,0.014492753623188406
FOCAL_A025_G3,focal,8200,4,10,0.018348972381567453,0.12142857142857141,0.015873120693829932,0.0,0.0,"[[15147, 1377, 1675, 2948], [95, 40, 115, 8], [323, 162, 1945, 57], [230, 2, 177, 5]]",1.0,True,0.7050522504731342,0.3685913425061503,0.02320782806100914,0.002913752913752914,0.00546168288103772,0.8200422283579666,0.958974358974359,0.7162718116044829,0.043501903208265365,0.02530044275774826,0.15503875968992248,0.6079074855446164,0.4971881390593047,0.7820667470848411,0.002913752913752914,0.0016567263088137839,0.012077294685990338
FOCAL_A025_G3,focal,8201,4,10,0.03995704520284028,0.22019969278033794,0.10811128775834658,0.0,0.0,"[[16636, 573, 3538, 400], [69, 38, 149, 2], [173, 98, 2178, 38], [241, 0, 146, 27]]",1.0,True,0.776721797087139,0.3804928175812536,0.06994378626337702,0.06129398410896708,0.06887408327319718,0.8694924998693357,0.9717857351480811,0.7866836903579704,0.07859358841778696,0.0535966149506347,0.14728682170542637,0.5125911979289245,0.3623357178506072,0.8757539203860072,0.06129398410896708,0.057815845824411134,0.06521739130434782
FOCAL_A025_G3,focal,8202,4,10,0.029118773946360154,0.11428571428571428,0.05357142857142857,0.0,0.0,"[[16194, 618, 4085, 250], [94, 34, 130, 0], [155, 117, 2190, 25], [245, 3, 162, 4]]",1.0,True,0.757919855179791,0.3543400712699944,0.03878171450986985,0.011544011544011544,0.019651759265948993,0.8560327738866129,0.9703978906999041,0.7657823804795006,0.06601941747572816,0.04404145077720207,0.13178294573643412,0.48376408217362493,0.3334856098675194,0.8805790108564535,0.011544011544011544,0.014336917562724014,0.00966183574879227
FOCAL_A025_G3,focal,8203,4,10,0.0007113243780020002,0.10026881720430107,0.10008764241893076,0.0,0.0,"[[14603, 2391, 1484, 2669], [75, 73, 99, 11], [285, 343, 1824, 35], [331, 1, 79, 3]]",1.0,True,0.6789681560108615,0.36543575454027694,0.024767378215654078,0.0019157088122605363,0.0036832412523020255,0.8014598940753547,0.9548188832221787,0.6905471225232893,0.047619047619047616,0.025997150997150997,0.28294573643410853,0.610748367654445,0.5232358003442341,0.7334137515078407,0.0019157088122605363,0.0011037527593818985,0.007246376811594203
FOCAL_A025_G3,focal,8204,4,10,0.0307666388737248,0.1751920122887865,0.11476787678767877,0.0,0.0,"[[14440, 1836, 4360, 511], [113, 34, 111, 0], [208, 78, 2160, 41], [264, 0, 131, 19]]",1.0,True,0.6851394717353739,0.3337222082143553,0.034701851434251765,0.030825022665457842,0.03426873905893587,0.7984076080946588,0.9610648918469218,0.6828391734052112,0.030825022665457842,0.017453798767967144,0.13178294573643412,0.46707752189425883,0.3194321206743567,0.8685162846803377,0.03857868020304569,0.03327495621716287,0.04589371980676329
