fold_id,record_id,config_id,family,seed,n_beats,confusion_json,Accuracy,Macro_F1,Rare_Macro_SF,Min_Rare_F1,Rare_HMean_SF,F1_N,Precision_N,Recall_N,Support_N,Predicted_N,F1_S,Precision_S,Recall_S,Support_S,Predicted_S,F1_V,Precision_V,Recall_V,Support_V,Predicted_V,F1_F,Precision_F,Recall_F,Support_F,Predicted_F
HOLDOUT_205,205,BASELINE_CE,baseline,8200,2656,"[[2571, 0, 0, 0], [0, 3, 0, 0], [2, 0, 69, 0], [11, 0, 0, 0]]",0.995105421686747,0.7457981155604823,0.5,0.0,0.0,0.997478176527643,0.9949690402476781,1.0,2571,2584,1.0,1.0,1.0,3,3,0.9857142857142858,1.0,0.971830985915493,71,69,0.0,0.0,0.0,11,0
HOLDOUT_205,205,BASELINE_CE,baseline,8201,2656,"[[2570, 1, 0, 0], [0, 3, 0, 0], [1, 0, 70, 0], [11, 0, 0, 0]]",0.995105421686747,0.7118819640775452,0.42857142857142855,0.0,0.0,0.9974771977488841,0.9953524399690162,0.999611046285492,2571,2582,0.8571428571428571,0.75,1.0,3,4,0.9929078014184397,1.0,0.9859154929577465,71,70,0.0,0.0,0.0,11,0
HOLDOUT_205,205,BASELINE_CE,baseline,8202,2656,"[[2569, 2, 0, 0], [0, 3, 0, 0], [2, 0, 69, 0], [11, 0, 0, 0]]",0.9943524096385542,0.6832008400099803,0.375,0.0,0.0,0.9970890743256355,0.9949651432997676,0.999222092570984,2571,2582,0.75,0.6,1.0,3,5,0.9857142857142858,1.0,0.971830985915493,71,69,0.0,0.0,0.0,11,0
HOLDOUT_205,205,BASELINE_CE,baseline,8203,2656,"[[2570, 1, 0, 0], [0, 3, 0, 0], [1, 0, 70, 0], [11, 0, 0, 0]]",0.995105421686747,0.7118819640775452,0.42857142857142855,0.0,0.0,0.9974771977488841,0.9953524399690162,0.999611046285492,2571,2582,0.8571428571428571,0.75,1.0,3,4,0.9929078014184397,1.0,0.9859154929577465,71,70,0.0,0.0,0.0,11,0
HOLDOUT_205,205,BASELINE_CE,baseline,8204,2656,"[[2570, 1, 0, 0], [0, 3, 0, 0], [2, 0, 69, 0], [11, 0, 0, 0]]",0.9947289156626506,0.7100352015078442,0.42857142857142855,0.0,0.0,0.9972836631742336,0.9949670925280681,0.999611046285492,2571,2583,0.8571428571428571,0.75,1.0,3,4,0.9857142857142858,1.0,0.971830985915493,71,69,0.0,0.0,0.0,11,0
HOLDOUT_205,205,FOCAL_A025_G3,focal,8200,2656,"[[2569, 2, 0, 0], [0, 3, 0, 0], [3, 0, 68, 0], [11, 0, 0, 0]]",0.9939759036144579,0.6813282203108294,0.375,0.0,0.0,0.996895615056267,0.994579945799458,0.999222092570984,2571,2583,0.75,0.6,1.0,3,5,0.9784172661870504,1.0,0.9577464788732394,71,68,0.0,0.0,0.0,11,0
HOLDOUT_205,205,FOCAL_A025_G3,focal,8201,2656,"[[2571, 0, 0, 0], [0, 3, 0, 0], [0, 0, 71, 0], [11, 0, 0, 0]]",0.9958584337349398,0.7494663302930332,0.5,0.0,0.0,0.9978653211721328,0.9957397366382649,1.0,2571,2582,1.0,1.0,1.0,3,3,1.0,1.0,1.0,71,71,0.0,0.0,0.0,11,0
HOLDOUT_205,205,FOCAL_A025_G3,focal,8202,2656,"[[2569, 2, 0, 0], [0, 3, 0, 0], [0, 0, 71, 0], [11, 0, 0, 0]]",0.995105421686747,0.686869054552514,0.375,0.0,0.0,0.9974762182100563,0.9957364341085271,0.999222092570984,2571,2580,0.75,0.6,1.0,3,5,1.0,1.0,1.0,71,71,0.0,0.0,0.0,11,0
HOLDOUT_205,205,FOCAL_A025_G3,focal,8203,2656,"[[2570, 1, 0, 0], [0, 3, 0, 0], [0, 0, 71, 0], [11, 0, 0, 0]]",0.9954819277108434,0.7137034161490683,0.42857142857142855,0.0,0.0,0.9976708074534162,0.9957380860131732,0.999611046285492,2571,2581,0.8571428571428571,0.75,1.0,3,4,1.0,1.0,1.0,71,71,0.0,0.0,0.0,11,0
HOLDOUT_205,205,FOCAL_A025_G3,focal,8204,2656,"[[2571, 0, 0, 0], [0, 3, 0, 0], [0, 0, 71, 0], [11, 0, 0, 0]]",0.9958584337349398,0.7494663302930332,0.5,0.0,0.0,0.9978653211721328,0.9957397366382649,1.0,2571,2582,1.0,1.0,1.0,3,3,1.0,1.0,1.0,71,71,0.0,0.0,0.0,11,0
HOLDOUT_205,205,F_RECORD_BALANCED_CE_P025,record_balanced,8200,2656,"[[2570, 1, 0, 0], [0, 3, 0, 0], [2, 1, 64, 4], [11, 0, 0, 0]]",0.9928463855421686,0.6738579528305955,0.375,0.0,0.0,0.9972836631742336,0.9949670925280681,0.999611046285492,2571,2583,0.75,0.6,1.0,3,5,0.9481481481481482,1.0,0.9014084507042254,71,64,0.0,0.0,0.0,11,4
HOLDOUT_205,205,F_RECORD_BALANCED_CE_P025,record_balanced,8201,2656,"[[2570, 1, 0, 0], [0, 3, 0, 0], [0, 0, 71, 0], [11, 0, 0, 0]]",0.9954819277108434,0.7137034161490683,0.42857142857142855,0.0,0.0,0.9976708074534162,0.9957380860131732,0.999611046285492,2571,2581,0.8571428571428571,0.75,1.0,3,4,1.0,1.0,1.0,71,71,0.0,0.0,0.0,11,0
HOLDOUT_205,205,F_RECORD_BALANCED_CE_P025,record_balanced,8202,2656,"[[2568, 3, 0, 0], [0, 3, 0, 0], [3, 0, 68, 0], [11, 0, 0, 0]]",0.9935993975903614,0.660446220939026,0.3333333333333333,0.0,0.0,0.996700950902387,0.994577846630519,0.9988331388564761,2571,2582,0.6666666666666666,0.5,1.0,3,6,0.9784172661870504,1.0,0.9577464788732394,71,68,0.0,0.0,0.0,11,0
HOLDOUT_205,205,F_RECORD_BALANCED_CE_P025,record_balanced,8203,2656,"[[2568, 3, 0, 0], [0, 3, 0, 0], [1, 0, 68, 2], [11, 0, 0, 0]]",0.9935993975903614,0.6605429692355609,0.3333333333333333,0.0,0.0,0.9970879440885265,0.9953488372093023,0.9988331388564761,2571,2580,0.6666666666666666,0.5,1.0,3,6,0.9784172661870504,1.0,0.9577464788732394,71,68,0.0,0.0,0.0,11,2
